"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","19"," S32 "," 요추 및 골반의 골절 ","54","1950","495413","1","1","3","32","12","5"
"입원실인원","20"," M75 "," 어깨병변 ","54","2324","691320","3","3","4","44","",""
"입원연인원","1"," M48 "," 기타 척추병증 ","267","12912","3794079","138","206","411","11414","646","97"
"입원연인원","2"," M51 "," 기타 추간판장애 ","157","5938","1812237","486","","567","4509","376",""
"입원연인원","3"," M17 "," 무릎관절증 ","129","5203","1782880","","223","541","4150","219","70"
"입원연인원","4"," I63 "," 뇌경색증 ","87","4759","1325422","348","32","12","3409","870","88"
"입원연인원","5"," U07 "," 코로나바이러스 질환 2019 ","654","4730","1732179","724","306","356","2098","951","295"
"입원연인원","6"," J18 "," 상세불명 병원체의 폐렴 ","181","4618","1683207","104","85","129","2746","889","665"
"입원연인원","7"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","90","4452","1255811","174","17","81","3784","396",""
"입원연인원","8"," S46 "," 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ","76","3441","1248558","166","75","142","3029","29",""
"입원연인원","9"," I20 "," 협심증 ","591","3032","2610095","29","24","122","2585","232","40"
"입원연인원","10"," G81 "," 편마비 ","44","2902","823921","67","48","89","2466","168","64"
"입원연인원","11"," E11 "," 2형 당뇨병 ","55","2497","545543","","17","13","2365","102",""
"입원연인원","12"," C34 "," 기관지 및 폐의 악성 신생물 ","69","2329","1011117","56","40","139","1524","487","83"
"입원연인원","13"," M75 "," 어깨병변 ","54","2324","691320","38","54","60","2172","",""
"입원연인원","14"," I50 "," 심부전 ","180","2270","793286","8","","18","1320","615","309"
"입원연인원","15"," C16 "," 위의 악성 신생물 ","103","2235","703462","51","83","75","1644","266","116"
"입원연인원","16"," I69 "," 뇌혈관질환의 후유증 ","34","2017","582828","","4","90","1660","263",""
"입원연인원","17"," S32 "," 요추 및 골반의 골절 ","54","1950","495413","47","14","83","1385","302","119"
"입원연인원","18"," N18 "," 만성 신장병 ","47","1879","588709","53","","3","1538","145","140"
"입원연인원","19"," S06 "," 두개내손상 ","33","1777","505687","353","104","","925","293","102"
"입원연인원","20"," M50 "," 경추간판장애 ","34","1519","476027","121","","193","1093","112",""
"외래","1"," N40 "," 전립선증식증 ","28597","28597","2331293","316","465","1040","22644","3109","1023"
"외래","2"," E11 "," 2형 당뇨병 ","22845","22845","2155582","861","817","1480","17080","2258","349"
"외래","3"," U07 "," 코로나바이러스 질환 2019 ","22771","22771","1711673","13578","2412","1666","3772","1150","193"
"외래","4"," L30 "," 기타 피부염 ","18226","18226","707040","763","472","895","13841","1864","391"
"외래","5"," M17 "," 무릎관절증 ","16286","16286","2476727","490","598","1883","11565","1516","234"
"외래","6"," I20 "," 협심증 ","14956","14956","1750251","214","318","772","11939","1419","294"
"외래","7"," M48 "," 기타 척추병증 ","14638","14638","3073947","329","384","554","11520","1614","237"
"외래","8"," I10 "," 본태성(원발성) 고혈압 ","14087","14087","825945","615","536","957","10024","1581","374"
"외래","9"," N18 "," 만성 신장병 ","12812","12812","3035632","716","466","589","8872","1635","534"
"외래","10"," K05 "," 치은염 및 치주질환 ","11608","11608","1783414","607","383","833","8761","914","110"
"외래","11"," Z11 "," 감염성 및 기생충성 질환에 대한 특수선별검사 ","11209","11209","637376","5888","582","899","3380","386","74"
"외래","12"," M54 "," 등통증 ","8089","8089","625796","541","209","316","6116","875","32"
"외래","13"," K08 "," 치아 및 지지구조의 기타 장애 ","7767","7767","1784340","214","159","510","6187","572","125"
"외래","14"," K02 "," 치아우식 ","7266","7266","1252744","532","189","537","5346","577","85"
"외래","15"," I63 "," 뇌경색증 ","7054","7054","1044321","175","212","170","5507","789","201"
"외래","16"," K21 "," 위-식도역류병 ","6533","6533","866313","323","208","445","4932","536","89"
"외래","17"," N31 "," 달리 분류되지 않은 방광의 신경근육기능장애 ","6417","6417","672652","285","147","284","4756","790","155"
"외래","18"," M75 "," 어깨병변 ","5689","5689","1046953","380","219","538","4231","277","44"
"외래","19"," R53 "," 병감 및 피로 ","5331","5331","181796","282","131","349","3879","583","107"
"외래","20","H25","노년백내장","5228","5228","420786","12","56","184","4252","610","114"
