"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원연인원","16","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","54","612","176521.173","18","22","32","321","128","91"
"입원연인원","17","K80","담석증","63","487","342271.875","38","0","66","177","44","162"
"입원연인원","18","K40","사타구니탈장","58","184","115625.804","0","11","3","144","20","6"
"입원연인원","19","C61","전립선의 악성 신생물","70","182","82840.102","0","2","2","143","16","19"
"입원연인원","20","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된","112","155","80273.243","2","3","6","137","7","0"
"외래","1","N40","전립선증식증","29425","29425","2098006.204","430","652","1319","22169","3381","1474"
"외래","2","E11","2형 당뇨병","24269","24269","2113938.282","1358","1233","2171","16074","2736","697"
"외래","3","U07","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","23721","23721","1797500.069","8028","3741","3588","6199","1810","355"
"외래","4","I10","본태성(원발성) 고혈압","19323","19323","1309961.51","1061","1118","1927","11919","2361","937"
"외래","5","M51","기타 추간판장애","19624","19624","1492351.317","1049","794","775","15350","1454","202"
"외래","6","I20","협심증","13609","13609","1901964.203","378","425","860","10089","1502","355"
"외래","7","M48","기타 척추병증","12019","12019","1333208.07","216","389","776","8365","1685","588"
"외래","8","I63","뇌경색증","10461","10461","838884.542","179","270","557","6889","1893","673"
"외래","9","N18","만성 신장병","9759","9759","1977689.578","977","598","579","5961","1058","586"
"외래","10","K08","치아 및 지지구조의 기타 장애","8389","8389","2319941.563","314","364","517","6195","793","206"
"외래","11","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","8151","8151","364410.856","2769","1103","811","2962","363","143"
"외래","12","H25","노년백내장","7536","7536","665015.035","37","183","391","5908","803","214"
"외래","13","K05","치은염 및 치주질환","6622","6622","1279451.852","555","453","567","4550","426","71"
"외래","14","M17","무릎관절증","6042","6042","562060.281","238","231","686","4087","669","131"
"외래","15","K21","위-식도역류병","5697","5697","476163.984","385","211","529","3929","536","107"
"외래","16","F00","알츠하이머병에서의 치매","5307","5307","384897.93","5","25","115","2072","1997","1093"
"외래","17","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","5019","5019","189250.77","1815","357","471","2032","281","63"
"외래","18","C61","전립선의 악성 신생물","4966","4966","940050","18","20","93","3610","960","265"
"외래","19","K04","치수 및 근단주위조직의 질환","4875","4875","1089046.15","341","175","343","3444","499","73"
"외래","20","G62","기타 다발신경병증","4884","4884","301315.946","24","0","5","4709","139","7"
