"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대","약제비포함여부","특이사항"
"대전","처치 및 수술료 등피부 및 연부조직","IPL(코밑수염제모-여자) 3회째","HZDE01103","","50000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","IPL(코밑수염제모-여자) 2회째","HZDE01102","","50000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","박피술 [화학] [소]","HZDE01903","","30000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","기미,주근깨,점 제거술[대]-Size 0.4cm 이상","HZDE00101","","30000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","기미,주근깨,점 제거술[중]-Size 0.3cm","HZDE00102","","20000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","메조테라피 (mesotherapy) 1회당","HZFM00100","","14000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","여드름 치료(대)","HZDE02301","","10000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","사마귀제거 [대]사마귀 3개 이상인 경우 산정","HZDE02201","","10000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","Bleomycin 병변내 주입(대)-비급여","HZDE02001","","10000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","기미,주근깨,점 제거술[소]-Size 0.2cm 이하","HZDE00103","","10000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","여드름 치료(중)","HZDE02302","","5000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","사마귀제거 [대]사마귀 3개 미만인 경우 산정","HZDE02202","","5000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","Bleomycin 병변내 주입(소)-비급여","HZDE02101","","5000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","여드름 치료(소)","HZDE02303","","3000","","","N","N","부가가치세 별도"
"대전","평형 및 청각 기능검사","비디오전기안진검사","FZ733","자발및 주시 ,두위 안진,체위변환","","31010","103500","N","N",""
"대전","특수검사","이중조영","HF106","","450000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","처치 및 수술료 등코","코골음성형술 [복잡]비급여(구개수/구개[인두포함","HZEN00502","","400000","","","N","N",""
"대전","처치 및 수술료 등코","코골음성형술 [단순]비급여(구개수/구개만실시)","HZEN00501","","200000","","","N","N",""
"대전","치과의 보철료","인상채득 및 모형제작[1악당]","EX934","","30000","","","N","N",""
"대전","치과의 보철료","MANDIBULAR RECONSTRUCTION E 악안면골재건정복술 E","JM0077T","","5000000","","","N","N",""
"대전","치과의 보철료","FIXED ORTHODONTIC TX D 악안면기형안골교정술 D","JM0081T","","4000000","","","N","N",""
"대전","치과의 보철료","MANDIBULAR RECONSTRUCTION D 악안면골재건정복술 D","JM0076T","","4000000","","","N","N",""
"대전","치과의 보철료","FIXED ORTHODONTIC TX C 악안면기형안골교정술 C","JM0080T","","3000000","","","N","N",""
"대전","치과의 보철료","MANDIBULAR RECONSTRUCTION C 악안면골재건정복술 C","JM0075T","","3000000","","","N","N",""
"대전","치과의 보철료","Implant, milled bar, Gold,Fixture 6eaG 매식술, 밀드바, Gold,Fixture 6ea","JP0105G","","2700000","","","Y","N",""
"대전","치과의 보철료","Implant, Hybrid denture, G 매식술, 혼합형틀니","JP0078G","","2500000","","","Y","N",""
"대전","치과의 보철료","Implant, milled bar, Gold,Fixture 5ea, G 매식술, 밀드바, Gold,Fixture 5ea","JP0104G","","2300000","","","Y","N",""
"대전","치과의 보철료","Implant, Hybrid denture,Titanium,Fixture 6ea, G 매식술, 혼합형틀니 ,Titanium,Fixture 6ea","JP0098G","","2100000","","","Y","N",""
"대전","치과의 보철료","Implant, milled bar, Gold,Fixture 4ea, G 매식술, 밀드바, Gold,Fixture 4ea","JP0103G","","1900000","","","Y","N",""
"대전","치과의 보철료","Implant, milled bar,Titanium,Fixture 6eaG 매식술, 밀드바,Titanium,Fixture 6ea","JP0109G","","1800000","","","Y","N",""
"대전","치과의 보철료","Implant, hader bar,Fixture 4ea, G 매식술, 헤더바,Fixture 4ea","JP0101G","","1800000","","","Y","N",""
"대전","치과의 보철료","Implant overdenture, complex, G 임플란트 지지의치, 복잡","JP0077G","","1800000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Overdenture, complex, G 치아지지가철성의치, 복잡","JP0035G","","1800000","","","Y","N",""
"대전","치과의 보철료","Implant, milled bar,Titanium,Fixture 5ea, G 매식술, 밀드바,Titanium,Fixture 5ea","JP0108G","","1600000","","","Y","N",""
"대전","치과의 보철료","F.D., Prec., base metal, G 총의치, 귀금속편","JP0044G","","1600000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Attachment, complex, G 어태치먼트 국소 의치, 복잡","JP0037G","","1600000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Overdenture, simple, G 치아지지가철성의치, 간단","JP0034G","","1600000","","","Y","N",""
"대전","치과의 보철료","임플란트목적 상악동거상술,측방접근 [복잡]","JM0055T","","1500000","","","N","N",""
"대전","치과의 보철료","임플란트목적 하치조측방전위술 [양측]","JM0067T","","1500000","","","N","N",""
"대전","치과의 보철료","Implant, milled bar, Gold,Fixture 3ea, G 매식술, 밀드바, Gold,Fixture 3ea","JP0102G","","1500000","","","Y","N",""
"대전","치과의 보철료","Implant, hader bar,Fixture 3ea, G 매식술, 헤더바,Fixture 3ea","JP0100G","","1500000","","","Y","N",""
"대전","치과의 보철료","Implant, Hybrid denture,Titanium,Fixture 4ea, G 매식술, 혼합형틀니,Titanium,Fixture 4ea","JP0096G","","1500000","","","Y","N",""
"대전","치과의 보철료","Implant overdenture, simple, G 임플란트 지지의치, 단순","JP0076G","","1500000","","","Y","N",""
"대전","치과의 보철료","Definitive obturator, metal base, G 최종폐쇄장치","JP0050G","","1500000","","","Y","N",""
"대전","치과의 보철료","Implant, milled bar,Titanium,Fixture 4ea, G 매식술, 밀드바,Titanium,Fixture 4ea","JP0107G","","1400000","","","Y","N",""
"대전","치과의 보철료","F.D., Mesh or base metal, G 총의치, 비귀금속편, 망사","JP0045G","","1400000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Attachment, simple, G 어태치먼트 국소 의치, 간단","JP0036G","","1400000","","","Y","N",""
"대전","치과의 보철료","R.P.D., electronic non-Prec., G 가철성 국소의치, 고주파 비귀금속","JP0032G","","1400000","","","Y","N",""
"대전","치과의 보철료","Implant, simple, G 치아 매식술, 단순","JP0070G","","1350000","","","Y","N",""
"대전","치과의 보철료","Implant, milled bar,Titanium,Fixture 3ea, G 매식술, 밀드바,Titanium,Fixture 3ea","JP0106G","","1200000","","","Y","N",""
"대전","치과의 보철료","Implant, hader bar,Fixture 2ea, G 매식술, 헤더바,Fixture 2ea","JP0099G","","1200000","","","Y","N",""
"대전","치과의 보철료","F.D., resin plate, G 총의치, 레진상","JP0046G","","1200000","","","Y","N",""
"대전","치과의 보철료","R.P.D.,non-Prec., G 가철성 국소의치, 비귀금속","JP0031G","","1200000","","","Y","N",""
"대전","치과의 보철료","Implant, hader bar, G 매식술, 헤더바","JP0080G","","1150000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Telescopic, complex, G 테레스코픽 국소 의치, 복잡","JP0039G","","1100000","","","Y","N",""
"대전","치과의 보철료","임플란트목적 상악동거상술,측방접근 [단순]","JM0054T","","1000000","","","N","N",""
"대전","치과의 보철료","임플란트목적 하치조측방전위술 [편측]","JM0066T","","1000000","","","N","N",""
"대전","치과의 보철료","bone graft, complex 골 이식술, 복잡","JM0044T","","1000000","","","N","N",""
"대전","치과의 보철료","Novel Guide [Finished Surgical Template 1-4 Implants] 노벨가이드 [서지컬 템플레이트,임플란트4개이하]","JK0017M","","1000000","","","N","N",""
"대전","치과의 보철료","Implant,국산, G 매식술,국산, G","JP0088G","","1000000","","","Y","N",""
"대전","치과의 보철료","Flexible denture Flexible denture (비귀금속),복잡","JP0062G","","900000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Telescopic, simple, G 테레스코픽 국소 의치, 간단","JP0038G","","880000","","","Y","N",""
"대전","치과의 보철료","CAD-CAM Ceramic crown,임플란트용(complex), G 캐드캠 세라믹 크라운,임플란트용(복잡)","JP0118G","","800000","","","Y","N",""
"대전","치과의 보철료","Implant crown, PFG, G 매식치 귀금속 도재관","JP0074G","","800000","","","Y","N",""
"대전","치과의 보철료","CAD-CAM Ceramic crown,임플란트용(simple), G 캐드캠 세라믹 크라운,임플란트용(단순)","JP0117G","","700000","","","Y","N",""
"대전","치과의 보철료","Konus Teles. crown, inner&outer,PT.G., G 코누스 텔레스코픽 내,외관 백금합금","JP0056G","","700000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Half, non-Prec. Elect., G 편측가철성국소의치, 고주파비귀금속","JP0028G","","700000","","","Y","N",""
"대전","치과의 보철료","Implant crown, Pt-gold, G 매식치금관, 백금가공","JP0072G","","660000","","","Y","N",""
"대전","치과의 보철료","Konus Teles. crown, inner&outer,PFG, G 코누스 텔레스코픽 내,외관 귀금속","JP0060G","","650000","","","Y","N",""
"대전","치과의 보철료","Implant crown, PFM, G 매식치 비귀금속 도재관","JP0075G","","600000","","","Y","N",""
"대전","치과의 보철료","Konus Teles. crown, inner&outer,Super G., G 코누스 텔레스코픽 내,외관 금합금","JP0057G","","600000","","","Y","N",""
"대전","치과의 보철료","F.D., Immediate, mesh, G 즉시총의치,망사","JP0047G","","600000","","","Y","N",""
"대전","치과의 보철료","Implant crown, A-gold, G 매식치 A-gold 도재관","JP0110G","","570000","","","Y","N",""
"대전","치과의 보철료","CAD-CAM Ceramic crown, G 캐드캠 세라믹 크라운","JP0116G","","550000","","","Y","N",""
"대전","치과의 보철료","Konus Teles. crown, inner&outer,PFM, G 코누스 텔레스코픽 내,외관 비귀금속","JP0059G","","550000","","","Y","N",""
"대전","치과의 보철료","Crown, collarless PFG, G 도재소부전장관, 무깃, 귀금속","JP0011G","","520000","","","Y","N",""
"대전","치과의 보철료","Crown, PFG, A, G 도재소부전장관, 귀금속, A","JP0008G","","520000","","","Y","N",""
"대전","치과의 보철료","Implant second surgery, Complex [경조직] 임플란트 2차 수술, 복잡 [경조직]","JM0060T","","500000","","","N","N",""
"대전","치과의 보철료","골증대술","JM0082T","","500000","","","N","N",""
"대전","치과의 보철료","Cornus Denture [내관 & 외관]","JM0052T","","500000","","","N","N",""
"대전","치과의 보철료","Implant, Magnetic, G 매식술, 자성체","JP0084G","","500000","","","Y","N",""
"대전","치과의 보철료","Locator, G 로케이터, G","JP0063G","","500000","","","Y","N",""
"대전","치과의 보철료","Konus Teles. crown, inner&outer,Palladium, G 코누스 텔레스코픽 내,외관 PD합금","JP0058G","","500000","","","Y","N",""
"대전","치과의 보철료","F.D., Immediate, resin plate, G 즉치총의치,레진상","JP0048G","","500000","","","Y","N",""
"대전","치과의 보철료","Crown, all ceramic, G 전부도재관, 전세라믹","JP0012G","","470000","","","Y","N",""
"대전","치과의 보철료","Implant, MDI, G 매식 술, MDI","JP0086G","","460000","","","Y","N",""
"대전","치과의 보철료","Crown, Gold - Pt, G　주조금관, 백금합금","JP0120G","","460000","","","Y","N","골드함량 72%"
"대전","치과의 보철료","Implant, O-ring, E.R.A., G 매식술, 오-링, E.R.A.","JP0085G","","450000","","","Y","N",""
"대전","치과의 보철료","Crown, PFG, B, G 도재소부전장관, 귀금속, B","JP0009G","","450000","","","Y","N",""
"대전","치과의 보철료","Attachment, complex, G 부착장치, 복잡","JP0055G","","440000","","","Y","N",""
"대전","치과의 보철료","R.P.D., Temporary, G 임시 가철성 국소의치","JP0033G","","430000","","","Y","N",""
"대전","치과의 보철료","Implant, abutment change, B, Mat 인공치매식, 지대치 교환, B [재료]","JK0005M","","400000","","","N","N",""
"대전","치과의 보철료","Locator, G","JP0113G","","400000","","","Y","N",""
"대전","치과의 보철료","Crown, Laminate veneer, G 전부도재관, 순면버니어","JP0013G","","400000","","","Y","N",""
"대전","치과의 보철료","Crown, Maryland, Prec., G 금주조관, 메리랜드, 귀금속","JP0015G","","370000","","","Y","N",""
"대전","치과의 보철료","Crown, PFM, A, G 도재소부전장관, 비귀금속, A","JP0006G","","370000","","","Y","N",""
"대전","치과의 보철료","Magnetic,1ea, G","JP0112G","","350000","","","Y","N",""
"대전","치과의 보철료","Attachment, medium, G 부착장치, 보통","JP0054G","","350000","","","Y","N",""
"대전","치과의 보철료","F.D., Temporary, G","JP0049G","","350000","","","Y","N",""
"대전","치과의 보철료","Inlay, Prec. Gold complex, G 인레이, 귀금속, 복잡","JP0017G","","350000","","","Y","N",""
"대전","치과의 보철료","Crown, PFM, B, G 도재소부전장관, 비귀금속, B","JP0007G","","350000","","","Y","N",""
"대전","치과의 보철료","Crown, Palladium, G 주조금관, Pd 합금","JP0003G","","350000","","","Y","N","골드함량 46%"
"대전","치과의 보철료","Attachment, Magnetic, G 자석장치","JP0052G","","340000","","","Y","N",""
"대전","치과의 보철료","Implant second surgery, Complex [연조직] 임플란트 2차 수술, 복잡 [연조직]","JM0059T","","300000","","","N","N",""
"대전","치과의 보철료","임플란트목적 상악동거상술 [편측]","JM0065T","","300000","","","N","N",""
"대전","치과의 보철료","Implant, abutment change fee 치아매식, 지대체 교환","JM0036T","","300000","","","N","N",""
"대전","치과의 보철료","Implant, magnetic change fee 치아매식, 자석체 교환","JM0035T","","300000","","","N","N",""
"대전","치과의 보철료","Attachment, simple, G 부착장치, 단순","JP0053G","","300000","","","Y","N",""
"대전","치과의 보철료","Rebase, indirect, complex, G 의치 이장술, 간접법, 복잡","JP0041G","","300000","","","Y","N",""
"대전","치과의 보철료","Inlay, Prec. Gold simple, G 인레이, 귀금속, 단순","JP0016G","","300000","","","Y","N",""
"대전","치과의 보철료","Crown, Maryland, non-Prec., G 주조관, 메리랜드, 비귀금속","JP0014G","","290000","","","Y","N",""
"대전","치과의 보철료","ERA,1ea, G","JP0111G","","280000","","","Y","N",""
"대전","치과의 보철료","Inlay, Por. or resin, complex, G 인레이, 포세라인 or 레진, 복잡","JP0019G","","280000","","","Y","N",""
"대전","치과의 보철료","Inlay, Por. or resin, simple,G 인레이, 포세라인 or 레진, 단순","JP0018G","","270000","","","Y","N",""
"대전","치과의 보철료","Post&Core, gold complex, G 포스트관, 귀금속, 복잡","JP0021G","","260000","","","Y","N",""
"대전","치과의 보철료","Esthetic resin filling 심미 레진 충전 미용 목적 시술시 국비/감면 환자 공히 전액 본인부담","JM0002T","","250000","","","N","N",""
"대전","치과의 보철료","Crown, Metal, G 주조관, N-C 합금","JP0004G","","250000","","","Y","N",""
"대전","치과의 보철료","Post&Core, gold simple, G 포스트관, 귀금속, 단순","JP0020G","","230000","","","Y","N",""
"대전","치과의 보철료","Post&Core, glassfiber, G 포스트관, 그래스화이버","JP0023G","","220000","","","Y","N",""
"대전","치과의 보철료","bone graft, simple 골 이식술, 단순","JM0043T","","200000","","","N","N",""
"대전","치과의 보철료","Implant, temporary resin Cr., complex 치아매식, 임시 레진치, 복잡","JM0042T","","200000","","","N","N",""
"대전","치과의 보철료","Over denture magnetic 교환 치아지지 가철성 의치 자석체 교환","JM0034T","","200000","","","N","N",""
"대전","치과의 보철료","P.F.M repair, complex 포세린관 수리, 복잡","JM0005T","","200000","","","N","N",""
"대전","치과의 보철료","Implant, Cr. Remake fee, B, Mat 인공치매식, 크라운 재제작비, B [재료]","JK0009M","","200000","","","N","N",""
"대전","치과의 보철료","Implant, abutment change, A, Mat 인공치매식, 지대치 교환, A [재료]","JK0004M","","200000","","","N","N",""
"대전","치과의 보철료","Implant, Magnetic change, Mat 인공치매식, 자석 교환 [재료]","JK0003M","","200000","","","N","N",""
"대전","치과의 보철료","Rebase, indirect, simple, G 의치 이장술, 간접법, 단순","JP0040G","","190000","","","Y","N",""
"대전","치과의 보철료","Post&Core, Para, G 포스트관, 파라 포스트","JP0022G","","180000","","","Y","N",""
"대전","치과의 보철료","Direct denture reline, complex 의치 직접 이장술, 복잡","JM0011T","","150000","","","N","N",""
"대전","치과의 보철료","R.D, Magnetic change, Mat 가철성 의치, 자석 교환 [재료]","JK0002M","","150000","","","N","N",""
"대전","치과의 보철료","R.D, Attachment Change, Mat 가철성 의치 어테치먼트 교환 [재료]","JK0001M","","150000","","","N","N",""
"대전","치과의 보철료","Flipper, complex, G 임시치, 복잡","JP0042G","","150000","","","Y","N",""
"대전","치과의 보철료","임플란트목적 레이저치료","JM0064T","","100000","","","N","N",""
"대전","치과의 보철료","Surgical stent, 복잡 [임플란트4개이상] 서지컬 스텐트(수술용 스텐트), 복잡 [임플란트4개이상]","JM0063T","","100000","","","N","N",""
"대전","치과의 보철료","Implant second surgery ,Simple 임플란트 2차 수술, 간단","JM0058T","","100000","","","N","N",""
"대전","치과의 보철료","Peri implantitis treatment 임플란트 주위염 치료 주: 임플란트 1차 및 2차 수술 기간중 발생된 염증 치료는 별도 산정하지 않는다.","JM0057T","","100000","","","N","N",""
"대전","치과의 보철료","Milling 비","JM0053T","","100000","","","N","N",""
"대전","치과의 보철료","SURGICAL UNCOVERING [1치당] 치관노출술 [1치당]","JM0084T","","100000","","","N","N",""
"대전","치과의 보철료","보격장치 [가철식]","JM0086T","","100000","","","N","N",""
"대전","치과의 보철료","implant repair, complex 치아매식 수리, 복잡","JM0040T","","100000","","","N","N",""
"대전","치과의 보철료","Implant, UCLA screw change fee 치아매식, 유씨엘에이 스크류 교환","JM0038T","","100000","","","N","N",""
"대전","치과의 보철료","P.R.P .피.알.피","JM0031T","","100000","","","N","N",""
"대전","치과의 보철료","Dx of implant, complex 치아 매식 진단료, 복잡","JM0029T","","100000","","","N","N",""
"대전","치과의 보철료","Fluorid therapy [1악당] 불소 도포 [1악당] 예방목적시술 국비/감면 환자 공히 감면부담","JM0025T","","100000","","","N","N",""
"대전","치과의 보철료","Direct denture reline, simple 의치 직접 이장술, 단순","JM0010T","","100000","","","N","N",""
"대전","치과의 보철료","Denture repair, complex 의치수리, 복잡","JM0009T","","100000","","","N","N",""
"대전","치과의 보철료","P.F.M repair, simple 포세린관 수리, 단순","JM0004T","","100000","","","N","N",""
"대전","치과의 보철료","Pressure Injection Resin System [재료]","JK0015M","","100000","","","N","N",""
"대전","치과의 보철료","Konus Telescopic Milling fee 코너스 텔레스코픽 크라운 밀링 기공비 [재료]","JK0014M","","100000","","","N","N",""
"대전","치과의 보철료","Implant, Cr. Remake fee, A, Mat 인공치매식, 크라운 재제작비, A [재료]","JK0008M","","100000","","","N","N",""
"대전","치과의 보철료","Scaling 치석제거","JM0047T","","80000","","","N","N",""
"대전","치과의 보철료","Light curing G.I filling 광중합 G.I 충전","JM0003T","","80000","","","N","N",""
"대전","치과의 보철료","Composite resin filling (light curing) 광중합 복합 레진 충전","JM0001T","","80000","","","N","N",""
"대전","치과의 보철료","Screw post 나선형 합정","JM0006T","","70000","","","N","N",""
"대전","치과의 보철료","Laser Solder 레이져 솔더","JM0056T","","60000","","","N","N",""
"대전","치과의 보철료","Surgical stent, 단순 [임플란트3개이하] 서지컬 스텐트(수술용 스텐트), 단순 [임플란트3개이하]","JM0062T","","50000","","","N","N",""
"대전","치과의 보철료","Perio test [인공치아 개당] 치주 테스트 [인공치아 개당]","JM0061T","","50000","","","N","N",""
"대전","치과의 보철료","Implant, temporary resin Cr., simple 치아매식, 임시 레진치, 단순","JM0041T","","50000","","","N","N",""
"대전","치과의 보철료","implant repair, simple 치아매식 수리, 단순","JM0039T","","50000","","","N","N",""
"대전","치과의 보철료","Implant, coping screw change fee 치아매식, 코핑 스크류 교환","JM0037T","","50000","","","N","N",""
"대전","치과의 보철료","Over denture O-ring & ERA 교환 치아지지 가철성 의치 오-링&이알에이 교환","JM0033T","","50000","","","N","N",""
"대전","치과의 보철료","Over denture clip 교환 치아지지 가철성 의치 클립 교환","JM0032T","","50000","","","N","N",""
"대전","치과의 보철료","Dx of implant, simple 치아 매식 진단료, 단순","JM0028T","","50000","","","N","N",""
"대전","치과의 보철료","Resin facing repair [1치당] Resin facing 수리 [1치당]","JM0026T","","50000","","","N","N",""
"대전","치과의 보철료","Flipper, simple 임시 의치, 단순","JM0013T","","50000","","","N","N",""
"대전","치과의 보철료","Direct denture soft reline 탄성 의치상 이장술","JM0012T","","50000","","","N","N",""
"대전","치과의 보철료","Denture repair, simple 의치수리, 단순","JM0008T","","50000","","","N","N",""
"대전","치과의 보철료","Implant, UCLA screw change, Mat 인공치매식, 유씨엘에이 스크류 교환 [재료]","JK0007M","","50000","","","N","N",""
"대전","치과의 보철료","Pit & fissure sealant 치면 열구 전색","JM0045T","","30000","","","N","N",""
"대전","치과의 보철료","Oral exam, consult. 구강 검사 및 상담 치료기간중 1회산정","JM0027T","","30000","","","N","N",""
"대전","치과의 보철료","Occlusal splint 관리 교합안정장치 관리","JM0024T","","30000","","","N","N",""
"대전","치과의 보철료","Study impression [1악당] 모형 분석용 인상 [1악당]","JM0022T","","30000","","","N","N",""
"대전","치과의 보철료","T.B.I 잇솔질 교습 [회당] 예방목적시술 1인 1회(평생) 국비대상자 국비 산정(감면 환자는 최초 1회도 감면산정) 이후 국비/감면 환자 공히 감면부?/td>","JM0018T","","30000","","","N","N",""
"대전","치과의 보철료","plaque control, complex 치태조절 및 예방술식, 복잡","JM0017T","","30000","","","N","N",""
"대전","치과의 보철료","Resin temporary crown 레진 가공 의치 [1치당]","JM0014T","","30000","","","N","N",""
"대전","치과의 보철료","Endura resin, post. Teeth, Mat 경질 레진 구치 [재료]","JK0013M","","30000","","","N","N",""
"대전","치과의 보철료","Implant, coping screw change, Mat 인공치매식, 코핑 스크류 교환 [재료]","JK0006M","","30000","","","N","N",""
"대전","치과의 보철료","Endura resin, ant. Teeth, Mat 경질 레진 전치 [재료]","JK0012M","","20000","","","N","N",""
"대전","치과의 보철료","Overdenture O-ring change, Mat 오버덴쳐 오-링 교환 [재료]","JK0011M","","20000","","","N","N",""
"대전","치과의 보철료","보철 치료(CHECK UP)중 주: 보철 장착 당일에는 산정하지 않는다.","JM0083T","","10000","","","N","N",""
"대전","치과의 보철료","Laser 충치예방치료 [1치당] 예방 목적시술 국비/감면 환자 공히 감면 부담","JM0048T","","10000","","","N","N",""
"대전","치과의 보철료","plaque control,simple 치태조절 및 예방술식, 단순","JM0016T","","10000","","","N","N",""
"대전","치과의 보철료","Overdenture clip change, Mat 오버덴쳐 클립 교환 [재료]","JK0010M","","10000","","","N","N",""
"대전","치과의 보철료","Pin 핀","JM0007T","","10000","","","N","N",""
"대전","초음파 검사료","초음파 IVUS","RHZ00100","","200000","","","N","N",""
"대전","시기능검사","안과/인공수정체도수검사 IOL Master(편측)","SZ04000A","","50000","","","N","N",""
"대전","순환기 기능 검사","동맥경화도검사(맥파전달속도측정)","SZ07201","","30000","","","N","N",""
"대전","기타","자궁경부촬영확대술","SZ04700","","25000","","","N","N",""
"대전","척추","척추강-경추,흉추,요천추와동시촬영-일반","HE114","","675000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-경추, 흉추, 요천추와 동시 촬영-조영제 주입 전·후 촬영판독","HE214","","675000","","","N","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-조영제주입전·후 촬영판독","HE212","","450000","","","N","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-일반","HE112","","450000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-조영제주입전·후 촬영판독","HE211","","450000","","","N","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-일반","HE111","","450000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","흉추-조영제주입전·후 촬영판독","HE210","","450000","","","N","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","흉추-일반","HE110","","450000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","경추-조영제주입전·후 촬영판독","HE209","","450000","","","N","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","경추-일반","HE109","","450000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-흉추와 동시 촬영-조영제 주입 전·후 촬영판독","HE213","","675000","","","N","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-흉추와동시촬영-일반","HE113","","675000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","기타","종합검진 (여자) A급","AQH412","","270000","","","N","N",""
"대전","기타","종합검진(남자)A급","AQH411","","250000","","","N","N",""
"대전","정신요법료","안구운동 민감소실 및 재처리요법","NZ005","","150000","","","N","N",""
"대전","자가면역질환검사","항GD1b항체 [IgM]","CZ425","","52665","","","N","N",""
"대전","여성 생식기, 임신과 분만","질 및 회음부 성형술 [대] 비급여","HZOG01001","","1000000","","","N","N",""
"대전","여성 생식기, 임신과 분만","질 및 회음부 성형술 [중]","HZOG01002","","800000","","","N","N",""
"대전","여성 생식기, 임신과 분만","질 및 회음부 성형술 [소]","HZOG01003","","500000","","","N","N",""
"대전","여성 생식기, 임신과 분만","(비급여) 난관 결찰술","HZOG00100","","300000","","","N","N",""
