"대분류","중분류","소분류","명칭","코드","비용","최저비용","최고비용","특이사항"
"행위료","초음파 검사료","초음파 검사료","혈관사지혈관 도플러 초음파하지정맥","EB488","144170","","",""
"행위료","초음파 검사료","초음파 검사료","혈관사지혈관 도플러 초음파하지정맥류","EB489","161930","","",""
"행위료","초음파 검사료","초음파 검사료","혈관대동맥 도플러 초음파","EB490","87830","","",""
"행위료","초음파 검사료","초음파 검사료","신경중추신경계 초음파경천문 뇌","EB501","202480","","",""
"행위료","초음파 검사료","초음파 검사료","신경중추신경계 초음파척수","EB502","202480","","",""
"행위료","초음파 검사료","초음파 검사료","신경말초신경 초음파편측","EB503","60380","","",""
"행위료","초음파 검사료","초음파 검사료","신경말초신경 초음파사지신경 모두를 종합적으로 검사","EB504","157530","","",""
"행위료","초음파 검사료","초음파 검사료","심장경식도 심초음파","EB611","505280","","",""
"행위료","초음파 검사료","초음파 검사료","심장심장내 초음파","EB612","555800","","",""
"행위료","초음파 검사료","초음파 검사료","유도 초음파  Ⅰ ","EB561","54340","","",""
"행위료","초음파 검사료","초음파 검사료","유도 초음파   Ⅱ","EB562","108690","","",""
"행위료","초음파 검사료","초음파 검사료","유도 초음파   Ⅲ","EB563","130420","","",""
"행위료","초음파 검사료","초음파 검사료","유도 초음파   Ⅳ","EB564","326050","","",""
"행위료","자기공명영상진단료(MRI)","뇌","뇌일반촬영료 등","HI101","389680","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","뇌","뇌조영제 주입 전·후 촬영 판독촬영료 등","HI201","517160","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","안면일반촬영료 등","HI103","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","부비동일반촬영료 등","HI104","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","안와일반촬영료 등","HI105","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","측두골일반촬영료 등","HI106","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","측두하악관절일반촬영료 등","HI107","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","경부일반촬영료 등","HI108","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","안면조영제 주입 전·후 촬영 판독촬영료 등","HI203","561620","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","부비동조영제 주입 전·후 촬영 판독촬영료 등","HI204","561620","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","안와조영제 주입 전·후 촬영 판독촬영료 등","HI205","561620","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","측두골조영제 주입 전·후 촬영 판독촬영료 등","HI206","561620","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","측두하악관절조영제 주입 전·후 촬영 판독촬영료 등","HI207","561620","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","두경부","경부조영제 주입 전·후 촬영 판독촬영료 등","HI208","561620","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","경추일반촬영료 등","HI109","400720","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","흉추일반촬영료 등","HI110","400720","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","요천추일반촬영료 등","HI111","400720","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","척추강일반촬영료 등","HI112","400720","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","전척추 일반촬영료 등","HI113","719340","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","경추조영제주입전·후 촬영판독","HI209","531590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","흉추조영제주입전·후 촬영판독","HI210","531590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","요천추조영제주입전·후 촬영판독","HI211","531590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","척추","전척추 조영제주입전·후 촬영판독","HI213","954900","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","견관절일반","HE115","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","주관절일반","HE116","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","수관절일반","HE117","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","고관절일반","HE118","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","천장골관절일반","HE119","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","슬관절일반","HE120","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","발목관절일반","HE121","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","관절외 상지일반","HE122","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","관절외 하지일반","HE123","430000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","견관절조영제주입전·후 촬영판독","HE215","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","주관절조영제주입전·후 촬영판독","HE216","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","수관절조영제주입전·후 촬영판독","HE217","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","고관절조영제주입전·후 촬영판독","HE218","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","천장골관절조영제주입전·후 촬영판독","HE219","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","슬관절조영제주입전·후 촬영판독","HE220","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","발목관절조영제주입전·후 촬영판독","HE221","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","관절외 상지조영제주입전·후 촬영판독","HE222","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","근골격계","관절외 하지조영제주입전·후 촬영판독","HE223","430000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","복부일반촬영료 등","HI127","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","골반일반촬영료 등","HI128","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","췌장일반촬영료 등","HI129","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","신장 및 부신일반촬영료 등","HI130","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","음낭 및 음경일반촬영료 등","HI131","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","간일반촬영료 등","HI132","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","담췌관일반촬영료 등","HI133","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","전립선일반촬영료 등","HI134","423240","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","복부조영제 주입 전·후 촬영 판독촬영료 등","HI227","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","골반조영제 주입 전·후 촬영 판독촬영료 등","HI228","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","췌장조영제 주입 전·후 촬영 판독촬영료 등","HI229","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","신장 및 부신조영제 주입 전·후 촬영 판독촬영료 등","HI230","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","음낭 및 음경조영제 주입 전·후 촬영 판독촬영료 등","HI231","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","간조영제 주입 전·후 촬영 판독촬영료 등","HI232","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","담췌관조영제 주입 전·후 촬영 판독촬영료 등","HI233","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","복부","전립선조영제 주입 전·후 촬영 판독촬영료 등","HI234","561590","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","혈관[동맥 또는 정맥]","사지혈관일반","HE139","400000","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","혈관[동맥 또는 정맥]","사지혈관조영제주입전·후 촬영판독","HE239","400000","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","혈관[동맥 또는 정맥]","뇌혈관일반촬영료 등","HI135","424400","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","혈관[동맥 또는 정맥]","경부혈관일반촬영료 등","HI136","424400","","","전송비용(금액) 포함  급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","혈관[동맥 또는 정맥]","뇌혈관조영제 주입 전·후 촬영 판독촬영료 등","HI235","563290","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","혈관[동맥 또는 정맥]","경부혈관조영제 주입 전·후 촬영 판독촬영료 등","HI236","563290","","","전송비용(금액) 포함 & 조영제 별도산정 / 급여 인정기준 외 실시한 경우 비급여"
"행위료","자기공명영상진단료(MRI)","특수검사","확산","HF101","225980","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","관류[3차원자기공명영상포함]","HF102","346270","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","분광영상","HF103","226960","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","영화 [기본검사 및 3차원자기공명영상 포함]","HF104","508590","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","Dynamic [기본검사 포함]","HF105","399520","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","기능적 [기본검사 및 3차원자기공명영상 포함] ","HF107","583150","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","확산기본검사와동시실시","HF201","125420","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","관류[3차원자기공명영상포함]기본검사와동시실시","HF202","195320","","",""
"행위료","자기공명영상진단료(MRI)","특수검사","분광영상기본검사와동시실시","HF203","134070","","",""
"행위료","이학요법료","기타 이학요법료","체외골반자기장치료(발기능.사정력강화,전립선동통)","MX0330000","30000","","",""
"행위료","이학요법료","기타 이학요법료","전산화 인지재활치료","","35000","","",""
"행위료","이학요법료","기타 이학요법료","증식치료 [척추부위]","","30000","","",""
"행위료","이학요법료","기타 이학요법료","도수치료 [1일당]","","40000","","",""
"행위료","이학요법료","기타 이학요법료","증식치료 [사지관절부위]","","20000","","",""
"행위료","처치 및 수술료 등","근골","체외충격파치료[근골격계질환]","SZ084","50000","","",""
"행위료","처치 및 수술료 등","순환기","시아노아크릴레이트를 이용한 복재정맥 폐색술(유도료 포함) [편측]","OZ3030000","700000","","",""
"행위료","처치 및 수술료 등","순환기","레이저정맥폐쇄술[유도료 포함]","OZ304","1000000","","",""
"행위료","처치 및 수술료 등","신경","경피적 경막외강 신경성형술","SZ634","","1209976","1400000",""
"행위료","치과 처치·수술료","치아질환 처치","인공치매식, 유씨엘에이 스크류 교환 [재료]","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","인공치매식, 자석 교환 [재료]","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","인공치매식, 코핑 스크류 교환 [재료]","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","인공치매식, 크라운 재제작비, A [재료]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","인공치매식, 크라운 재제작비, B [재료]","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임시 의치, 단순","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임플란트목적 레이저치료","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임플란트목적 상악동거상술 [편측]","","300000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임플란트목적 상악동거상술,측방접근 [단순]","","1000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임플란트목적 상악동거상술,측방접근 [복잡]","","1500000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임플란트목적 하치조측방전위술 [양측]","","1500000","","",""
"행위료","치과 처치·수술료","치아질환 처치","임플란트목적 하치조측방전위술 [편측]","","1000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","초음파 골재생 촉진술","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아 매식 진단료, 단순","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아 매식 진단료, 복잡","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아 표백술, 단순","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아 표백술, 복잡","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식 수리, 단순","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식 수리, 복잡","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식, 유씨엘에이 스크류 교환","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식, 임시 레진치, 단순","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식, 임시 레진치, 복잡","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식, 자석체 교환","","300000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식, 지대체 교환","","300000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아매식, 코핑 스크류 교환","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아지지 가철성 의치 오링&이알에이 교환","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치아지지 가철성 의치 자석체 교환","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치태조절 및 예방술식, 단순","","10000","","",""
"행위료","치과 처치·수술료","치아질환 처치","치태조절 및 예방술식, 복잡","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","코너스 텔레스코픽 크라운 밀링 기공비 [재료]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","탄성 의치상 이장술","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","포세린관 수리, 단순","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","포세린관 수리, 복잡","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","피.알.피","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Cornus Denture [내관 & 외관]","","500000","","",""
"행위료","치과 처치·수술료","치아질환 처치","FIXED ORTHODONTIC TX A 악안면기형안골교정술 A","","1000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","FIXED ORTHODONTIC TX B 악안면기형안골교정술 B","","2000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","FIXED ORTHODONTIC TX C 악안면기형안골교정술 C","","3000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","FIXED ORTHODONTIC TX D 악안면기형안골교정술 D","","4000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Implant  second surgery, Complex [경조직] 임플란트 2차 수술, 복잡 [경조직]","","500000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Implant  second surgery, Complex [연조직] 임플란트 2차 수술, 복잡 [연조직]","","300000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Implant  second surgery,Simple 임플란트 2차 수술, 간단","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Laser Solder 레이져 솔더","","60000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Laser 미백치료 [1치당]","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Laser 충치예방치료 [1치당]","","10000","","",""
"행위료","치과 처치·수술료","치아질환 처치","MANDIBULAR RECONSTRUCTION A 악안면골재건정복술 A","","1000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","MANDIBULAR RECONSTRUCTION B 악안면골재건정복술 B","","2000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","MANDIBULAR RECONSTRUCTION C 악안면골재건정복술 C","","3000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","MANDIBULAR RECONSTRUCTION D 악안면골재건정복술 D","","4000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","MANDIBULAR RECONSTRUCTION E 악안면골재건정복술 E","","5000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Mat 인공치매식, 지대치 교환, A [재료]","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Mat 인공치매식, 지대치 교환, B [재료]","","400000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Milling 비용","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Orthodontics, Morthly fee 교정 월정비","","60000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Peri implantitis treatment 임플란트 주위염 치료","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Perio test [인공치아 개당] 치주 테스트 [인공치아 개당]","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Pin 핀","","10000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Pit & fissure sealant 치면 열구 전색","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Pressure Injection Resin System [재료]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Resin facing 수리 [1치당]","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","SURGICAL UNCOVERING [1치당] 치관노출술 [1치당]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Scaling 치석제거","","80000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Sp cr 기성금관","","60000","","",""
"행위료","치과 처치·수술료","치아질환 처치","Surgical stent, 단순 [임플란트3개이하] 서지컬 스텐트(수술용 스텐트), 단순 [임플란트3개이하]","","50000","","",""
