병원,분류,명칭,코드,비용,최저비용,최고비용,치료재료대,약제비포함여부,특이사항
대전,행위료,복부-비뇨기계 초음파-신장·부신,SEB449,88770,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-비뇨기계 초음파-방광,SEB450,80080,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-남성생식기 초음파-전립선·정낭,SEB451,115210,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-남성생식기 초음파-전립선·정낭(경복부로 실시),SEB452,64060,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-남성생식기 초음파-음경,SEB453,90520,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-남성생식기 초음파-(도플러)음경,SEB45301,99570,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-남성생식기 초음파-음낭,SEB454,90520,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-여성생식기 초음파-일반,SEB455,103600,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-여성생식기 초음파-일반-자궁내 생리식염수 주입,SEB456,132520,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-여성생식기 초음파-정밀,SEB457,151810,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-소아 복부 초음파(만8세미만),SEB458,222270,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-손가락(편측)",SEB461,65100,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-손가락(편측)",SEB46101,71610,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-발가락(편측)",SEB46201,71610,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-발가락(편측)",SEB462,65100,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-주관절(편측)",SEB46301,78890,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-주관절(편측)",SEB463,71720,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-무릎관절(편측)",SEB46401,78890,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-슬관절(편측)",SEB464,71720,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-고관절(편측)",SEB46501,98790,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-고관절(편측)",SEB465,89800,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-견관절(편측)",SEB46601,98790,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-견관절(편측)",SEB466,89800,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-손목관절(편측)",SEB467,89800,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-손목관절(편측)",SEB46701,98790,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-발목관절(편측)",SEB468,89800,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파(도플러)-발목관절(편측)",SEB46801,98790,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-류마티스성 질환에 의한 다발성 관절염 진단 또는 평가",SEB46901,153250,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-관절 초음파-류마티스 질환에 의한 다발성 관절염",SEB469,139320,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-연부조직 초음파-일반",SEB470,65100,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"근골격, 연부-연부조직 초음파-정밀",SEB471,83610,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-뇌혈류 초음파,SEB481,129250,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-두개외 혈관 도플러 초음파-경동맥,SEB482,110320,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-두개외 혈관 도플러 초음파-기타 동맥,SEB483,57910,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-사지혈관 도플러 초음파-상지-동맥,SEB484,88900,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-사지혈관 도플러 초음파-상지-정맥,SEB485,88900,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-사지혈관 도플러 초음파-동정맥루의 혈류 및 협착 측정,SEB486,45760,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-사지혈관 도플러 초음파-하지-동맥,SEB487,140760,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-사지혈관 도플러 초음파-하지-정맥,SEB488,140760,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-사지혈관 도플러 초음파-하지 정맥류 검사,SEB489,158090,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,혈관-대동맥 도플러 초음파,SEB490,85750,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,신경-중추신경계 초음파-경천문 뇌,SEB501,197680,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,신경-중추신경계 초음파-척수,SEB502,197680,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,신경-말초신경 초음파(편측),SEB503,58960,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,신경-말초신경 초음파-사지신경 종합 검사,SEB504,153800,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,임산부-제1삼분기-일반,SEB511,81130,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,임산부-제1삼분기-일반-임신 여부만 확인,SEB512,55050,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,임산부-제1삼분기-정밀,SEB513,144760,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,임산부-제1삼분기-정밀-기형아 계측,SEB514,185650,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"임산부-제2,3삼분기-일반",SEB515,114830,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"임산부-제2,3삼분기-일반-고위험 임신",SEB516,149290,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"임산부-제2,3삼분기-정밀",SEB517,246090,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,"임산부-제2,3삼분기-정밀-기형아 계측",SEB518,288310,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,유도초음파(Ⅰ),SEB561,53060,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,유도초음파(Ⅱ),SEB562,106110,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,유도초음파(Ⅲ),SEB563,127330,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,유도초음파(Ⅳ),SEB564,318350,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-선천성 심질환 경식도 심초음파,SEB610,106090,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-경식도 심초음파,SEB611,493340,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-심장내 초음파,SEB612,542670,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,DITI (전신),SZ05110,100000,,,,,
대전,행위료,DITI  (족부),SZ05108,50000,,,,,
대전,행위료,DITI  (요천추 및 하지),SZ05104,50000,,,,,
대전,행위료,DITI  ( 기타 ),SZ05109,50000,,,,,
대전,행위료,DITI (악관절),SZ05102,50000,,,,,
대전,행위료,DITI (흉추),SZ05105,50000,,,,,
대전,행위료,DITI (경추 및 상지),SZ05103,50000,,,,,
대전,행위료,적외선체열진단 [두부 및 부비동],SZ05101,50000,,,,,
대전,행위료,안구광학단층촬영(편측),SEZ796,50000,,,,,
대전,행위료,동맥경화도검사(맥파전달속도측정),SZ07201,30000,,,,,
대전,행위료,수술 중 초음파 B - 뇌혈류/뇌혈관(NS),SEZ98502,250000,,,,,
대전,행위료,수술 중 초음파 B - 하지정맥류(GS,SEZ9850203,250000,,,,,
대전,행위료,수술 중 초음파 B - 동정맥루(GS),SEZ9850202,250000,,,,,
대전,행위료,수술 중 초음파 A - 케모포트(GS),SEZ9850101,120000,,,,,
대전,행위료,혈관내초음파,RHZ00100,200000,,,,,
대전,행위료,신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사,FZ044,30000,,,,,수가종료
대전,행위료,신경인지기능검사-개별검사-유형Ⅲ-레이복합도형검사,SFB030,29940,,,,,종료
대전,행위료,신경증 불안평가 - 증상 및 행동 평가 척도(불안척도),SFY705,35000,,,,,
대전,행위료,신경증우울평가 - 증상 및 행동 평가 척도(우울척도),SFY713,35000,,,,,
대전,행위료,한국판 성격평가척도,SZ11303,30000,,,,,
대전,행위료,후각기능검사 -인지,SZ0970001,20000,,,,,
대전,행위료,후각기능검사 -역치,SZ0970002,20000,,,,,
대전,행위료,후각기능검사 [인지 및 역치 동시시행],SZ09700G,40000,,,,,
대전,행위료,호기 산화질소 측정,SZ09701,55000,,,,,
대전,행위료,발음 및 발성검사,SZ10802,50000,,,,,
대전,행위료,언어전반진단검사,SZ11500,25000,,,,,
대전,행위료,동적체평형검사,FZ00300,50000,,,,,
대전,행위료,비디오전기 안진검사 체위변환 및 이석정복술 (체(두)위변환 및 이석치환술),SZ01705,103500,,,,,
대전,행위료,"비디오 전기 안진검사, 주시 (주시안진검사:Gaze nystagmus)",SZ01702,31010,,,,,
대전,행위료,비디오전기 안진 안구 운동검사 [정밀],SZ01503,,31010,103500,,,
대전,행위료,비디오전기 안진 자발안진검사 ,SZ01601,50000,,,,,
대전,행위료,비디오전기 안진검사 급속안구운동 (단순운동검사 saccade test),SZ01602,50000,,,,,
대전,행위료,비디오전기 안진검사 두진 (두위안진검사 positional test),SZ01701,31010,,,,,
대전,행위료,"비디오전기 안진검사 체위변환 (체위변환,두위변환검사)",SZ01704,51800,,,,,
대전,행위료,비디오전기 안진검사 시표추적 (시추적검사 smooth pursuit test),SZ01604,50000,,,,,
대전,행위료,비디오전기 안진검사 시운동성 안진 및 운동후(시운동성안진 및 후안진검사),SZ01710,50000,,,,,
대전,행위료,비디오전기안진검사,SZ01706,100000,,,,,
대전,행위료,비디오전기 온도안진검사 (냉온교대  caloric test),SZ01707,31010,,,,,
대전,행위료,비디오전기 온도안진검사 (단일  caloric test),SZ01708,27000,,,,,
대전,행위료,경추-일반,HE109,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,흉추-일반,HE110,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,요천추-일반,HE111,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,척추강-일반,HE112,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,요천추-흉추와동시촬영-일반,HE113,235000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,"척추강-경추,흉추,요천추와동시촬영-일반",HE114,705000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,견관절-일반,RMHE115,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,주관절-일반,RMHE116,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,수관절-일반,RMHE117,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,고관절-일반,RMHE118,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,천장골관절-일반,RMHE119,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,슬관절-일반,RMHE120,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,발목관절-일반,RMHE121,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,관절외상지-일반,RMHE122,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,관절외하지-일반,RMHE123,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,사지혈관-일반,RMHE139,400000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,관절조영,RMHE142,470000,,,,,급여 인정기준 외 실시한 경우 비급여
대전,행위료,경추-조영제주입전·후 촬영판독,HE209,470000,,,,,조영제 별도산정 급여 인정기준 외 실시한 경우 비급여
대전,행위료,흉추-조영제주입전·후 촬영판독,HE210,470000,,,,,조영제 별도산정 급여 인정기준 외 실시한 경우 비급여
대전,행위료,요천추-조영제주입전·후 촬영판독,HE211,470000,,,,,조영제 별도산정 급여 인정기준 외 실시한 경우 비급여
대전,행위료,척추강-조영제주입전·후 촬영판독,HE212,470000,,,,,조영제 별도산정 급여 인정기준 외 실시한 경우 비급여
대전,행위료,견관절-조영제주입전·후 촬영판독,RMHE215,470000,,,,,조영제 별도산정 급여 인정기준 외 실시한 경우 비급여
대전,행위료,주관절-조영제주입전·후 촬영판독,RMHE216,470000,,,,,조영제 별도산정 급여 인정기준 외 실시한 경우 비급여
