상태,대분류,중분류,소분류,항목코드,항목명칭,의료기관사용코드,의료기관사용명칭,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,특이사항,최종변경일,고지시작일,고지종료일,등록일
고지중,약제비,,,641704360,일양실데나필정100밀리그램,DSILDE100,일양실데나필정100밀리그램(100밀리그램),,1455,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,642100700,삐콤정,DBC,삐콤정(6밀리그램),,14,,,,,,2021-11-01,2021-04-01,9999-12-31,2022-02-09
종료,약제비,,,642201580,에세푸릴현탁액(니푸록사지드),DECEFSY,에세푸릴현탁액(니푸록사지드),,7,,,,,,,2020-02-04,2021-05-20,2022-02-09
고지중,약제비,,,642202290,파자임-95밀리그램이중정,DPZM,파자임-95밀리그램이중정(95밀리그램),,64,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,642502030,베스타제당의정,DBST,베스타제당의정(75밀리그램),,39,,,,,,2022-11-01,2021-11-01,9999-12-31,2022-10-31
고지중,약제비,,,642503020,자이데나정100밀리그램(유데나필),DZYDE1,자이데나정100밀리그람(유데나필)(100밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,642503030,자이데나정200밀리그램(유데나필),DZYDE2,자이데나정200밀리그람(유데나필)(200밀리그램),,3572,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,642505131,그로트로핀투주사액카트리지(재조합인성장호르몬),MGHGR,그로트로핀투주사액카트리지(재조합인성장호르몬)(30IU),,93373,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,642506310,자이데나정50밀리그램(유데나필),DZYDE,자이데나정50밀리그램(유데나필)(50밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,642507050,자이데나정75밀리그램(유데나필),DZYDE75,자이데나정75밀리그램(유데나필)(75밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,642507391,주블리아외용액(에피나코나졸),DEFINAIL,주블리아외용액(에피나코나졸)(4밀리리터),,19971,,,,,,2022-11-01,2021-04-01,9999-12-31,2022-10-31
고지중,약제비,,,642905941,푸레파인연고,DPREPAO,푸레파인연고,,2650,,,,,,2022-11-01,2020-08-12,9999-12-31,2022-10-31
고지중,약제비,,,643501140,복합써스펜좌약,DSUSP,복합써스펜좌약(1300밀리그램),,278,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,643507040,구구정20밀리그램(타다라필),DTADA20,구구정20밀리그램(타다라필)(20밀리그램),,1903,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,643601020,마이드린캡슐,DMYDR,마이드린캡슐(325밀리그램),,89,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,643601400,유락신연고(크로타미톤),DTAMI,유락신연고(크로타미톤),,850,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,643601900,헤파빅주(비형간염사람면역글로불린),MHBIG,헤파빅주(비형간염사람면역글로불린)(수출명:헤파글로브)(1밀리리터),,32762,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,643604611,페라미플루주15밀리리터(페라미비르수화물),MPERAMIFLU,페라미플루주15밀리리터(페라미비르수화물)(15밀리리터),,9609,,,,,,2023-02-01,2020-02-04,9999-12-31,2023-01-25
고지중,약제비,,,643605041,녹십자-세포배양일본뇌염백신주(건조세포배양일본뇌염백신),MJBEC04,보령세포배양일본뇌염백신주(건조세포배양일본뇌염백신)(0.4밀리리터),,30000,,,,,,,2022-01-04,9999-12-31,2022-02-09
고지중,약제비,,,643900900,액티피드정,DACT,액티피드정(60밀리그램),,22,,,,,,2022-11-01,2021-04-01,9999-12-31,2022-10-31
고지중,약제비,,,644200190,리덕틸캅셀10㎎(염산시부트라민),DREDUC10,리덕틸캅셀10㎎(염산시부트라민)(10밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644200200,리덕틸캅셀15㎎(염산시부트라민),DREDUC15,리덕틸캅셀15㎎(염산시부트라민)(15밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644206290,크레온캡슐25000(판크레아스분말),DCREON25,크레온캡슐25000(판크레아스분말)(300밀리그램),,412,,,,,,2022-11-01,2021-04-01,9999-12-31,2022-10-31
고지중,약제비,,,644206370,하이드라섹산30mg(라세카도트릴),DHIDRAS30,하이드라섹산30mg(라세카도트릴)(30밀리그램),,430,,,,,,,2021-11-01,9999-12-31,2022-02-09
고지중,약제비,,,644206380,하이드라섹산10mg(라세카도트릴),DHIDRAS10,하이드라섹산10mg(라세카도트릴)(10밀리그램),,514,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644701810,엠빅스정100밀리그램(염산미로데나필),DMBIX100,엠빅스정100밀리그램(염산미로데나필)(100밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644701820,엠빅스정50밀리그램(미로데나필염산염),DMBIX50,엠빅스정50밀리그램(미로데나필염산염)(50밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644703730,엠빅스에스구강붕해필름50밀리그램(미로데나필),DMVIX5S,엠빅스에스구강붕해필름50밀리그램(미로데나필)(50밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644704020,레밋치연질캡슐2.5마이크로그램(날푸라핀염산염),DREMITCH,레밋치연질캡슐2.5마이크로그램(날푸라핀염산염)(2.5마이크로그램),,2550,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,644913320,제피드정100밀리그램(아바나필),DZEPEED1,제피드정100밀리그램(아바나필)(100밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,644913330,제피드정200밀리그램(아바나필),DZEPEED2,제피드정200밀리그램(아바나필)(200밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,645000380,제니칼캅셀120밀리그람(오르리스타트),DXENI,제니칼캅셀120밀리그람(오르리스타트)(120밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,645302133,포크랄시럽(포수클로랄),atMED000001,포크랄시럽(포수클로랄)(10밀리리터),,796,,,,,,2021-11-01,2021-11-01,9999-12-31,2022-02-09
고지중,약제비,,,646601401,플로실헤모스태틱매트릭스,DFLOS,플로실헤모스태틱매트릭스(500IU),,299144,,,,,,2021-05-01,2021-01-01,9999-12-31,2022-02-09
종료,약제비,,,646802660,서카딘서방정2mg(멜라토닌),DMELATONIN,서카딘서방정2mg,,510,,,,,,2020-11-01,2020-11-01,2022-08-12,2022-08-12
고지중,약제비,,,646901090,프릴리지정30밀리그램(다폭세틴염산염),DPRIL3,프릴리지정30밀리그램(다폭세틴염산염)(30밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,646901100,프릴리지정60밀리그램(다폭세틴염산염),DPRIL6,프릴리지정60밀리그램(다폭세틴염산염)(60밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,647400280,코박스폴리오PF주(프리필드시린지)(개량불활화폴리오백신),MIMOPV,코박스폴리오PF주(프리필드시린지)(개량불활화폴리오백신)(0.5밀리리터),,30000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,648300043,그린관장약(농글리세린)(수출명:FIT-APO),D50GLY,그린관장약(농글리세린),,536,,,,,,,2021-01-01,9999-12-31,2022-10-31
고지중,약제비,,,648300980,그린백색바셀린(원료),DVASE100,바셀린100g,,477,,,,,,2022-11-01,2020-08-12,9999-12-31,2022-10-31
고지중,약제비,,,648900390,비아그라정50밀리그람(실데나필시트르산염),DVIA,비아그라정50밀리그람(실데나필시트르산염)(50밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,648900400,비아그라정100밀리그람(실데나필시트르산염),DVIA100,비아그라정100밀리그람(실데나필시트르산염)(100밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,648900910,챔픽스정0.5밀리그램(바레니클린타르타르산염),DCHAM05,챔픽스정0.5밀리그램(바레니클린타르타르산염)(0.5밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,648900920,챔픽스정1밀리그램(바레니클린타르타르산염),DCHAM1,챔픽스정1밀리그램(바레니클린타르타르산염)(1밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,648901021,카버젝트주사20마이크로그람(알프로스타딜),MALP20,카버젝트주사20마이크로그람(알프로스타딜)(20마이크로그램),,17772,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,648902271,프리베나13주(폐렴구균씨알엠(CRM197)단백접합백신),MPVENAR13,프리베나13주(폐렴구균씨알엠(CRM197)단백접합백신),,90000,,,,,MPVENAR-A(성인),2022-08-31,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,649802480,에스젠질크림(에스트로피페이트)(수출용),DESGEN,에스젠질크림(에스트로피페이트),,1425,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,650001801,하브릭스주(A형간염백신),MHAV1,하브릭스주(A형간염백신),,70000,,,,,,2022-08-11,2020-08-05,9999-12-31,2023-04-24
고지중,약제비,,,650002730,인판릭스아이피브이프리필드시린지(흡착디프테리아파상풍톡소이드정제백일해및개량불활화폴리오혼합백신),MPDTIPV,"인판릭스아이피브이프리필드시린지(흡착 디프테리아, 파상풍 톡소이드, 정제 백일해 및 개량 불활화 폴리오 혼합백신)(0.5밀리리터)",,50000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,650003030,플루아릭스테트라프리필드시린지(인플루엔자분할백신),MFLU4-PE,플루아릭스테트라프리필드시린지(인플루엔자분할백신)(0.5밀리리터),,30000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,650003081,멘비오[(수막구균ACW135Y)-CRM197단백접합백신],MMENVEO,멘비오[(수막구균ACW135Y)-CRM197단백접합백신],,130000,,,,,,2022-07-14,2020-04-27,9999-12-31,2023-04-24
고지중,약제비,,,650101100,콜크린액,SECOLC1,콜크린액,,5000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,650202471,폴락스산(마크로골4000),DMAC10,폴락스산(마크로골4000)(10그램),,475,,,,,,,2022-08-11,9999-12-31,2022-08-11
고지중,약제비,,,650205740,서카톤피알서방정2밀리그램(멜라토닌),DMELATONIN,서카톤피알서방정2밀리그램(멜라토닌)(2밀리그램),,521,,,,,,2022-08-13,2022-08-13,9999-12-31,2022-08-12
종료,약제비,,,650400010,바리-엘백신(수두생바이러스백신),MBIKEN,바리-엘백신(수두생바이러스백신)(0.5밀리리터),,30000,,,,,,,2020-02-04,2023-04-24,2023-04-24
고지중,약제비,,,652500031,데카펩틸주0.1밀리그램(트립토렐린아세트산염),MDPCR01,데카펩틸주0.1밀리그람(트립토렐린아세트산염)(1밀리리터),,2242,,,,,,2022-11-01,2021-11-11,9999-12-31,2022-10-31
고지중,약제비,,,652602861,이소바이드액(이소소르비드액),DISOS,이소바이드액(500밀리리터),,40200,,,,,,2023-02-01,2020-02-04,9999-12-31,2023-01-25
고지중,약제비,,,653801170,신일비사코딜정,DDULCO,신일비사코딜정(5밀리그램),,4,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,654802040,액상하이랙스주(히알루로니다제),MHLASE-L,액상하이랙스주(히알루로니다제)(1밀리리터),,13296,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,655500021,가다실프리필드시린지[인유두종바이러스4가(6111618형)백신(유전자재조합)],MGDS,가다실프리필드시린지[인유두종바이러스4가(6111618형)백신(유전자재조합)],,120000,,,,,,2022-09-22,2021-04-01,9999-12-31,2023-04-24
고지중,약제비,,,655500031,로타텍액[경구용약독화로타생바이러스백신(사람-소재배열)],MROTAV,로타텍액[경구용약독화로타생바이러스백신(사람-소재배열)],,80000,,,,,경구용,,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,655500111,박타주(A형간염백신),MHAV,박타주(A형간염백신),,30000,,,,,,2022-12-31,2020-11-18,9999-12-31,2023-04-24
고지중,약제비,,,655500271,엠엠알II(홍역유행성이하선염및풍진혼합생바이러스백신),MMMR2,엠엠알II(홍역유행성이하선염및풍진혼합생바이러스백신),,30000,,,,,,2022-09-22,2020-12-28,9999-12-31,2023-04-24
고지중,약제비,,,655501751,브리디온주(슈가마덱스나트륨),MBRID2,브리디온주(슈가마덱스나트륨)(2밀리리터),,76413,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,655501931,가다실9프리필드시린지[인유두종바이러스9가(61116183133455258형)백신(유전자재조합)],MGDS9,가다실9프리필드시린지[인유두종바이러스9가(61116183133455258형)백신(유전자재조합)],,180000,,,,,,2022-09-22,2021-04-01,9999-12-31,2023-04-24
고지중,약제비,,,655501941,프로디악스-23프리필드시린지(폐렴구균백신),MPNEUMO,프로디악스-23프리필드시린지(폐렴구균백신),,50000,,,,,,2022-08-19,2021-05-20,9999-12-31,2023-04-24
고지중,약제비,,,657200750,환인키누프릴정(퀴누프라민),DQUIN,환인키누프릴정(퀴누프라민)(2.5밀리그램),,21,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,657400580,성광칼라민로오션,DCALAM,성광칼라민로오션,,9,,,,,,2021-11-01,2021-02-01,9999-12-31,2022-02-09
고지중,약제비,,,657400590,백색바셀린,DVASE,백색바셀린,,8,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,657805981,덱스메딘주(덱스메데토미딘염산염),MPRECEDEX,덱스메딘주(덱스메데토미딘염산염)(2밀리리터),,12979,,,,,,,2021-11-29,9999-12-31,2022-02-09
고지중,약제비,,,659600291,예나스테론주(테스토스테론에난테이트),MTESTOE,예나스테론주(에난토산테스토스테론)(1밀리리터),,4092,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,659900050,로와콜연질캡슐,DROWA,로와콜연질캅셀(32밀리그램),,425,,,,,,2022-11-01,2020-11-01,9999-12-31,2022-10-31
고지중,약제비,,,659901460,오라팡정,DORAFA,오라팡정(1125밀리그램)(28정/1박스),,19654,,,,,,2022-11-01,2022-02-23,9999-12-31,2022-10-31
고지중,약제비,,,661700270,싸이젠주8밀리그람(소마트로핀)(24아이유),MSAIZ24,싸이젠주8밀리그람(소마트로핀)(24아이유)(24IU),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,661700650,싸이젠리퀴드카트리지주5.83mg/mL(소마트로핀),MSAIZ18,싸이젠리퀴드카트리지주5.83mg/mL(소마트로핀)(1.03밀리리터),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,662501680,타스나정(탄산수소나트륨),DBIVONT,타스나정(탄산수소나트륨)(500밀리그램),,19,,,,,,2022-11-01,2021-05-01,9999-12-31,2022-10-31
고지중,약제비,,,665100070,압노바비스쿰에프20mg주사액[비스쿰알붐(숙주목:프락시니)압축추출액(1→50)],MABNOF,압노바비스쿰에프20mg주사액(에프-2)[비스쿰알붐(숙주목:프락시니)20mg에서추출한15mg압축액](1밀리리터),,22820,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,665900111,아다셀주(성인용흡착디프테리아파상풍톡소이드및정제백일해혼합백신),MADAC,아다셀주(성인용흡착디프테리아파상풍톡소이드및정제백일해혼합백신),,40000,,,,,,2022-07-11,2020-02-25,9999-12-31,2023-04-24
고지중,약제비,,,665900121,테트락심주(흡착디프테리아파상풍톡소이드정제백일해및개량불활화폴리오혼합백신),MTETRA,테트락심주(흡착디프테리아파상풍톡소이드정제백일해및개량불활화폴리오혼합백신),,50000,,,,,,2023-04-20,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,665900211,펜탁심주(흡착디프테리아파상풍톡소이드정제백일해개량불활화폴리오및헤모필루스인플루엔자비형-파상풍톡소이드접합혼합백신),MPENTAXIM,펜탁심주(흡착디프테리아파상풍톡소이드정제백일해개량불활화폴리오및헤모필루스인플루엔자비형-파상풍톡소이드접합혼합백신),,70000,,,,,,2022-08-02,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,666500030,페리오클린치과용연고(미노사이클린염산염),DMC-DO,페리오클린치과용연고(염산미노사이클린),,18581,,,,,,2022-11-01,2021-07-29,9999-12-31,2022-10-31
고지중,약제비,,,666700011,씨디.제박스(일본뇌염생바이러스백신),MJEVAX05,씨디.제박스(일본뇌염생바이러스백신),,40000,,,,,,2022-09-22,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,667200040,싸이트로핀에이카트리지주30IU(소마트로핀)(유전자재조합),MSCITRO30,싸이트로핀에이카트리지주30IU(소마트로핀)(유전자재조합)(30IU),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,668900913,유박스비주(B형간염백신유전자재조합)(수출명:리콤박스주헤파티박스주RecombinantHepatitisBVaccine엘지유박스비주)(보존제미함유.소아용),MHBVC,유박스비주(B형간염백신유전자재조합)(수출명:리콤박스주헤파티박스주RecombinantHepatitisBVaccine엘지유박스비주)(보존제미함유.소아용),,20000,,,,,,2022-09-22,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,668900923,유박스비주(B형간염백신유전자재조합)(수출명:리콤박스주헤파티박스주RecombinantHepatitisBVaccine엘지유박스비주)(보존제미함유.성인용),MHBV,유박스비주(B형간염백신유전자재조합)(수출명:리콤박스주헤파티박스주RecombinantHepatitisBVaccine엘지유박스비주)(보존제미함유.성인용),,30000,,,,,,2022-09-03,2021-12-18,9999-12-31,2023-04-24
고지중,약제비,,,668901891,유히브주(헤모필루스인플루엔자비형·파상풍톡소이드접합백신),MHPIB,유히브주(헤모필루스인플루엔자비형·파상풍톡소이드접합백신),,30000,,,,,,2022-08-23,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,669803300,메디라제주(히알루로니다제),MHLASE,메디라제주(히알루로니다제)(1500IU),,7819,,,,,,2022-11-03,2020-11-01,9999-12-31,2022-11-02
고지중,약제비,,,670500090,보령일본뇌염백신주,MJBE,보령일본뇌염백신주(1밀리리터),,30000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670500280,스타로랄300설하액(집먼지진드기)초기치료단계,DSTAL300I,스타로랄300설하액(집먼지진드기)초기치료단계,,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670500290,스타로랄300설하액(집먼지진드기)유지치료단계,DSTAL300M,스타로랄300설하액(집먼지진드기)유지치료단계,,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670500330,보령플루백신V주(프리필드시린지)(인플루엔자분할백신),MFLU05,보령플루백신V주(프리필드시린지)(인플루엔자분할백신)(0.5밀리리터),,25000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670500350,보령플루백신V주(프리필드시린지)(인플루엔자분할백신),MFLU25,보령플루백신V주(프리필드시린지)(인플루엔자분할백신)(0.25밀리리터),,25000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670500531,보령세포배양일본뇌염백신주(건조세포배양일본뇌염백신),MJBEC,보령세포배양일본뇌염백신주(건조세포배양일본뇌염백신),,40000,,,,,,2022-09-01,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,670500611,보령디티에이피백신주(프리필드시린지)(흡착디프테리아파상풍톡소이드및정제백일해혼합백신),MPDT05,보령디티에이피백신주(프리필드시린지)(흡착디프테리아파상풍톡소이드및정제백일해혼합백신),,30000,,,,,,2023-04-24,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,670501031,보령플루Ⅷ테트라백신주(프리필드시린지)(인플루엔자분할백신),MFLU4,보령플루Ⅷ테트라백신주(프리필드시린지)(인플루엔자분할백신)(0.5밀리리터),,30000,,,,,MFLU4-A(성인),,2021-09-13,9999-12-31,2022-02-09
고지중,약제비,,,670606490,네노마정15밀리그램(클로미프라민염산염),DNENO,네노마정15밀리그램(클로미프라민염산염)(15밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670800100,시알리스정10밀리그램(타다라필),DCIAL1,시알리스정10밀리그램(타다라필)(10밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670800110,시알리스정20밀리그램(타다라필),DCIAL2,시알리스정20밀리그램(타다라필)(20밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,670800500,시알리스정5밀리그램(타다라필),DCIAL,시알리스정5밀리그램(타다라필)(5밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,673100041,디티부스터주(프리필드시린지)(성인용흡착디프테리아및파상풍혼합백신),MTD,디티부스터주(프리필드시린지)(성인용흡착디프테리아및파상풍혼합백신),,30000,,,,,,2023-04-24,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,674900100,아젤리아크림(아젤라산),DAZEL,아젤리아크림(아젤라산),,9750,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,676800020,트롬보젝주3%30mg/ml(테트라데실황산나트륨),MTROMBO3,트롬보젝주3%30mg/ml(테트라데실황산나트륨)(2밀리리터),,31900,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,681100301,지씨아르기닌주(L-아르기닌염산염),atMED000002,지씨아르기닌주 (L-아르기닌염산염)(25밀리리터),,18500,,,,,,,2022-05-27,9999-12-31,2022-05-27
고지중,약제비,,,681800010,박티그라(클로르헥시딘아세트산염),3012300107,박티그라,,1800,,,,,,2023-05-01,2021-04-27,9999-12-31,2023-04-24
고지중,약제비,,,684900041,파이브로베인주1%(테트라데실황산나트륨),MTROMBO1,파이브로베인주1%(테트라데실황산나트륨),,26800,,,,,,2022-09-03,2020-11-01,9999-12-31,2023-04-24
고지중,약제비,,,686500010,경피용건조비씨지백신(일본균주),MBCGP,경피용건조비씨지백신(일본균주)(12밀리그램),,60000,,,,,,2022-08-04,2020-02-04,9999-12-31,2022-08-03
고지중,행위료,상급병실료(차액),상급병실료(차액),ABZ010001,1인실,A2Z0010203,1인실,,263280,,,,,간호간병(일반과),2022-01-01,2023-01-01,9999-12-31,2023-02-03
고지중,행위료,상급병실료(차액),상급병실료(차액),ABZ010001,1인실,A2Z0010205,1인실,,278840,,,,,간호간병(내소정),2022-01-01,2023-01-01,9999-12-31,2023-02-03
고지중,행위료,상급병실료(차액),상급병실료(차액),ABZ010001,1인실,A2Z0010201,1인실,,155120,,,,,,2022-01-01,2023-01-01,9999-12-31,2023-02-03
고지중,행위료,상급병실료(차액),상급병실료(차액),ABZ010001,1인실,A2Z0010202,1인실,,170290,,,,,,2022-01-01,2023-01-01,9999-12-31,2023-02-03
고지중,행위료,상급병실료(차액),상급병실료(차액),ABZ010001,1인실,A2Z00102,1인실,,70000,,,,,,,2023-01-01,9999-12-31,2023-02-03
고지중,치료재료대,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질,,BB3001BP,HISTOACRYL 1050060,BB3001BP,HISTOACRYL 1050060,,48725,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,치료재료대,인체조직유래 2차 가공뼈,,BC0101AT,DBX PUTTY,BC0101AT,DBX PUTTY,,,278000,846000,,,"1CC,2.5CC,0.5CC",,2020-02-04,9999-12-31,2022-02-09
고지중,치료재료대,인체조직유래 2차 가공뼈,,BC0102QT,"BONGENER, CGDBM DEEP, EL FUSE INJECTABLE",BC0102QT,"BONGENER, CGDBM DEEP, EL FUSE INJECTABLE",,,345000,814000,,,"1CC,2.5CC",,2020-02-04,9999-12-31,2022-02-09
고지중,치료재료대,발톱고정용 재료,,BC1301PE,K-D CLAMP,BC1301PE,K-D CLAMP,,132000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,치료재료대,척추고정용,,BF0001KV,MOBI-C WITH PLUG & FIT,BF0001KV,MOBI-C WITH PLUG & FIT,,4170000,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,치료재료대,척추고정용,,BF0004AT,PRODISC-C,BF0004AT,PRODISC-C,,4169455,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,치료재료대,척추경막외 유착방지제,,BF0101AY,ADCON-GEL,BF0101AY,ADCON-GEL,,640000,,,,,,,2020-02-04,9999-12-31,2022-02-09
