"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"29","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅳ)","EB564","SEB564","347460","","","","","급여 인정기준 외 실시한 경우 비급여"
"30","[행위]초음파 검사료","기능 검사료(호흡기기능검사)","정량적감각기능검사","FY883","SZ10900","30000","","","","",""
"31","[행위]초음파 검사료","진단초음파-복부","진단초음파-(도플러)복부-항문초음파만 시행한 경우","EB447010","SEB44701","131340","","","","","급여 인정기준 외 실시한 경우 비급여"
"32","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(고위험임신)제2,3삼분기","EB516","SEB51601","225605","","","","","급여 인정기준 외 실시한 경우 비급여"
"33","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(기형아정밀계측)제1삼분기","EB514","SEB51401","303945","","","","","급여 인정기준 외 실시한 경우 비급여"
"34","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB51801","472020","","","","","급여 인정기준 외 실시한 경우 비급여"
"35","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(일반)제1삼분기","EB511","SEB51101","132810","","","","","급여 인정기준 외 실시한 경우 비급여"
"36","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(일반)제2,3삼분기","EB515","SEB51501","187995","","","","","급여 인정기준 외 실시한 경우 비급여"
"37","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(임신여부만 확인)제1삼분기","EB512","SEB51201","90135","","","","","급여 인정기준 외 실시한 경우 비급여"
"38","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(정밀)제1삼분기","EB513","SEB51301","237000","","","","","급여 인정기준 외 실시한 경우 비급여"
"39","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(정밀)제2,3삼분기","EB517","SEB51701","402900","","","","","급여 인정기준 외 실시한 경우 비급여"
"40","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(고위험임신)제2,3삼분기","EB516","SEB51602","288270","","","","","급여 인정기준 외 실시한 경우 비급여"
"41","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(기형아정밀계측)제1삼분기","EB514","SEB51402","405260","","","","","급여 인정기준 외 실시한 경우 비급여"
"42","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB51802","629360","","","","","급여 인정기준 외 실시한 경우 비급여"
"43","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(일반)제1삼분기","EB511","SEB51102","177080","","","","","급여 인정기준 외 실시한 경우 비급여"
"44","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(일반)제2,3삼분기","EB515","SEB51502","250660","","","","","급여 인정기준 외 실시한 경우 비급여"
"45","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(임신여부만 확인)제1삼분기","EB512","SEB51202","120180","","","","","급여 인정기준 외 실시한 경우 비급여"
"46","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(정밀)제1삼분기","EB513","SEB51302","316000","","","","","급여 인정기준 외 실시한 경우 비급여"
"47","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(정밀)제2,3삼분기","EB517","SEB51702","537200","","","","","급여 인정기준 외 실시한 경우 비급여"
"48","[행위]초음파 검사료","진단초음파-두경부","진단초음파-경부-(도플러)갑상선·부갑상선","EB414010","SEB41401","110470","","","","","급여 인정기준 외 실시한 경우 비급여"
"49","[행위]초음파 검사료","진단초음파-두경부","진단초음파-경부-(도플러)갑상선·부갑상선 제외한 경부","EB415010","SEB41501","110470","","","","","급여 인정기준 외 실시한 경우 비급여"
"50","[행위]초음파 검사료","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선","EB414","SEB414","100420","","","","","급여 인정기준 외 실시한 경우 비급여"
"51","[행위]초음파 검사료","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선 제외한 경부","EB415","SEB415","100420","","","","","급여 인정기준 외 실시한 경우 비급여"
"52","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)견관절(편측)Shoulder","EB466010","SEB46601","107830","","","","","급여 인정기준 외 실시한 경우 비급여"
"53","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)고관절(편측)Hip","EB465010","SEB46501","107830","","","","","급여 인정기준 외 실시한 경우 비급여"
"54","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)류마티스성질환3부위이상관절종합","EB469010","SEB46901","167270","","","","","급여 인정기준 외 실시한 경우 비급여"
"55","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)발가락(편측)Toe","EB462010","SEB46201","78160","","","","","급여 인정기준 외 실시한 경우 비급여"
"56","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)발목관절(편측)Ankle","EB468010","SEB46801","107830","","","","","급여 인정기준 외 실시한 경우 비급여"
"57","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)손가락(편측)","EB461010","SEB46101","78160","","","","","급여 인정기준 외 실시한 경우 비급여"
"58","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)손목관절(편측)Wrist","EB467010","SEB46701","107830","","","","","급여 인정기준 외 실시한 경우 비급여"
"59","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)슬관절(편측)Knee","EB464010","SEB46401","86100","","","","","급여 인정기준 외 실시한 경우 비급여"
"60","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)주관절(편측)Elbow","EB463010","SEB46301","86100","","","","","급여 인정기준 외 실시한 경우 비급여"
"61","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-견관절(편측)Shoulder","EB466","SEB466","98030","","","","","급여 인정기준 외 실시한 경우 비급여"
"62","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-고관절(편측)Hip","EB465","SEB465","98030","","","","","급여 인정기준 외 실시한 경우 비급여"
"63","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-류마티스성질환3부위이상관절종합","EB469","SEB469","152060","","","","","급여 인정기준 외 실시한 경우 비급여"
"64","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-발가락(편측)Toe","EB462","SEB462","71050","","","","","급여 인정기준 외 실시한 경우 비급여"
"65","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-발목관절(편측)Ankle","EB468","SEB468","98030","","","","","급여 인정기준 외 실시한 경우 비급여"
"66","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-손가락(편측)","EB461","SEB461","71050","","","","","급여 인정기준 외 실시한 경우 비급여"
"67","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-손목관절(편측)Wrist","EB467","SEB467","98030","","","","","급여 인정기준 외 실시한 경우 비급여"
"68","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-슬관절(편측)Knee","EB464","SEB464","78270","","","","","급여 인정기준 외 실시한 경우 비급여"
"69","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-주관절(편측)Elbow","EB463","SEB463","78270","","","","","급여 인정기준 외 실시한 경우 비급여"
"70","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)음경 Penis","EB453010","SEB45301","108680","","","","","급여 인정기준 외 실시한 경우 비급여"
"71","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)음낭 Scrotum","EB454010","SEB45401","108680","","","","","급여 인정기준 외 실시한 경우 비급여"
"72","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)전립선·정낭(경복부로 실시)","EB452010","SEB45201","76910","","","","","급여 인정기준 외 실시한 경우 비급여"
"73","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)전립선·정낭(경직장으로 실시)","EB451010","SEB45101","138330","","","","","급여 인정기준 외 실시한 경우 비급여"
"74","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-음경 Penis","EB453","SEB453","98810","","","","","급여 인정기준 외 실시한 경우 비급여"
"75","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-음낭 Scrotum","EB454","SEB454","98810","","","","","급여 인정기준 외 실시한 경우 비급여"
"76","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-전립선·정낭(경복부로 실시)","EB452","SEB452","69920","","","","","급여 인정기준 외 실시한 경우 비급여"
"77","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","EB451","SEB451","125750","","","","","급여 인정기준 외 실시한 경우 비급여"
"78","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)(일반)간·담낭·담도·비장·췌장","EB441010","SEB44101","146620","","","","","급여 인정기준 외 실시한 경우 비급여"
"79","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)(정밀)간·담낭·담도·비장·췌장","EB442010","SEB44201","217720","","","","","급여 인정기준 외 실시한 경우 비급여"
"80","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)서혜부 Inguinal region","EB445010","SEB44501","92470","","","","","급여 인정기준 외 실시한 경우 비급여"
"81","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)소장·대장 Small Bowel·Colon","EB444010","SEB44401","133920","","","","","급여 인정기준 외 실시한 경우 비급여"
"82","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)직장·항문 Rectum·Anus","EB446010","SEB44601","157600","","","","","급여 인정기준 외 실시한 경우 비급여"
"83","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)충수 Appendix","EB443010","SEB44301","133820","","","","","급여 인정기준 외 실시한 경우 비급여"
"84","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(일반)간·담낭·담도·비장·췌장","EB441","SEB441","133290","","","","","급여 인정기준 외 실시한 경우 비급여"
"85","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(정밀)간·담낭·담도·비장·췌장","EB442","SEB442","197930","","","","","급여 인정기준 외 실시한 경우 비급여"
"86","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(조영)(일반)간·담낭·담도·비장·췌장","EB441020","SEB44102","173270","","","","","급여 인정기준 외 실시한 경우 비급여"
"87","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(조영)(정밀)간·담낭·담도·비장·췌장","EB442020","SEB44202","257300","","","","","급여 인정기준 외 실시한 경우 비급여"
"88","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-서혜부 Inguinal region","EB445","SEB445","84050","","","","","급여 인정기준 외 실시한 경우 비급여"
"89","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-소장·대장 Small Bowel·Colon","EB444","SEB444","121740","","","","","급여 인정기준 외 실시한 경우 비급여"
"90","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-직장·항문 Rectum·Anus","EB446","SEB446","143270","","","","","급여 인정기준 외 실시한 경우 비급여"
"91","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-충수 Appendix","EB443","SEB443","121660","","","","","급여 인정기준 외 실시한 경우 비급여"
"92","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-항문초음파만 시행한 경우","EB447","SEB447","119390","","","","","급여 인정기준 외 실시한 경우 비급여"
"93","[행위]초음파 검사료","진단초음파-흉부","진단초음파-비·부비동 초음파","EB416","SEB416","66340","","","","","급여 인정기준 외 실시한 경우 비급여"
"94","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-(도플러)신장·부신","EB449010","SEB44901","106580","","","","","급여 인정기준 외 실시한 경우 비급여"
"95","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-(도플러)신장·부신·방광","EB448010","SEB44801","117930","","","","","급여 인정기준 외 실시한 경우 비급여"
"96","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-방광 Bladder","EB450010","SEB45001","96150","","","","","급여 인정기준 외 실시한 경우 비급여"
"97","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-방광 Bladder","EB450","SEB450","87410","","","","","급여 인정기준 외 실시한 경우 비급여"
"98","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-신장·부신","EB449","SEB449","96890","","","","","급여 인정기준 외 실시한 경우 비급여"
"99","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-신장·부신·방광","EB448","SEB448","107210","","","","","급여 인정기준 외 실시한 경우 비급여"
"100","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계","EB501","SEB501","215770","","","","","급여 인정기준 외 실시한 경우 비급여"
"101","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-(만1세미만소아 척수)중추신경계","EB502","SEB502","215770","","","","","급여 인정기준 외 실시한 경우 비급여"
"102","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-(사지신경 종합검사)말초신경 초음파","EB504","SEB504","167860","","","","","급여 인정기준 외 실시한 경우 비급여"
"103","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-말초신경 초음파(편측)","EB503","SEB503","64350","","","","","급여 인정기준 외 실시한 경우 비급여"
"104","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(단순)경흉부심초음파","EB431","SEB431","122250","","","","","급여 인정기준 외 실시한 경우 비급여"
"105","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파","EB430","SEB430","115780","","","","","급여 인정기준 외 실시한 경우 비급여"
"106","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(약물)부하심초음파","EB434","SEB434","569150","","","","","급여 인정기준 외 실시한 경우 비급여"
"107","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(운동)부하심초음파","EB435","SEB435","541150","","","","","급여 인정기준 외 실시한 경우 비급여"
"108","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(일반)경흉부심초음파","EB432","SEB432","192970","","","","","급여 인정기준 외 실시한 경우 비급여"
"109","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(전문)경흉부심초음파","EB433","SEB433","281380","","","","","급여 인정기준 외 실시한 경우 비급여"
"110","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-태아정밀 심초음파","EB436","SEB436","422820","","","","","급여 인정기준 외 실시한 경우 비급여"
"111","[행위]초음파 검사료","진단초음파-두경부","진단초음파-안-안구","EB411","SEB411","100060","","","","","급여 인정기준 외 실시한 경우 비급여"
"112","[행위]초음파 검사료","진단초음파-두경부","진단초음파-안-안와","EB412","SEB412","100060","","","","","급여 인정기준 외 실시한 경우 비급여"
"113","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-(도플러)일반","EB455010","SEB45501","124380","","","","","급여 인정기준 외 실시한 경우 비급여"
"114","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-(도플러)정밀","EB457010","SEB45701","182260","","","","","급여 인정기준 외 실시한 경우 비급여"
"115","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-일반","EB455","SEB455","113070","","","","","급여 인정기준 외 실시한 경우 비급여"
"116","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우","EB456","SEB456","144630","","","","","급여 인정기준 외 실시한 경우 비급여"
"117","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-정밀","EB457","SEB457","165680","","","","","급여 인정기준 외 실시한 경우 비급여"
"118","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-(도플러)일반","EB470010","SEB47001","78160","","","","","급여 인정기준 외 실시한 경우 비급여"
"119","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-(도플러)정밀","EB471010","SEB47101","100390","","","","","급여 인정기준 외 실시한 경우 비급여"
"120","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-일반","EB470","SEB470","71050","","","","","급여 인정기준 외 실시한 경우 비급여"
"121","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-정밀","EB471","SEB471","91250","","","","","급여 인정기준 외 실시한 경우 비급여"
"122","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(고위험임신)제2,3삼분기","EB516","SEB516","162940","","","","","급여 인정기준 외 실시한 경우 비급여"
"123","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(기형아정밀계측)제1삼분기","EB514","SEB514","202630","","","","","급여 인정기준 외 실시한 경우 비급여"
"124","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB518","314680","","","","","급여 인정기준 외 실시한 경우 비급여"
"125","[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(도플러)(일반)제1삼분기","EB511010","SEB51103","97390","","","","",""
"126","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(일반)제1삼분기","EB511","SEB511","88540","","","","","급여 인정기준 외 실시한 경우 비급여"
"127","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(일반)제2,3삼분기","EB515","SEB515","125330","","","","","급여 인정기준 외 실시한 경우 비급여"
"128","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(임신여부만 확인)제1삼분기","EB512","SEB512","60090","","","","","급여 인정기준 외 실시한 경우 비급여"
"129","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(정밀)제1삼분기","EB513","SEB513","158000","","","","","급여 인정기준 외 실시한 경우 비급여"
"130","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(정밀)제2,3삼분기","EB517","SEB517","268600","","","","","급여 인정기준 외 실시한 경우 비급여"
"131","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(경동맥)두개외 혈관 도플러","EB482","SEB482","120420","","","","","급여 인정기준 외 실시한 경우 비급여"
"132","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(기타 동맥)두개외 혈관 도플러","EB483","SEB483","63220","","","","","급여 인정기준 외 실시한 경우 비급여"
"133","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러","EB486","SEB486","49950","","","","","급여 인정기준 외 실시한 경우 비급여"
"134","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(상지-동맥)사지혈관 도플러","EB484","SEB484","97030","","","","","급여 인정기준 외 실시한 경우 비급여"
"135","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(상지-정맥)사지혈관 도플러","EB485","SEB485","97030","","","","","급여 인정기준 외 실시한 경우 비급여"
"136","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러","EB489","SEB489","172560","","","","","급여 인정기준 외 실시한 경우 비급여"
"137","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(하지-동맥)사지혈관 도플러","EB487","SEB487","153640","","","","","급여 인정기준 외 실시한 경우 비급여"
"138","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-(하지-정맥)사지혈관 도플러","EB488","SEB488","153640","","","","","급여 인정기준 외 실시한 경우 비급여"
"139","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-뇌혈류","EB481","SEB481","141070","","","","","급여 인정기준 외 실시한 경우 비급여"
"140","[행위]초음파 검사료","진단초음파-혈관","진단초음파-혈관-대동맥 도플러","EB490","SEB490","93580","","","","","급여 인정기준 외 실시한 경우 비급여"
"141","[행위]초음파 검사료","진단초음파-흉부","진단초음파-흉부-(도플러)유방·액와부 제외한 흉부 초음파","EB422010","SEB42201","102980","","","","","급여 인정기준 외 실시한 경우 비급여"
"142","[행위]초음파 검사료","진단초음파-흉부","진단초음파-흉부-(도플러)유방·액와부 초음파","EB421010","SEB42101","148890","","","","","급여 인정기준 외 실시한 경우 비급여"
"143","[행위]초음파 검사료","진단초음파-흉부","진단초음파-흉부-유방·액와부 제외한 흉부 초음파","EB422","SEB422","93620","","","","","급여 인정기준 외 실시한 경우 비급여"
"144","[행위]초음파 검사료","진단초음파-흉부","진단초음파-흉부-유방·액와부 초음파","EB421","SEB421","135350","","","","","급여 인정기준 외 실시한 경우 비급여"
"145","[행위]초음파 검사료","초음파 검사료","초음파영상-검사 유도목적 초음파하양수천자술","","SZ08200","90000","","","","",""
"146","[행위]초음파 검사료","초음파 검사료","초음파영상-검사 유도목적/근골격계초음파,간단","","SZ09301","30000","","","","",""
"147","[행위]초음파 검사료","초음파 검사료","초음파영상-검사 유도목적/근골격계초음파,복잡","","SZ09302","120000","","","","",""
"148","[행위]초음파 검사료","초음파 검사료","특수초음파-기관지내시경초음파/기관지내시경초음파검사","EZ991","SZ09401","300000","","","","",""
"149","[행위]초음파 검사료","초음파 검사료","특수초음파-기관지내시경초음파/기관지내시경초음파를 이용한 세침흡인술","EZ991","SZ09402","500000","","","X","","재료대별도산정"
"150","[행위]초음파 검사료","초음파 검사료","특수초음파-내시경초음파/초음파 내시경검사","","SZ06201","200000","","","","",""
"151","[행위]초음파 검사료","초음파 검사료","특수초음파-내시경초음파/초음파 내시경검사 [Miniprobe 이용]","","SZ06202","250000","","","","",""
"152","[행위]초음파 검사료","초음파 검사료","특수초음파-내시경초음파/초음파 내시경검사 직장 [중부]","","SZ06302","80000","","","","",""
"153","[행위]초음파 검사료","초음파 검사료","특수초음파-내시경초음파/초음파 내시경검사(항문)","","SZ06304","40000","","","","",""
"154","[행위]초음파 검사료","특수초음파-심장","특수초음파-심장-(선천성심질환에검사 별도산정)경식도 심초음파","EB610","SEB610","115780","","","","","급여 인정기준 외 실시한 경우 비급여"
"155","[행위]초음파 검사료","특수초음파-심장","특수초음파-심장-경식도 심초음파","EB611","SEB611","538450","","","","","급여 인정기준 외 실시한 경우 비급여"
"156","[행위]초음파 검사료","특수초음파-심장","특수초음파-심장-심장내 초음파","EB612","SEB612","592300","","","","","급여 인정기준 외 실시한 경우 비급여"
"157","[행위]초음파 검사료","초음파 검사료","특수초음파-혈관내초음파","EZ994","RHZ00100","200000","","","","",""
"158","[행위]검사료","검사료","CHROMOSOM(AF)양수검사","","LWZ0014","469547","","","","",""
"159","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","관절계를 이용한 무릎관절인대검사","EZ775","HZOS00300","30000","","","","",""
"160","[행위]검사료","기능검사료(시기능검사)","눈의 계측검사[편측]-레이저 간섭계 이용","E7801","SE7801[국비정산EDI SZ04000A]","50000","","","","",""
