월,진료과,퇴원결과,주상병코드,주상병명,건수
2023-08,호흡기내과,호전,U07,U07의 응급사용,7
2023-12,안과,호전,H25,노년백내장,24
2023-12,소화기내과,경쾌,C25,췌장의 악성 신생물,2
2023-12,신장내과,호전,N18,만성 신장병,3
2023-07,소화기내과,호전,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",10
2023-10,신장내과,호전,K29,위염 및 십이지장염,1
2023-10,내분비내과,호전,E11,2형 당뇨병,1
2023-11,호흡기내과,호전,J18,상세불명 병원체의 폐렴,4
2023-12,가정의학과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,6
2023-10,정형외과,불변(호전안됨),S32,요추 및 골반의 골절,2
2023-10,혈액종양내과,호전,D64,기타 빈혈,1
2023-11,심장내과,호전,I20,협심증,2
2023-08,소화기내과,경쾌,K63,장의 기타 질환,12
2023-12,혈액종양내과,48시간 전 사망,C18,결장의 악성 신생물,1
2023-08,심장내과,진단만실시,I20,협심증,7
2023-12,이비인후과,경쾌,J34,코 및 비동의 기타 장애,1
2023-10,정형외과,불변(호전안됨),M75,어깨병변,2
2023-10,소화기내과,호전,N17,급성 신부전,1
2023-04,심장내과,경쾌,I47,발작성 빈맥,1
2023-12,소화기내과,호전,R03,진단명 없는 혈압수치이상,1
2023-08,정형외과,호전,M51,기타 추간판장애,13
2023-11,소화기내과,48시간 후 사망,C50,유방의 악성 신생물,1
2023-06,외과,호전,K35,급성 충수염,2
2023-10,정형외과,호전,M17,무릎관절증,5
2023-10,재활의학과,경쾌,M51,기타 추간판장애,1
2023-12,외과,호전,N18,만성 신장병,4
2023-07,소화기내과,호전,K59,기타 기능성 장장애,2
2023-07,외과,호전,K40,사타구니탈장,7
2023-12,심장내과,호전,I20,협심증,5
2023-12,외과,호전,K64,치핵 및 항문주위정맥혈전증,4
2023-07,소화기내과,호전,J18,상세불명 병원체의 폐렴,2
2023-10,정형외과,호전,G56,팔의 단일신경병증,1
2023-10,신경과,호전,H81,전정기능의 장애,1
2023-12,정형외과,호전,E11,2형 당뇨병,2
2023-07,외과,호전,C85,기타 및 상세불명 유형의 비호지킨림프종,1
2023-07,호흡기내과,경쾌,J15,달리 분류되지 않은 세균성 폐렴,1
2023-09,혈액종양내과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,12
2023-08,이비인후과,호전,J33,코폴립,1
2023-06,재활의학과,경쾌,M51,기타 추간판장애,2
2023-11,재활의학과,호전,G82,하반신마비 및 사지마비,3
2023-08,가정의학과,호전,E86,용적고갈,1
2023-07,외과,호전,K57,장의 게실병,2
2023-11,내과,호전,N39,비뇨계통의 기타 장애,1
2023-10,혈액종양내과,48시간 후 사망,C50,유방의 악성 신생물,1
2023-12,외과,경쾌,C34,기관지 및 폐의 악성 신생물,1
2023-10,정형외과,진단만실시,S22,"늑골, 흉골 및 흉추의 골절",1
2023-08,가정의학과,호전,G81,편마비,2
2023-08,외과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-08,소화기내과,호전,C34,기관지 및 폐의 악성 신생물,1
2023-10,외과,호전,K56,탈장이 없는 마비성 장폐색증 및 장폐색,1
2023-07,정형외과,호전,S52,아래팔의 골절,2
2023-12,가정의학과,호전,K08,치아 및 지지구조의 기타 장애,1
2023-06,혈액종양내과,48시간 후 사망,C18,결장의 악성 신생물,1
2023-04,정형외과,호전,E14,상세불명의 당뇨병,1
2023-08,정형외과,호전,R52,달리 분류되지 않은 통증,1
2023-10,외과,진단만실시,N18,만성 신장병,1
2023-02,호흡기내과,진단만실시,C18,결장의 악성 신생물,1
2023-08,소화기내과,경쾌,K25,위궤양,1
2023-08,소화기내과,호전,E87,"수분, 전해질 및 산-염기균형의 기타 장애",1
2023-09,재활의학과,경쾌,M54,등통증,9
2023-08,혈액종양내과,호전,N10,급성 세뇨관-간질신장염,1
2023-08,혈액종양내과,호전,I10,본태성(원발성) 고혈압,1
2023-08,외과,호전,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",1
2023-12,외과,호전,K40,사타구니탈장,5
2023-06,소화기내과,경쾌,I85,식도정맥류,1
2023-09,외과,호전,K62,항문 및 직장의 기타 질환,4
2023-10,혈액종양내과,호전,K29,위염 및 십이지장염,1
2023-06,재활의학과,불변(호전안됨),G82,하반신마비 및 사지마비,1
2023-06,외과,호전,K40,사타구니탈장,6
2023-07,신장내과,경쾌,N18,만성 신장병,1
2023-09,호흡기내과,48시간 후 사망,J18,상세불명 병원체의 폐렴,1
2023-06,소화기내과,불변(호전안됨),K59,기타 기능성 장장애,1
2023-11,호흡기내과,호전,G20,파킨슨병,1
2023-09,혈액종양내과,48시간 후 사망,C25,췌장의 악성 신생물,2
2023-08,외과,호전,R22,"피부 및 피하조직의 국소적 부기, 종괴 및 덩이",1
2023-10,재활의학과,경쾌,G82,하반신마비 및 사지마비,1
2023-11,재활의학과,경쾌,G63,달리 분류된 질환에서의 다발신경병증,1
2023-07,가정의학과,호전,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,3
2023-08,신경과,호전,R42,어지럼증 및 어지럼,4
2023-10,소화기내과,경쾌,D50,철결핍빈혈,2
2023-06,비뇨의학과,진단만실시,N40,전립선증식증,4
2023-09,재활의학과,경쾌,M17,무릎관절증,1
2023-09,호흡기내과,경쾌,U07,U07의 응급사용,2
2023-10,소화기내과,경쾌,N39,비뇨계통의 기타 장애,1
2023-06,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",2
2023-07,정형외과,호전,S82,발목을 포함한 아래다리의 골절,2
2023-12,소화기내과,경쾌,C06,입의 기타 및 상세불명 부분의 악성 신생물,1
2023-06,호흡기내과,호전,J18,상세불명 병원체의 폐렴,5
2023-09,재활의학과,경쾌,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-07,가정의학과,호전,E86,용적고갈,1
2023-07,재활의학과,경쾌,M51,기타 추간판장애,1
2023-05,정형외과,호전,M23,무릎의 내부장애,1
2023-12,외과,호전,I83,하지의 정맥류,2
2023-09,내과,호전,K30,기능성 소화불량,1
2023-06,정형외과,호전,S02,두개골 및 안면골의 골절,1
2023-08,재활의학과,호전,M54,등통증,2
2023-07,정형외과,호전,M87,골괴사,2
2023-09,혈액종양내과,불변(호전안됨),Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-06,가정의학과,48시간 전 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-11,소화기내과,경쾌,K80,담석증,1
2023-07,외과,호전,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,5
2023-09,신장내과,호전,N39,비뇨계통의 기타 장애,1
2023-12,신장내과,불변(호전안됨),N18,만성 신장병,1
2023-09,가정의학과,호전,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-06,신경과,호전,R42,어지럼증 및 어지럼,2
2023-10,혈액종양내과,48시간 후 사망,C25,췌장의 악성 신생물,1
2023-12,소화기내과,경쾌,K62,항문 및 직장의 기타 질환,1
2023-05,소화기내과,경쾌,I10,본태성(원발성) 고혈압,1
2023-07,신장내과,호전,N18,만성 신장병,5
2023-08,소화기내과,호전,J18,상세불명 병원체의 폐렴,1
2023-07,소화기내과,경쾌,K59,기타 기능성 장장애,2
2023-07,정형외과,호전,M17,무릎관절증,6
2023-09,가정의학과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-11,외과,호전,K43,복벽탈장,1
2023-12,혈액종양내과,호전,J18,상세불명 병원체의 폐렴,1
2023-09,재활의학과,경쾌,I61,뇌내출혈,1
2023-06,이비인후과,불변(호전안됨),J39,상기도의 기타 질환,1
2023-09,소화기내과,경쾌,K58,과민대장증후군,1
2023-09,정형외과,호전,G56,팔의 단일신경병증,2
2023-10,이비인후과,경쾌,J34,코 및 비동의 기타 장애,1
2023-11,소화기내과,경쾌,E11,2형 당뇨병,1
2023-05,심장내과,진단만실시,I25,만성 허혈심장병,1
2023-07,이비인후과,경쾌,J38,달리 분류되지 않은 성대 및 후두의 질환,1
2023-10,혈액종양내과,호전,C34,기관지 및 폐의 악성 신생물,1
2023-07,소화기내과,호전,I50,심부전,1
2023-07,내과,호전,C25,췌장의 악성 신생물,1
2023-09,소화기내과,경쾌,D13,기타 및 부위불명의 소화계통의 양성 신생물,1
2023-10,소화기내과,경쾌,C18,결장의 악성 신생물,1
2023-09,외과,호전,C18,결장의 악성 신생물,2
2023-12,소화기내과,진단만실시,R50,기타 및 원인미상의 열,1
2023-09,소화기내과,경쾌,N10,급성 세뇨관-간질신장염,1
2023-11,내과,호전,N18,만성 신장병,1
2023-08,신경과,불변(호전안됨),I63,뇌경색증,1
2023-07,재활의학과,경쾌,M50,경추간판장애,2
2023-11,심장내과,진단만실시,I35,비류마티스성 대동맥판장애,1
2023-11,신장내과,호전,N18,만성 신장병,2
2023-06,이비인후과,경쾌,J34,코 및 비동의 기타 장애,1
2023-08,혈액종양내과,호전,N17,급성 신부전,1
2023-11,외과,호전,C18,결장의 악성 신생물,1
2023-12,재활의학과,경쾌,G81,편마비,1
2023-09,외과,호전,S22,"늑골, 흉골 및 흉추의 골절",2
2023-11,정형외과,호전,S42,어깨 및 위팔의 골절,2
2023-11,소화기내과,경쾌,K21,위-식도역류병,2
2023-09,내과,호전,E11,2형 당뇨병,1
2023-08,혈액종양내과,48시간 전 사망,C90,다발골수종 및 악성 형질세포신생물,1
2023-09,재활의학과,경쾌,G81,편마비,1
2023-09,정형외과,진단만실시,M51,기타 추간판장애,1
2023-11,재활의학과,호전,S72,대퇴골의 골절,1
2023-11,정형외과,진단만실시,M43,기타 변형성 등병증,1
2023-11,소화기내과,경쾌,C16,위의 악성 신생물,2
2023-06,소화기내과,호전,C16,위의 악성 신생물,1
2023-07,정형외과,호전,S22,"늑골, 흉골 및 흉추의 골절",2
2023-09,소화기내과,경쾌,C22,간 및 간내 담관의 악성 신생물,1
2023-08,정형외과,호전,M43,기타 변형성 등병증,3
2023-08,정형외과,경쾌,S22,"늑골, 흉골 및 흉추의 골절",1
2023-07,신경과,호전,G20,파킨슨병,1
2023-08,정형외과,호전,M25,달리 분류되지 않은 기타 관절장애,1
2023-08,소화기내과,호전,K83,담도의 기타 질환,1
2023-10,정형외과,호전,G72,기타 근병증,1
2023-11,이비인후과,경쾌,J33,코폴립,1
2023-07,신장내과,호전,E87,"수분, 전해질 및 산-염기균형의 기타 장애",1
2023-09,재활의학과,호전,M17,무릎관절증,1
2023-11,신장내과,호전,N17,급성 신부전,1
2023-11,신장내과,48시간 후 사망,E46,상세불명의 단백질-에너지영양실조,1
2023-09,소화기내과,경쾌,K75,기타 염증성 간질환,1
2023-06,소화기내과,경쾌,U07,U07의 응급사용,1
2023-09,혈액종양내과,48시간 전 사망,C16,위의 악성 신생물,1
2023-11,내과,호전,N10,급성 세뇨관-간질신장염,2
2023-05,신경과,경쾌,G40,뇌전증,1
2023-07,신장내과,불변(호전안됨),R50,기타 및 원인미상의 열,1
2023-10,호흡기내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-11,신경외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-11,신장내과,불변(호전안됨),N17,급성 신부전,1
2023-12,안과,호전,H26,기타 백내장,1
2023-11,소화기내과,진단만실시,K75,기타 염증성 간질환,1
2023-08,소화기내과,진단만실시,C18,결장의 악성 신생물,1
2023-10,심장내과,진단만실시,J18,상세불명 병원체의 폐렴,1
2023-11,정형외과,호전,M50,경추간판장애,1
2023-06,이비인후과,호전,J32,만성 부비동염,1
2023-06,소화기내과,48시간 후 사망,C16,위의 악성 신생물,1
2023-10,소화기내과,호전,C22,간 및 간내 담관의 악성 신생물,1
2023-01,심장내과,호전,I20,협심증,3
2023-02,정형외과,호전,M48,기타 척추병증,48
2023-04,정형외과,호전,S72,대퇴골의 골절,5
2023-04,정형외과,호전,M51,기타 추간판장애,15
2023-04,외과,호전,K35,급성 충수염,1
2023-04,신장내과,호전,N18,만성 신장병,2
2023-02,정형외과,호전,S22,"늑골, 흉골 및 흉추의 골절",4
2023-02,소화기내과,경쾌,K92,소화계통의 기타 질환,1
2023-01,신경과,호전,R42,어지럼증 및 어지럼,1
2023-01,정형외과,호전,M75,어깨병변,10
2023-01,정형외과,호전,M43,기타 변형성 등병증,7
2023-02,정형외과,호전,S52,아래팔의 골절,5
2023-02,소화기내과,호전,K63,장의 기타 질환,19
2023-03,혈액종양내과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,13
2023-02,소화기내과,경쾌,K59,기타 기능성 장장애,1
2023-01,호흡기내과,경쾌,U07,U07의 응급사용,4
2023-01,신장내과,호전,N18,만성 신장병,4
2023-01,호흡기내과,경쾌,J18,상세불명 병원체의 폐렴,1
2023-01,류마티스내과,호전,M05,혈청검사양성 류마티스관절염,2
2023-02,소화기내과,호전,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",3
2023-03,소화기내과,호전,K63,장의 기타 질환,12
2023-02,류마티스내과,호전,E11,2형 당뇨병,1
2023-01,정형외과,진단만실시,M48,기타 척추병증,1
2023-03,정형외과,치료안함,M51,기타 추간판장애,1
2023-02,심장내과,진단만실시,C15,식도의 악성 신생물,1
2023-03,이비인후과,경쾌,J34,코 및 비동의 기타 장애,2
2023-02,내분비내과,호전,E11,2형 당뇨병,3
2023-03,신장내과,호전,N10,급성 세뇨관-간질신장염,1
2023-03,소화기내과,경쾌,K64,치핵 및 항문주위정맥혈전증,1
2023-04,소화기내과,호전,K64,치핵 및 항문주위정맥혈전증,1
2023-04,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-04,정형외과,호전,S32,요추 및 골반의 골절,4
2023-04,내과,호전,N18,만성 신장병,2
2023-01,호흡기내과,호전,E11,2형 당뇨병,1
2023-04,혈액종양내과,경쾌,J15,달리 분류되지 않은 세균성 폐렴,1
2023-04,소화기내과,경쾌,R55,실신 및 허탈,1
2023-04,정형외과,호전,T81,달리 분류되지 않은 처치의 합병증,2
2023-04,재활의학과,경쾌,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-02,내분비내과,호전,E10,1형 당뇨병,1
2023-03,심장내과,경쾌,R06,호흡의 이상,1
2023-03,신경과,호전,R42,어지럼증 및 어지럼,2
2023-01,재활의학과,경쾌,G82,하반신마비 및 사지마비,1
2023-01,정형외과,호전,M71,기타 윤활낭병증,1
2023-04,혈액종양내과,호전,D64,기타 빈혈,1
2023-04,이비인후과,호전,D14,중이 및 호흡계통의 양성 신생물,1
2023-04,외과,호전,S23,"흉곽의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-02,혈액종양내과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,10
2023-03,신경과,불변(호전안됨),R42,어지럼증 및 어지럼,1
2023-03,정형외과,호전,R53,병감 및 피로,1
2023-04,정형외과,호전,S22,"늑골, 흉골 및 흉추의 골절",2
2023-02,정형외과,진단만실시,E11,2형 당뇨병,1
2023-03,정형외과,호전,S92,발목을 제외한 발의 골절,1
2023-02,정형외과,호전,M87,골괴사,1
2023-03,정형외과,호전,M50,경추간판장애,1
2023-01,심장내과,호전,N17,급성 신부전,1
2023-02,혈액종양내과,48시간 후 사망,C50,유방의 악성 신생물,1
2023-02,혈액종양내과,호전,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,6
2023-01,심장내과,48시간 전 사망,J18,상세불명 병원체의 폐렴,1
2023-03,심장내과,진단만실시,R07,목구멍 및 가슴의 통증,6
2023-03,소화기내과,호전,J18,상세불명 병원체의 폐렴,2
2023-03,혈액종양내과,호전,G54,신경근 및 신경총 장애,1
2023-04,정형외과,호전,M23,무릎의 내부장애,2
2023-04,정형외과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-02,정형외과,호전,J69,고체 및 액체에 의한 폐렴,1
2023-04,혈액종양내과,48시간 전 사망,C34,기관지 및 폐의 악성 신생물,1
2023-04,외과,48시간 후 사망,J18,상세불명 병원체의 폐렴,1
2023-01,정형외과,치료안함,S82,발목을 포함한 아래다리의 골절,1
2023-02,외과,호전,C20,직장의 악성 신생물,1
2023-04,혈액종양내과,호전,J18,상세불명 병원체의 폐렴,1
2023-04,재활의학과,경쾌,G54,신경근 및 신경총 장애,1
2023-05,소화기내과,경쾌,K22,식도의 기타 질환,1
2023-05,신경외과,호전,D43,뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,1
2023-05,호흡기내과,진단만실시,U07,U07의 응급사용,1
2023-05,심장내과,진단만실시,R55,실신 및 허탈,1
2023-05,정형외과,호전,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,4
2023-05,정형외과,호전,R53,병감 및 피로,1
2023-05,외과,호전,L02,"피부의 농양, 종기 및 큰종기",1
2023-05,혈액종양내과,호전,G62,기타 다발신경병증,1
2023-05,외과,호전,K62,항문 및 직장의 기타 질환,3
2023-05,정형외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,12
2023-05,정형외과,호전,M51,기타 추간판장애,9
2023-05,소화기내과,호전,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",6
2023-05,외과,호전,K64,치핵 및 항문주위정맥혈전증,1
2023-05,소화기내과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-05,소화기내과,경쾌,J21,급성 세기관지염,1
2023-02,정형외과,호전,S42,어깨 및 위팔의 골절,1
2023-04,호흡기내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-01,내과,호전,R31,상세불명의 혈뇨,1
2023-01,내과,호전,E11,2형 당뇨병,1
2023-01,혈액종양내과,48시간 전 사망,R57,달리 분류되지 않은 쇼크,1
2023-03,내과,호전,E27,부신의 기타 장애,1
2023-02,호흡기내과,경쾌,J18,상세불명 병원체의 폐렴,1
2023-02,소화기내과,경쾌,C25,췌장의 악성 신생물,1
2023-04,정형외과,치료안함,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-03,소화기내과,진단만실시,K25,위궤양,1
2023-03,외과,호전,K40,사타구니탈장,1
2023-02,신경과,호전,R55,실신 및 허탈,1
2023-01,가정의학과,호전,E11,2형 당뇨병,1
2023-10,정형외과,불변(호전안됨),M51,기타 추간판장애,1
2023-10,심장내과,진단만실시,R06,호흡의 이상,1
2023-10,심장내과,호전,I25,만성 허혈심장병,1
2023-11,소화기내과,호전,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",9
2023-12,비뇨의학과,진단만실시,C61,전립선의 악성 신생물,4
2023-12,내분비내과,호전,E11,2형 당뇨병,5
2023-08,비뇨의학과,호전,C61,전립선의 악성 신생물,2
2023-10,혈액종양내과,호전,E11,2형 당뇨병,4
2023-12,정형외과,호전,M46,기타 염증성 척추병증,2
2023-11,심장내과,진단만실시,R06,호흡의 이상,2
2023-09,혈액종양내과,호전,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,3
2023-07,소화기내과,치료안함,K83,담도의 기타 질환,1
2023-12,정형외과,호전,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,3
2023-08,신장내과,불변(호전안됨),C16,위의 악성 신생물,1
2023-10,외과,호전,L02,"피부의 농양, 종기 및 큰종기",1
2023-09,소화기내과,경쾌,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",20
2023-11,정형외과,호전,S22,"늑골, 흉골 및 흉추의 골절",5
2023-10,소화기내과,호전,E63,기타 영양결핍,1
2023-07,소화기내과,호전,K74,간의 섬유증 및 경변증,1
2023-10,호흡기내과,경쾌,A75,발진티푸스,1
2023-07,호흡기내과,경쾌,U07,U07의 응급사용,2
2023-08,신장내과,경쾌,N17,급성 신부전,1
2023-12,소화기내과,경쾌,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-06,정형외과,호전,M48,기타 척추병증,48
2023-10,신경외과,불변(호전안됨),M51,기타 추간판장애,1
2023-11,신경외과,호전,S06,두개내손상,1
2023-12,정형외과,호전,S72,대퇴골의 골절,3
2023-12,외과,호전,K62,항문 및 직장의 기타 질환,2
2023-08,외과,진단만실시,C18,결장의 악성 신생물,1
2023-08,비뇨의학과,호전,N40,전립선증식증,1
2023-06,정형외과,불변(호전안됨),M86,골수염,1
2023-07,소화기내과,호전,K63,장의 기타 질환,12
2023-07,소화기내과,불변(호전안됨),D12,"결장, 직장, 항문 및 항문관의 양성 신생물",1
2023-10,소화기내과,진단만실시,C15,식도의 악성 신생물,1
2023-12,소화기내과,경쾌,K80,담석증,1
2023-10,신장내과,호전,N18,만성 신장병,2
2023-07,신경외과,호전,M54,등통증,2
2023-08,혈액종양내과,불변(호전안됨),D64,기타 빈혈,1
2023-05,신경과,호전,R42,어지럼증 및 어지럼,2
2023-08,신장내과,호전,E11,2형 당뇨병,1
2023-10,혈액종양내과,불변(호전안됨),Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-11,신경외과,호전,M50,경추간판장애,1
2023-08,정형외과,호전,M13,기타 관절염,2
2023-11,외과,호전,K81,담낭염,3
2023-10,외과,호전,K91,달리 분류되지 않은 소화계통의 처치후 장애,3
2023-12,가정의학과,48시간 전 사망,C34,기관지 및 폐의 악성 신생물,1
2023-12,정형외과,호전,S42,어깨 및 위팔의 골절,2
2023-07,소화기내과,진단만실시,C25,췌장의 악성 신생물,1
2023-12,정형외과,호전,M40,척주후만증 및 척주전만증,1
2023-11,소화기내과,불변(호전안됨),K63,장의 기타 질환,1
2023-09,정형외과,호전,M48,기타 척추병증,47
2023-08,재활의학과,경쾌,M54,등통증,5
2023-07,소화기내과,경쾌,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-07,가정의학과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-08,소화기내과,호전,E11,2형 당뇨병,1
2023-08,신경외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-09,정형외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,21
2023-09,소화기내과,호전,K57,장의 게실병,1
