"월","퇴원과","퇴원결과","건수"
"2022-08","순환기내과","호전","52"
"2022-08","신장내과","48시간 후 사망","5"
"2022-08","신장내과","경쾌","4"
"2022-09","안과","호전","57"
"2022-09","재활의학과","경쾌","2"
"2022-09","신장내과","경쾌","10"
"2022-09","내분비내과","호전","11"
"2022-09","순환기내과","불변(호전안됨)","2"
"2022-10","외과","경쾌","19"
"2022-10","정형외과","호전","42"
"2022-10","순환기내과","불변(호전안됨)","4"
"2022-10","순환기내과","48시간 후 사망","3"
"2022-10","비뇨의학과","진단만실시","10"
"2022-10","내분비내과","경쾌","2"
"2022-10","외과","호전","1"
"2022-11","순환기내과","호전","67"
"2022-11","신장내과","호전","14"
"2022-11","신경외과","호전","29"
"2022-11","안과","불변(호전안됨)","1"
"2022-11","내분비내과","경쾌","4"
"2022-11","안과","경쾌","1"
"2022-11","신장내과","진단만실시","1"
"2022-11","안과","치료안함","1"
"2022-12","가정의학과","48시간 후 사망","17"
"2022-12","소화기내과","48시간 후 사망","1"
"2022-12","신장내과","48시간 후 사망","3"
"2022-12","정형외과","불변(호전안됨)","2"
"2022-01","소화기내과","호전","58"
"2022-01","순환기내과","치료안함","1"
"2022-01","소화기내과","48시간 후 사망","1"
"2022-01","정형외과","진단만실시","1"
"2022-01","소화기내과","불변(호전안됨)","5"
"2022-01","정형외과","불변(호전안됨)","1"
"2022-02","비뇨의학과","경쾌","1"
"2022-03","외과","불변(호전안됨)","3"
"2022-03","가정의학과","불변(호전안됨)","6"
"2022-03","가정의학과","48시간 후 사망","10"
"2022-03","재활의학과","불변(호전안됨)","1"
"2022-03","순환기내과","48시간 후 사망","4"
"2022-04","신장내과","호전","36"
"2022-04","안과","호전","53"
"2022-04","재활의학과","경쾌","4"
"2022-04","재활의학과","호전","20"
"2022-04","순환기내과","48시간 후 사망","9"
"2022-04","신경외과","경쾌","4"
"2022-04","내분비내과","경쾌","2"
"2022-04","외과","진단만실시","1"
"2022-04","안과","진단만실시","1"
"2022-04","정형외과","불변(호전안됨)","2"
"2022-05","가정의학과","48시간 후 사망","10"
"2022-05","재활의학과","경쾌","2"
"2022-05","재활의학과","호전","20"
"2022-05","외과","경쾌","17"
"2022-05","소화기내과","불변(호전안됨)","2"
"2022-05","가정의학과","경쾌","1"
"2022-06","신경외과","호전","36"
"2022-06","내분비내과","불변(호전안됨)","3"
"2022-06","외과","48시간 후 사망","1"
"2022-06","가정의학과","48시간 전 사망","2"
"2022-07","외과","경쾌","15"
"2022-07","순환기내과","호전","63"
"2022-07","소화기내과","호전","56"
"2022-07","안과","호전","65"
"2022-07","신경외과","경쾌","10"
"2022-07","신장내과","호전","7"
"2022-07","소화기내과","경쾌","3"
"2022-07","신경과","경쾌","3"
"2022-08","소화기내과","호전","36"
"2022-08","내분비내과","경쾌","2"
"2022-08","비뇨의학과","호전","15"
"2022-08","정형외과","불변(호전안됨)","3"
"2022-09","신경외과","경쾌","15"
"2022-09","재활의학과","호전","34"
"2022-09","비뇨의학과","호전","15"
"2022-10","신경외과","호전","24"
"2022-10","신장내과","진단만실시","1"
"2022-11","가정의학과","48시간 후 사망","17"
"2022-11","재활의학과","경쾌","6"
"2022-11","정형외과","경쾌","2"
"2022-12","순환기내과","호전","79"
"2022-12","소화기내과","호전","36"
"2022-12","내분비내과","불변(호전안됨)","1"
"2022-12","신장내과","경쾌","6"
"2022-12","신장내과","호전","16"
"2022-12","내분비내과","48시간 후 사망","1"
"2022-01","신장내과","48시간 후 사망","2"
"2022-01","신경외과","호전","45"
"2022-01","소화기내과","경쾌","5"
"2022-01","가정의학과","불변(호전안됨)","3"
"2022-02","순환기내과","호전","160"
"2022-02","소화기내과","경쾌","7"
"2022-02","재활의학과","호전","14"
"2022-02","가정의학과","불변(호전안됨)","2"
"2022-02","신경과","호전","1"
"2022-03","외과","48시간 후 사망","1"
"2022-03","신장내과","호전","39"
"2022-03","외과","호전","2"
"2022-04","비뇨의학과","진단만실시","2"
"2022-05","신장내과","호전","19"
"2022-05","정형외과","호전","54"
"2022-06","소화기내과","호전","35"
"2022-06","정형외과","불변(호전안됨)","1"
"2022-06","재활의학과","경쾌","1"
"2022-06","비뇨의학과","호전","17"
"2022-06","정형외과","호전","51"
"2022-06","내분비내과","48시간 후 사망","1"
"2022-06","신경외과","불변(호전안됨)","2"
"2022-06","신장내과","진단만실시","1"
"2022-07","정형외과","호전","55"
"2022-07","가정의학과","48시간 후 사망","12"
"2022-07","순환기내과","48시간 후 사망","2"
"2022-07","정형외과","경쾌","1"
"2022-07","신경외과","48시간 후 사망","1"
"2022-07","신장내과","불변(호전안됨)","3"
"2022-08","가정의학과","48시간 후 사망","15"
"2022-08","안과","호전","61"
"2022-08","순환기내과","불변(호전안됨)","3"
"2022-08","내분비내과","불변(호전안됨)","1"
"2022-09","소화기내과","불변(호전안됨)","8"
"2022-09","소화기내과","치료안함","1"
"2022-09","내분비내과","불변(호전안됨)","2"
"2022-09","정형외과","치료안함","1"
"2022-10","내분비내과","호전","8"
"2022-10","신장내과","경쾌","11"
"2022-10","정형외과","불변(호전안됨)","3"
"2022-11","순환기내과","경쾌","53"
"2022-11","신경과","경쾌","3"
"2022-11","정형외과","호전","51"
"2022-11","순환기내과","48시간 후 사망","2"
"2022-11","가정의학과","불변(호전안됨)","7"
"2022-11","순환기내과","불변(호전안됨)","3"
"2022-11","외과","호전","5"
"2022-11","소화기내과","불변(호전안됨)","5"
"2022-11","정형외과","치료안함","4"
"2022-11","가정의학과","호전","1"
"2022-12","내분비내과","호전","9"
"2022-12","정형외과","호전","53"
"2022-12","순환기내과","불변(호전안됨)","3"
"2022-12","소화기내과","경쾌","1"
"2022-12","소화기내과","불변(호전안됨)","3"
"2022-12","가정의학과","경쾌","1"
"2022-01","재활의학과","불변(호전안됨)","1"
"2022-01","비뇨의학과","호전","18"
"2022-01","순환기내과","경쾌","37"
"2022-01","비뇨의학과","진단만실시","14"
"2022-02","신경외과","불변(호전안됨)","2"
"2022-02","순환기내과","48시간 후 사망","1"
"2022-02","신장내과","경쾌","1"
"2022-02","내분비내과","48시간 후 사망","1"
"2022-03","소화기내과","호전","135"
"2022-03","신경외과","호전","27"
"2022-03","안과","호전","51"
"2022-03","신장내과","불변(호전안됨)","4"
"2022-03","비뇨의학과","호전","15"
"2022-03","비뇨의학과","진단만실시","4"
"2022-03","정형외과","진단만실시","1"
"2022-03","소화기내과","48시간 후 사망","2"
"2022-03","내분비내과","경쾌","1"
"2022-04","신경외과","진단만실시","1"
"2022-05","소화기내과","경쾌","8"
"2022-05","순환기내과","불변(호전안됨)","4"
"2022-05","신장내과","경쾌","4"
"2022-06","안과","호전","48"
"2022-06","내분비내과","호전","17"
"2022-06","외과","경쾌","12"
"2022-06","재활의학과","호전","23"
"2022-06","순환기내과","48시간 후 사망","3"
"2022-06","순환기내과","불변(호전안됨)","1"
"2022-06","외과","48시간 전 사망","1"
"2022-06","순환기내과","진단만실시","1"
"2022-07","신경외과","호전","28"
"2022-07","소화기내과","48시간 후 사망","3"
"2022-07","재활의학과","경쾌","7"
"2022-08","신장내과","불변(호전안됨)","3"
"2022-09","신경외과","호전","43"
"2022-09","정형외과","호전","35"
"2022-09","내분비내과","치료안함","1"
"2022-09","신경과","경쾌","1"
"2022-09","정형외과","경쾌","1"
"2022-10","가정의학과","불변(호전안됨)","1"
"2022-10","신경외과","경쾌","12"
"2022-10","소화기내과","48시간 후 사망","2"
"2022-10","안과","경쾌","1"
"2022-11","소화기내과","경쾌","7"
"2022-11","신장내과","경쾌","3"
"2022-11","내분비내과","호전","11"
"2022-11","신장내과","48시간 후 사망","3"
"2022-12","정형외과","경쾌","2"
"2022-12","재활의학과","경쾌","7"
"2022-12","재활의학과","호전","18"
"2022-12","신경외과","경쾌","14"
"2022-12","비뇨의학과","진단만실시","6"
"2022-12","신경과","경쾌","2"
"2022-12","가정의학과","48시간 전 사망","2"
"2022-12","순환기내과","48시간 후 사망","3"
"2022-01","가정의학과","48시간 후 사망","20"
"2022-01","순환기내과","진단만실시","2"
"2022-01","안과","불변(호전안됨)","1"
"2022-01","신경과","경쾌","1"
"2022-02","신경외과","호전","20"
"2022-02","순환기내과","불변(호전안됨)","1"
"2022-03","정형외과","호전","42"
"2022-03","정형외과","불변(호전안됨)","1"
"2022-03","소화기내과","불변(호전안됨)","10"
"2022-03","소화기내과","경쾌","56"
"2022-03","외과","경쾌","7"
"2022-04","순환기내과","경쾌","37"
"2022-04","내분비내과","호전","6"
"2022-04","신장내과","48시간 후 사망","1"
"2022-04","순환기내과","진단만실시","4"
"2022-04","가정의학과","48시간 전 사망","1"
"2022-05","순환기내과","호전","87"
"2022-05","순환기내과","경쾌","61"
"2022-05","신경과","경쾌","16"
"2022-05","신경외과","호전","37"
"2022-05","안과","호전","58"
"2022-05","신장내과","불변(호전안됨)","2"
"2022-05","비뇨의학과","진단만실시","3"
"2022-06","신경과","경쾌","2"
"2022-07","신경외과","불변(호전안됨)","3"
"2022-07","신장내과","경쾌","16"
"2022-07","재활의학과","호전","34"
"2022-07","내분비내과","호전","11"
"2022-07","정형외과","진단만실시","2"
"2022-07","비뇨의학과","진단만실시","11"
"2022-08","내분비내과","48시간 후 사망","1"
"2022-08","신장내과","호전","8"
"2022-08","신경외과","호전","47"
"2022-08","순환기내과","48시간 후 사망","5"
"2022-08","신경외과","경쾌","9"
"2022-08","소화기내과","경쾌","3"
"2022-08","신경과","경쾌","2"
"2022-09","가정의학과","48시간 후 사망","19"
"2022-09","소화기내과","호전","51"
"2022-09","비뇨의학과","진단만실시","6"
"2022-09","안과","치료안함","1"
"2022-09","소화기내과","48시간 후 사망","1"
"2022-10","소화기내과","호전","45"
"2022-10","비뇨의학과","호전","10"
"2022-10","안과","호전","42"
"2022-11","안과","호전","37"
"2022-11","순환기내과","진단만실시","2"
"2022-12","순환기내과","경쾌","55"
"2022-12","비뇨의학과","호전","17"
"2022-12","신경외과","불변(호전안됨)","3"
"2022-12","순환기내과","48시간 전 사망","1"
"2022-01","순환기내과","호전","133"
"2022-01","재활의학과","호전","37"
"2022-01","순환기내과","불변(호전안됨)","3"
"2022-01","안과","경쾌","1"
"2022-01","내분비내과","경쾌","1"
"2022-01","신경과","불변(호전안됨)","1"
"2022-01","신장내과","불변(호전안됨)","1"
"2022-02","내분비내과","호전","40"
"2022-02","소화기내과","호전","78"
"2022-02","내분비내과","불변(호전안됨)","3"
"2022-02","재활의학과","경쾌","1"
"2022-03","신경과","경쾌","42"
"2022-03","재활의학과","호전","25"
"2022-03","내분비내과","불변(호전안됨)","2"
"2022-03","신경외과","경쾌","2"
"2022-04","생활치료센터","호전","102"
"2022-04","소화기내과","호전","82"
"2022-04","소화기내과","48시간 후 사망","3"
"2022-04","신장내과","불변(호전안됨)","2"
"2022-05","비뇨의학과","호전","22"
"2022-06","가정의학과","48시간 후 사망","14"
"2022-06","순환기내과","호전","54"
"2022-06","소화기내과","불변(호전안됨)","2"
"2022-06","신장내과","경쾌","6"
"2022-06","정형외과","진단만실시","1"
"2022-06","소화기내과","경쾌","2"
"2022-07","비뇨의학과","호전","21"
"2022-07","소화기내과","불변(호전안됨)","4"
"2022-07","외과","호전","2"
"2022-07","정형외과","불변(호전안됨)","2"
"2022-08","소화기내과","불변(호전안됨)","1"
"2022-08","외과","경쾌","21"
"2022-08","신경외과","불변(호전안됨)","2"
"2022-08","내분비내과","호전","9"
"2022-09","외과","경쾌","20"
"2022-09","내분비내과","경쾌","3"
"2022-09","가정의학과","불변(호전안됨)","1"
"2022-10","가정의학과","48시간 후 사망","13"
"2022-10","순환기내과","호전","52"
"2022-10","순환기내과","진단만실시","2"
"2022-10","가정의학과","48시간 전 사망","1"
"2022-11","신경외과","48시간 후 사망","1"
"2022-11","신장내과","불변(호전안됨)","5"
"2022-11","소화기내과","진단만실시","1"
"2022-11","이비인후과","불변(호전안됨)","1"
"2022-12","신경외과","48시간 후 사망","1"
"2022-12","가정의학과","불변(호전안됨)","2"
"2022-12","신장내과","불변(호전안됨)","1"
"2022-12","신경과","호전","1"
"2022-12","순환기내과","진단만실시","1"
"2022-01","신장내과","호전","28"
"2022-01","안과","호전","54"
"2022-01","신경외과","불변(호전안됨)","1"
"2022-01","신장내과","진단만실시","1"
"2022-02","가정의학과","48시간 후 사망","14"
"2022-02","신장내과","호전","53"
"2022-02","신장내과","48시간 후 사망","2"
"2022-02","비뇨의학과","호전","14"
"2022-02","비뇨의학과","진단만실시","7"
"2022-02","신장내과","불변(호전안됨)","3"
"2022-02","소화기내과","치료안함","1"
"2022-03","안과","경쾌","2"
"2022-03","재활의학과","경쾌","5"
"2022-04","소화기내과","불변(호전안됨)","4"
"2022-04","비뇨의학과","호전","26"
"2022-04","외과","경쾌","19"
"2022-05","소화기내과","호전","57"
"2022-05","신경외과","불변(호전안됨)","3"
"2022-05","신장내과","진단만실시","2"
"2022-05","신장내과","48시간 후 사망","3"
"2022-05","내분비내과","호전","6"
"2022-06","순환기내과","경쾌","52"
"2022-06","신경외과","48시간 후 사망","1"
"2022-06","소화기내과","48시간 후 사망","3"
"2022-06","가정의학과","불변(호전안됨)","6"
"2022-07","순환기내과","불변(호전안됨)","2"
"2022-07","순환기내과","진단만실시","4"
"2022-07","신장내과","48시간 전 사망","1"
"2022-07","신경과","호전","2"
"2022-07","외과","불변(호전안됨)","1"
"2022-07","신장내과","48시간 후 사망","1"
"2022-08","순환기내과","경쾌","57"
"2022-08","정형외과","호전","33"
"2022-08","비뇨의학과","진단만실시","14"
"2022-08","신장내과","진단만실시","1"
"2022-08","소화기내과","48시간 후 사망","4"
"2022-09","신장내과","호전","12"
"2022-09","순환기내과","호전","59"
"2022-09","소화기내과","경쾌","7"
"2022-09","신장내과","불변(호전안됨)","7"
"2022-09","순환기내과","48시간 전 사망","1"
"2022-09","안과","경쾌","2"
"2022-09","가정의학과","48시간 전 사망","1"
"2022-09","정형외과","불변(호전안됨)","1"
"2022-10","재활의학과","호전","31"
"2022-10","신장내과","48시간 후 사망","3"
"2022-10","소화기내과","불변(호전안됨)","3"
"2022-10","소화기내과","진단만실시","1"
"2022-11","외과","경쾌","27"
"2022-11","신경외과","불변(호전안됨)","4"
"2022-11","신경과","호전","2"
"2022-12","안과","호전","34"
