월,진료과,퇴원결과,주상병코드,주상병명,건수
2023-01,신장내과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-02,재활의학과,호전,G95,척수의 기타 질환,1
2023-01,소화기내과,호전,K80,담석증,2
2023-02,가정의학과,48시간 전 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-03,비뇨의학과,호전,N39,비뇨계통의 기타 장애,2
2023-01,순환기내과,경쾌,I35,비류마티스성 대동맥판장애,1
2023-03,신경외과,경쾌,I63,뇌경색증,1
2023-02,재활의학과,호전,M47,척추증,1
2023-02,비뇨의학과,호전,N35,요도협착,1
2023-05,비뇨의학과,호전,R31,상세불명의 혈뇨,1
2023-01,비뇨의학과,불변(호전안됨),N39,비뇨계통의 기타 장애,1
2023-01,소화기내과,호전,K59,기타 기능성 장장애,1
2023-01,신장내과,호전,J18,상세불명 병원체의 폐렴,1
2023-03,신경외과,호전,M43,기타 변형성 등병증,1
2023-02,신경과,불변(호전안됨),I63,뇌경색증,1
2023-02,신장내과,호전,C16,위의 악성 신생물,1
2023-01,정형외과,호전,S32,요추 및 골반의 골절,1
2023-02,순환기내과,경쾌,D64,기타 빈혈,1
2023-02,내분비내과,불변(호전안됨),J69,고체 및 액체에 의한 폐렴,1
2023-03,외과,경쾌,K56,탈장이 없는 마비성 장폐색증 및 장폐색,1
2023-03,신경외과,호전,C79,기타 및 상세불명 부위의 이차성 악성 신생물,1
2023-03,외과,경쾌,S22,"늑골, 흉골 및 흉추의 골절",1
2023-03,신장내과,치료안함,N39,비뇨계통의 기타 장애,1
2023-02,재활의학과,경쾌,I63,뇌경색증,1
2023-04,순환기내과,진단만실시,I49,기타 심장부정맥,1
2023-04,순환기내과,경쾌,I21,급성 심근경색증,1
2023-03,소화기내과,호전,I20,협심증,1
2023-03,신경외과,불변(호전안됨),S22,"늑골, 흉골 및 흉추의 골절",2
2023-01,신장내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-01,신장내과,경쾌,U07,U07의 응급사용,1
2023-03,소화기내과,불변(호전안됨),R10,복부 및 골반 통증,1
2023-03,순환기내과,경쾌,I51,심장병의 불명확한 기록 및 합병증,1
2023-04,신장내과,경쾌,N10,급성 세뇨관-간질신장염,1
2023-04,외과,경쾌,I83,하지의 정맥류,1
2023-05,재활의학과,호전,M51,기타 추간판장애,13
2023-07,정형외과,호전,S52,아래팔의 골절,3
2023-07,외과,호전,D13,기타 및 부위불명의 소화계통의 양성 신생물,1
2023-05,순환기내과,호전,I77,동맥 및 세동맥의 기타 장애,8
2023-06,신경외과,경쾌,S22,"늑골, 흉골 및 흉추의 골절",2
2023-08,순환기내과,경쾌,R07,목구멍 및 가슴의 통증,3
2023-08,소화기내과,호전,U07,U07의 응급사용,5
2023-07,소화기내과,호전,J45,천식,1
2023-12,외과,경쾌,K40,사타구니탈장,3
2023-06,비뇨의학과,호전,D09,기타 및 상세불명 부위의 제자리암종,3
2023-07,정형외과,호전,S82,발목을 포함한 아래다리의 골절,2
2023-12,가정의학과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,12
2023-06,순환기내과,경쾌,R50,기타 및 원인미상의 열,1
2023-12,안과,호전,H25,노년백내장,45
2023-08,소화기내과,호전,K56,탈장이 없는 마비성 장폐색증 및 장폐색,1
2023-08,신장내과,호전,N39,비뇨계통의 기타 장애,1
2023-09,순환기내과,불변(호전안됨),J44,기타 만성 폐쇄성 폐질환,1
2023-12,순환기내과,경쾌,I49,기타 심장부정맥,1
2023-11,순환기내과,경쾌,I49,기타 심장부정맥,2
2023-12,신경외과,경쾌,S32,요추 및 골반의 골절,6
2023-12,순환기내과,경쾌,R07,목구멍 및 가슴의 통증,5
2023-09,신경외과,경쾌,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-12,순환기내과,호전,U07,U07의 응급사용,1
2023-08,정형외과,호전,M25,달리 분류되지 않은 기타 관절장애,1
2023-06,정형외과,호전,L98,달리 분류되지 않은 피부 및 피하조직의 기타 장애,2
2023-04,소화기내과,경쾌,K29,위염 및 십이지장염,1
2023-06,신장내과,경쾌,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,2
2023-12,안과,호전,H40,녹내장,1
2023-11,정형외과,호전,S42,어깨 및 위팔의 골절,2
2023-12,정형외과,호전,M86,골수염,3
2023-06,외과,호전,K40,사타구니탈장,1
2023-12,비뇨의학과,호전,C61,전립선의 악성 신생물,5
2023-12,신경외과,경쾌,M43,기타 변형성 등병증,2
2023-05,순환기내과,경쾌,U07,U07의 응급사용,1
2023-12,신장내과,호전,N18,만성 신장병,2
2023-12,비뇨의학과,호전,N32,방광의 기타 장애,1
2023-12,신장내과,경쾌,N10,급성 세뇨관-간질신장염,1
2023-06,신경과,경쾌,I63,뇌경색증,1
2023-12,비뇨의학과,호전,N48,음경의 기타 장애,1
2023-05,가정의학과,48시간 전 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-06,순환기내과,경쾌,I25,만성 허혈심장병,2
2023-09,외과,경쾌,K56,탈장이 없는 마비성 장폐색증 및 장폐색,1
2023-12,신장내과,불변(호전안됨),N18,만성 신장병,1
2023-08,순환기내과,호전,I50,심부전,2
2023-08,소화기내과,호전,J18,상세불명 병원체의 폐렴,2
2023-08,신경외과,경쾌,G82,하반신마비 및 사지마비,1
2023-06,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",2
2023-07,소화기내과,호전,K59,기타 기능성 장장애,2
2023-12,순환기내과,48시간 후 사망,C90,다발골수종 및 악성 형질세포신생물,1
2023-09,외과,경쾌,K35,급성 충수염,1
2023-12,재활의학과,호전,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-05,신장내과,호전,J15,달리 분류되지 않은 세균성 폐렴,1
2023-06,신장내과,호전,J18,상세불명 병원체의 폐렴,2
2023-06,정형외과,호전,M20,손가락 및 발가락의 후천변형,3
2023-12,순환기내과,48시간 후 사망,A41,기타 패혈증,1
2023-12,재활의학과,호전,G95,척수의 기타 질환,1
2023-05,정형외과,호전,G56,팔의 단일신경병증,1
2023-05,외과,호전,K80,담석증,1
2023-11,순환기내과,경쾌,E11,2형 당뇨병,2
2023-08,재활의학과,호전,Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,3
2023-09,소화기내과,호전,K21,위-식도역류병,2
2023-12,정형외과,호전,E11,2형 당뇨병,1
2023-12,순환기내과,경쾌,R55,실신 및 허탈,1
2023-05,정형외과,치료안함,M17,무릎관절증,1
2023-06,재활의학과,호전,I63,뇌경색증,1
2023-12,순환기내과,호전,A15,세균학적 및 조직학적으로 확인된 호흡기결핵,1
2023-08,순환기내과,경쾌,I11,고혈압성 심장병,1
2023-09,재활의학과,호전,M50,경추간판장애,2
2023-07,정형외과,호전,D48,기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물,1
2023-12,정형외과,진단만실시,M17,무릎관절증,1
2023-12,정형외과,호전,M00,화농성 관절염,1
2023-06,외과,경쾌,D13,기타 및 부위불명의 소화계통의 양성 신생물,1
2023-09,정형외과,호전,M16,고관절증,1
2023-07,정형외과,호전,L98,달리 분류되지 않은 피부 및 피하조직의 기타 장애,1
2023-09,정형외과,호전,D48,기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물,1
2023-10,정형외과,호전,M17,무릎관절증,8
2023-11,순환기내과,경쾌,I70,죽상경화증,3
2023-11,순환기내과,경쾌,R07,목구멍 및 가슴의 통증,3
2023-08,순환기내과,호전,R07,목구멍 및 가슴의 통증,1
2023-08,재활의학과,호전,C71,뇌의 악성 신생물,1
2023-09,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-06,정형외과,호전,M19,기타 관절증,1
2023-09,외과,경쾌,K61,항문 및 직장부의 농양,1
2023-11,신경과,호전,G20,파킨슨병,1
2023-07,정형외과,호전,M17,무릎관절증,14
2023-07,신장내과,경쾌,N18,만성 신장병,2
2023-07,내분비내과,불변(호전안됨),J69,고체 및 액체에 의한 폐렴,1
2023-11,순환기내과,경쾌,I11,고혈압성 심장병,2
2023-06,소화기내과,불변(호전안됨),K58,과민대장증후군,1
2023-06,순환기내과,호전,J18,상세불명 병원체의 폐렴,1
2023-07,순환기내과,진단만실시,J90,달리 분류되지 않은 흉막삼출액,1
2023-10,신장내과,호전,U07,U07의 응급사용,3
2023-05,재활의학과,호전,G62,기타 다발신경병증,2
2023-08,신장내과,호전,U09,코로나-19 이후 병태,1
2023-09,소화기내과,호전,J12,달리 분류되지 않은 바이러스폐렴,2
2023-11,정형외과,호전,M86,골수염,1
2023-11,신장내과,호전,N17,급성 신부전,1
2023-11,신장내과,경쾌,J42,상세불명의 만성 기관지염,1
2023-07,순환기내과,진단만실시,C25,췌장의 악성 신생물,1
2023-06,안과,호전,H35,기타 망막장애,1
2023-12,신경과,불변(호전안됨),G25,기타 추체외로 및 운동 장애,1
2023-07,소화기내과,호전,J18,상세불명 병원체의 폐렴,2
2023-07,순환기내과,불변(호전안됨),C18,결장의 악성 신생물,1
2023-10,비뇨의학과,호전,R31,상세불명의 혈뇨,1
2023-10,소화기내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-09,정형외과,불변(호전안됨),M87,골괴사,1
2023-09,소화기내과,호전,R05,기침,1
2023-09,정형외과,호전,G56,팔의 단일신경병증,1
2023-06,내분비내과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1
2023-09,순환기내과,호전,I47,발작성 빈맥,1
2023-10,재활의학과,경쾌,M51,기타 추간판장애,1
2023-06,외과,경쾌,L72,피부 및 피하조직의 모낭낭,1
2023-07,내분비내과,호전,C34,기관지 및 폐의 악성 신생물,1
2023-08,순환기내과,호전,I73,기타 말초혈관질환,2
2023-08,신경외과,호전,M50,경추간판장애,1
2023-09,신장내과,진단만실시,I12,고혈압성 신장병,1
2023-06,신장내과,치료안함,E11,2형 당뇨병,1
2023-10,순환기내과,경쾌,C34,기관지 및 폐의 악성 신생물,1
2023-06,신장내과,진단만실시,C34,기관지 및 폐의 악성 신생물,1
2023-11,순환기내과,경쾌,J14,인플루엔자균에 의한 폐렴,1
2023-11,신경외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-07,순환기내과,경쾌,I49,기타 심장부정맥,3
2023-08,순환기내과,진단만실시,R07,목구멍 및 가슴의 통증,1
2023-09,재활의학과,호전,G62,기타 다발신경병증,2
2023-10,비뇨의학과,호전,N28,달리 분류되지 않은 신장 및 요관의 기타 장애,1
2023-11,비뇨의학과,호전,R10,복부 및 골반 통증,1
2023-08,순환기내과,48시간 후 사망,I50,심부전,1
2023-09,소화기내과,경쾌,E87,"수분, 전해질 및 산-염기균형의 기타 장애",1
2023-09,정형외과,호전,R02,달리 분류되지 않은 괴저,1
2023-10,정형외과,호전,M71,기타 윤활낭병증,1
2023-10,신경외과,경쾌,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-09,정형외과,호전,L40,건선,1
2023-05,안과,불변(호전안됨),H25,노년백내장,1
2023-08,재활의학과,호전,M17,무릎관절증,1
2023-09,정형외과,호전,L02,"피부의 농양, 종기 및 큰종기",1
2023-06,외과,호전,K35,급성 충수염,1
2023-07,소화기내과,호전,C22,간 및 간내 담관의 악성 신생물,1
2023-10,정형외과,호전,G56,팔의 단일신경병증,2
2023-06,순환기내과,경쾌,I21,급성 심근경색증,1
2023-11,순환기내과,불변(호전안됨),E11,2형 당뇨병,1
2023-10,신장내과,경쾌,A08,바이러스성 및 기타 명시된 장감염,1
2023-10,정형외과,경쾌,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-08,순환기내과,호전,K59,기타 기능성 장장애,1
2023-11,재활의학과,경쾌,Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,2
2023-06,비뇨의학과,호전,Z03,"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",1
2023-07,신경외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,1
2023-07,소화기내과,48시간 후 사망,J15,달리 분류되지 않은 세균성 폐렴,1
2023-11,소화기내과,호전,I10,본태성(원발성) 고혈압,1
2023-10,신장내과,진단만실시,A41,기타 패혈증,1
2023-07,신경과,경쾌,H91,기타 청력소실,1
2023-07,신장내과,호전,N18,만성 신장병,1
2023-07,소화기내과,경쾌,K30,기능성 소화불량,1
2023-06,순환기내과,경쾌,E11,2형 당뇨병,1
2023-05,순환기내과,불변(호전안됨),I21,급성 심근경색증,1
2023-07,외과,경쾌,K80,담석증,1
2023-11,비뇨의학과,호전,N35,요도협착,1
2023-10,신경외과,경쾌,M54,등통증,1
2023-05,순환기내과,호전,M79,달리 분류되지 않은 기타 연조직장애,1
2023-01,정형외과,호전,S92,발목을 제외한 발의 골절,1
2023-02,외과,경쾌,S22,"늑골, 흉골 및 흉추의 골절",3
2023-01,소화기내과,호전,J44,기타 만성 폐쇄성 폐질환,1
2023-01,순환기내과,경쾌,I48,심방세동 및 조동,9
2023-02,순환기내과,호전,I48,심방세동 및 조동,3
2023-02,순환기내과,호전,I44,방실차단 및 좌각차단,1
2023-02,내분비내과,호전,E11,2형 당뇨병,5
2023-01,신경외과,경쾌,M48,기타 척추병증,4
2023-02,신경외과,호전,M48,기타 척추병증,7
2023-05,소화기내과,48시간 후 사망,J15,달리 분류되지 않은 세균성 폐렴,1
2023-03,재활의학과,호전,G95,척수의 기타 질환,1
2023-03,순환기내과,경쾌,I77,동맥 및 세동맥의 기타 장애,4
2023-02,순환기내과,경쾌,I20,협심증,26
2023-02,외과,경쾌,K56,탈장이 없는 마비성 장폐색증 및 장폐색,2
2023-03,순환기내과,경쾌,J90,달리 분류되지 않은 흉막삼출액,2
2023-01,비뇨의학과,호전,N35,요도협착,1
2023-03,정형외과,호전,M21,사지의 기타 후천변형,1
2023-01,정형외과,호전,M75,어깨병변,9
2023-03,소화기내과,호전,J18,상세불명 병원체의 폐렴,3
2023-03,순환기내과,경쾌,I70,죽상경화증,2
2023-01,신장내과,호전,N18,만성 신장병,5
2023-03,소화기내과,호전,K22,식도의 기타 질환,1
2023-01,소화기내과,48시간 후 사망,C25,췌장의 악성 신생물,1
2023-02,순환기내과,경쾌,N39,비뇨계통의 기타 장애,1
2023-03,신경외과,경쾌,I62,기타 비외상성 두개내출혈,1
2023-04,순환기내과,경쾌,I70,죽상경화증,6
2023-02,정형외과,호전,D17,양성 지방종성 신생물,1
2023-03,순환기내과,호전,I48,심방세동 및 조동,1
2023-04,소화기내과,48시간 후 사망,J69,고체 및 액체에 의한 폐렴,1
2023-04,순환기내과,경쾌,E11,2형 당뇨병,1
2023-04,정형외과,호전,S72,대퇴골의 골절,4
2023-04,신경과,경쾌,I63,뇌경색증,1
2023-04,재활의학과,호전,M17,무릎관절증,1
2023-01,비뇨의학과,진단만실시,Z03,"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",4
2023-02,순환기내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-04,비뇨의학과,호전,D09,기타 및 상세불명 부위의 제자리암종,1
2023-04,정형외과,호전,D36,기타 및 상세불명 부위의 양성 신생물,1
2023-02,순환기내과,경쾌,K21,위-식도역류병,2
2023-02,신경외과,불변(호전안됨),G95,척수의 기타 질환,1
2023-04,안과,호전,H40,녹내장,5
2023-03,소화기내과,호전,A15,세균학적 및 조직학적으로 확인된 호흡기결핵,1
2023-04,순환기내과,호전,E11,2형 당뇨병,1
2023-04,정형외과,불변(호전안됨),S82,발목을 포함한 아래다리의 골절,1
2023-04,순환기내과,호전,I21,급성 심근경색증,1
2023-07,순환기내과,경쾌,J90,달리 분류되지 않은 흉막삼출액,1
2023-02,신경외과,불변(호전안됨),S32,요추 및 골반의 골절,1
2023-04,신장내과,경쾌,E11,2형 당뇨병,1
2023-02,신경외과,호전,S32,요추 및 골반의 골절,6
2023-03,소화기내과,불변(호전안됨),R05,기침,1
2023-01,신장내과,48시간 전 사망,A41,기타 패혈증,1
2023-02,순환기내과,호전,R07,목구멍 및 가슴의 통증,4
2023-03,소화기내과,호전,U07,U07의 응급사용,1
2023-04,신경외과,불변(호전안됨),M54,등통증,1
2023-02,신장내과,호전,N39,비뇨계통의 기타 장애,1
2023-05,순환기내과,진단만실시,R07,목구멍 및 가슴의 통증,1
2023-05,소화기내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-05,내분비내과,불변(호전안됨),E11,2형 당뇨병,2
2023-05,신장내과,호전,J18,상세불명 병원체의 폐렴,4
2023-05,가정의학과,불변(호전안됨),Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,1
2023-05,신경외과,호전,M51,기타 추간판장애,12
2023-05,순환기내과,경쾌,J84,기타 간질성 폐질환,1
2023-05,신장내과,경쾌,E11,2형 당뇨병,1
2023-04,신경외과,경쾌,M43,기타 변형성 등병증,3
2023-05,소화기내과,호전,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,4
2023-04,소화기내과,호전,R63,음식 및 수액 섭취에 관계된 증상 및 징후,1
2023-05,안과,호전,H04,눈물계통의 장애,1
2023-02,정형외과,호전,M87,골괴사,1
2023-04,재활의학과,호전,S72,대퇴골의 골절,1
2023-03,순환기내과,호전,R07,목구멍 및 가슴의 통증,3
2023-05,순환기내과,호전,R42,어지럼증 및 어지럼,1
2023-02,정형외과,호전,S52,아래팔의 골절,1
2023-04,소화기내과,경쾌,R63,음식 및 수액 섭취에 관계된 증상 및 징후,1
2023-03,순환기내과,48시간 후 사망,J69,고체 및 액체에 의한 폐렴,1
2023-02,순환기내과,호전,T82,"심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증",1
2023-02,내분비내과,호전,J44,기타 만성 폐쇄성 폐질환,1
2023-01,내분비내과,호전,J06,다발성 및 상세불명 부위의 급성 상기도감염,1
2023-01,순환기내과,경쾌,I47,발작성 빈맥,1
2023-01,소화기내과,호전,J20,급성 기관지염,1
2023-03,순환기내과,경쾌,J15,달리 분류되지 않은 세균성 폐렴,1
2023-03,내분비내과,호전,J69,고체 및 액체에 의한 폐렴,1
2023-03,신경외과,불변(호전안됨),M48,기타 척추병증,2
2023-03,정형외과,호전,M76,발을 제외한 다리의 골부착부병증,1
2023-02,비뇨의학과,호전,N40,전립선증식증,2
2023-01,순환기내과,불변(호전안됨),J18,상세불명 병원체의 폐렴,1
2023-03,외과,불변(호전안됨),J93,기흉,1
2023-01,외과,경쾌,K43,복벽탈장,1
2023-02,정형외과,호전,S42,어깨 및 위팔의 골절,1
2023-04,소화기내과,호전,I10,본태성(원발성) 고혈압,2
2023-02,비뇨의학과,불변(호전안됨),N17,급성 신부전,1
2023-02,신경외과,48시간 후 사망,I60,거미막하출혈,1
2023-03,순환기내과,경쾌,E78,지질단백질대사장애 및 기타 지질증,1
2023-03,정형외과,호전,S42,어깨 및 위팔의 골절,1
2023-04,외과,불변(호전안됨),K40,사타구니탈장,1
2023-01,소화기내과,경쾌,R18,복수,1
2023-04,신경외과,48시간 후 사망,M46,기타 염증성 척추병증,1
2023-04,외과,호전,K35,급성 충수염,1
2023-03,소화기내과,호전,K63,장의 기타 질환,1
2023-04,정형외과,호전,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",1
2023-03,순환기내과,경쾌,I21,급성 심근경색증,1
2023-03,순환기내과,호전,I73,기타 말초혈관질환,1
2023-04,순환기내과,경쾌,I25,만성 허혈심장병,1
2023-03,순환기내과,호전,I25,만성 허혈심장병,1
2023-04,순환기내과,호전,I77,동맥 및 세동맥의 기타 장애,1
2023-09,비뇨의학과,호전,N39,비뇨계통의 기타 장애,4
2023-09,소화기내과,불변(호전안됨),K86,췌장의 기타 질환,1
2023-12,정형외과,호전,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,3
2023-12,신장내과,호전,E11,2형 당뇨병,3
2023-05,비뇨의학과,호전,N40,전립선증식증,2
2023-07,신장내과,호전,J15,달리 분류되지 않은 세균성 폐렴,1
2023-08,정형외과,불변(호전안됨),E11,2형 당뇨병,1
2023-12,정형외과,호전,S72,대퇴골의 골절,3
2023-12,비뇨의학과,호전,C67,방광의 악성 신생물,1
2023-06,정형외과,호전,M75,어깨병변,3
2023-08,비뇨의학과,호전,C61,전립선의 악성 신생물,3
2023-12,순환기내과,경쾌,A75,발진티푸스,1
2023-12,신장내과,경쾌,U07,U07의 응급사용,1
2023-12,비뇨의학과,호전,N39,비뇨계통의 기타 장애,3
2023-05,신장내과,호전,E11,2형 당뇨병,3
2023-05,신장내과,경쾌,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,1
2023-09,소화기내과,호전,R63,음식 및 수액 섭취에 관계된 증상 및 징후,2
2023-09,정형외과,호전,L03,연조직염,6
2023-06,가정의학과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,21
2023-09,순환기내과,48시간 후 사망,J90,달리 분류되지 않은 흉막삼출액,1
2023-12,비뇨의학과,진단만실시,C61,전립선의 악성 신생물,2
2023-12,신경외과,호전,M48,기타 척추병증,5
2023-07,비뇨의학과,호전,N20,신장 및 요관의 결석,1
2023-08,신경외과,호전,M48,기타 척추병증,7
2023-09,순환기내과,경쾌,R07,목구멍 및 가슴의 통증,5
2023-05,비뇨의학과,호전,Z03,"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",1
2023-07,순환기내과,경쾌,I25,만성 허혈심장병,1
2023-07,신장내과,경쾌,N39,비뇨계통의 기타 장애,1
2023-09,신장내과,호전,N17,급성 신부전,2
2023-05,순환기내과,경쾌,I21,급성 심근경색증,4
2023-05,재활의학과,호전,M43,기타 변형성 등병증,1
2023-06,순환기내과,경쾌,I50,심부전,3
2023-11,비뇨의학과,호전,N39,비뇨계통의 기타 장애,3
2023-06,신경외과,호전,M51,기타 추간판장애,11
2023-07,안과,호전,H25,노년백내장,45
2023-09,정형외과,호전,S52,아래팔의 골절,2
2023-12,순환기내과,불변(호전안됨),C92,골수성 백혈병,1
2023-04,순환기내과,경쾌,C66,요관의 악성 신생물,1
2023-08,재활의학과,호전,M50,경추간판장애,1
2023-09,외과,경쾌,K81,담낭염,1
2023-07,내분비내과,호전,K56,탈장이 없는 마비성 장폐색증 및 장폐색,1
2023-08,외과,경쾌,K60,항문 및 직장부의 열창 및 누공,1
2023-08,신경외과,호전,M96,달리 분류되지 않은 처치후 근골격장애,2
2023-06,소화기내과,호전,N10,급성 세뇨관-간질신장염,1
2023-08,신경외과,불변(호전안됨),M48,기타 척추병증,1
2023-11,안과,호전,H40,녹내장,2
2023-06,신장내과,경쾌,E11,2형 당뇨병,1
2023-12,순환기내과,호전,I77,동맥 및 세동맥의 기타 장애,5
2023-06,순환기내과,경쾌,R07,목구멍 및 가슴의 통증,1
2023-08,신장내과,호전,E11,2형 당뇨병,3
2023-07,가정의학과,48시간 후 사망,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,14
2023-09,소화기내과,호전,U07,U07의 응급사용,4
2023-12,순환기내과,호전,I50,심부전,1
2023-12,신장내과,불변(호전안됨),E16,췌장내분비의 기타 장애,1
2023-08,신장내과,호전,I12,고혈압성 신장병,2
2023-11,순환기내과,경쾌,I63,뇌경색증,1
2023-12,순환기내과,호전,R07,목구멍 및 가슴의 통증,2
2023-06,소화기내과,호전,A04,기타 세균성 장감염,2
2023-06,신경외과,경쾌,M46,기타 염증성 척추병증,1
2023-08,신경외과,호전,M43,기타 변형성 등병증,3
2023-05,안과,호전,H02,눈꺼풀의 기타 장애,1
2023-06,소화기내과,호전,E11,2형 당뇨병,4
2023-12,순환기내과,호전,J18,상세불명 병원체의 폐렴,1
2023-05,신경외과,불변(호전안됨),S22,"늑골, 흉골 및 흉추의 골절",1
2023-06,정형외과,호전,S80,아래다리의 표재성 손상,1
2023-07,순환기내과,호전,I31,심장막의 기타 질환,1
2023-08,순환기내과,경쾌,I25,만성 허혈심장병,2
2023-12,신경외과,호전,M50,경추간판장애,2
2023-08,순환기내과,호전,J12,달리 분류되지 않은 바이러스폐렴,1
2023-07,비뇨의학과,호전,N39,비뇨계통의 기타 장애,1
2023-08,순환기내과,경쾌,E16,췌장내분비의 기타 장애,1
2023-06,순환기내과,호전,I48,심방세동 및 조동,2
2023-06,신장내과,호전,E87,"수분, 전해질 및 산-염기균형의 기타 장애",2
2023-11,순환기내과,경쾌,I48,심방세동 및 조동,13
2023-08,소화기내과,호전,E11,2형 당뇨병,4
2023-09,신경외과,호전,M48,기타 척추병증,5
2023-05,순환기내과,불변(호전안됨),I48,심방세동 및 조동,1
2023-08,재활의학과,호전,M48,기타 척추병증,2
2023-11,정형외과,호전,S80,아래다리의 표재성 손상,1
2023-12,신장내과,경쾌,N18,만성 신장병,2
