"월","퇴원과","퇴원결과","건수"
"2022-06","호흡기내과","호전","8"
"2022-06","신장내과","호전","5"
"2022-06","비뇨의학과","진단만실시","19"
"2022-06","외과","호전","4"
"2022-07","혈액종양내과","경쾌","2"
"2022-08","가정의학과","치료안함","2"
"2022-08","순환기내과","호전","89"
"2022-08","호흡기내과","48시간 후 사망","6"
"2022-08","정형외과","치료안함","1"
"2022-08","순환기내과","진단만실시","2"
"2022-08","소화기내과","치료안함","1"
"2022-08","이비인후과","경쾌","1"
"2022-09","순환기내과","불변(호전안됨)","3"
"2022-09","이비인후과","호전","2"
"2022-09","재활의학과","경쾌","21"
"2022-10","외과","호전","6"
"2022-10","정형외과","호전","42"
"2022-10","외과","경쾌","10"
"2022-10","신경외과","치료안함","2"
"2022-10","호흡기내과","호전","17"
"2022-10","비뇨의학과","진단만실시","11"
"2022-10","재활의학과","경쾌","14"
"2022-10","순환기내과","불변(호전안됨)","2"
"2022-10","순환기내과","48시간 후 사망","1"
"2022-10","정형외과","치료안함","1"
"2022-10","신경과","불변(호전안됨)","1"
"2022-11","순환기내과","호전","111"
"2022-11","신경외과","호전","60"
"2022-11","신장내과","호전","4"
"2022-11","호흡기내과","경쾌","5"
"2022-11","이비인후과","호전","2"
"2022-11","외과","불변(호전안됨)","1"
"2022-12","가정의학과","48시간 후 사망","16"
"2022-12","신경외과","진단만실시","1"
"2022-12","비뇨의학과","불변(호전안됨)","1"
"2022-12","소화기내과","48시간 후 사망","3"
"2022-12","소화기내과","치료안함","1"
"2022-12","정형외과","불변(호전안됨)","1"
"2022-01","혈액종양내과","호전","10"
"2022-01","호흡기내과","경쾌","13"
"2022-01","소화기내과","호전","52"
"2022-01","비뇨의학과","경쾌","7"
"2022-01","소화기내과","불변(호전안됨)","2"
"2022-01","정형외과","불변(호전안됨)","2"
"2022-01","이비인후과","호전","2"
"2022-01","소화기내과","48시간 후 사망","1"
"2022-02","호흡기내과","호전","144"
"2022-02","혈액종양내과","48시간 후 사망","1"
"2022-02","정형외과","불변(호전안됨)","4"
"2022-02","비뇨의학과","경쾌","1"
"2022-02","외과","불변(호전안됨)","1"
"2022-03","가정의학과","48시간 후 사망","10"
"2022-03","비뇨의학과","경쾌","2"
"2022-03","혈액종양내과","48시간 후 사망","1"
"2022-04","호흡기내과","48시간 후 사망","3"
"2022-04","재활의학과","경쾌","5"
"2022-04","신장내과","호전","2"
"2022-04","정형외과","불변(호전안됨)","3"
"2022-04","호흡기내과","진단만실시","1"
"2022-04","순환기내과","48시간 후 사망","2"
"2022-04","신경외과","경쾌","1"
"2022-04","재활의학과","호전","1"
"2022-05","가정의학과","48시간 후 사망","13"
"2022-05","신경외과","치료안함","2"
"2022-05","재활의학과","경쾌","4"
"2022-05","외과","경쾌","7"
"2022-05","재활의학과","호전","1"
"2022-05","호흡기내과","불변(호전안됨)","4"
"2022-05","소화기내과","불변(호전안됨)","1"
"2022-06","신경외과","호전","49"
"2022-06","가정의학과","48시간 전 사망","1"
"2022-06","호흡기내과","진단만실시","1"
"2022-07","외과","경쾌","10"
"2022-07","순환기내과","호전","97"
"2022-07","소화기내과","호전","84"
"2022-07","비뇨의학과","치료안함","1"
"2022-07","소화기내과","경쾌","3"
"2022-07","신장내과","호전","3"
"2022-07","혈액종양내과","호전","1"
"2022-07","재활의학과","치료안함","1"
"2022-08","소화기내과","호전","75"
"2022-08","비뇨의학과","호전","13"
"2022-08","내분비내과","경쾌","1"
"2022-08","신경과","호전","6"
"2022-08","정형외과","불변(호전안됨)","2"
"2022-08","혈액종양내과","경쾌","1"
"2022-09","비뇨의학과","호전","10"
"2022-09","신경외과","치료안함","3"
"2022-09","재활의학과","호전","4"
"2022-09","정형외과","진단만실시","1"
"2022-10","신경외과","진단만실시","3"
"2022-10","신경외과","호전","42"
"2022-10","혈액종양내과","호전","2"
"2022-10","호흡기내과","48시간 전 사망","2"
"2022-10","혈액종양내과","불변(호전안됨)","1"
"2022-11","호흡기내과","호전","23"
"2022-11","재활의학과","경쾌","8"
"2022-11","가정의학과","48시간 후 사망","16"
"2022-11","소화기내과","48시간 전 사망","2"
"2022-12","순환기내과","호전","83"
"2022-12","소화기내과","호전","55"
"2022-12","이비인후과","호전","5"
"2022-12","신장내과","호전","3"
"2022-12","혈액종양내과","호전","1"
"2022-01","신경외과","호전","35"
"2022-01","가정의학과","불변(호전안됨)","2"
"2022-01","소화기내과","경쾌","4"
"2022-01","신장내과","48시간 후 사망","2"
"2022-02","소화기내과","경쾌","23"
"2022-02","순환기내과","호전","43"
"2022-02","혈액종양내과","호전","7"
"2022-02","외과","호전","6"
"2022-02","신경과","호전","3"
"2022-02","소아청소년과","호전","2"
"2022-02","호흡기내과","불변(호전안됨)","2"
"2022-03","외과","호전","5"
"2022-03","신장내과","호전","3"
"2022-03","정형외과","48시간 후 사망","1"
"2022-03","외과","48시간 후 사망","1"
"2022-04","비뇨의학과","진단만실시","15"
"2022-04","비뇨의학과","경쾌","10"
"2022-04","혈액종양내과","호전","5"
"2022-04","혈액종양내과","진단만실시","2"
"2022-04","재활의학과","치료안함","1"
"2022-04","호흡기내과","48시간 전 사망","1"
"2022-04","가정의학과","호전","1"
"2022-05","신장내과","호전","9"
"2022-05","호흡기내과","호전","22"
"2022-05","정형외과","호전","48"
"2022-05","이비인후과","호전","4"
"2022-05","비뇨의학과","경쾌","7"
"2022-05","혈액종양내과","불변(호전안됨)","1"
"2022-06","소화기내과","호전","82"
"2022-06","정형외과","호전","59"
"2022-06","비뇨의학과","불변(호전안됨)","1"
"2022-06","순환기내과","치료안함","2"
"2022-06","재활의학과","경쾌","14"
"2022-06","비뇨의학과","호전","7"
"2022-06","정형외과","불변(호전안됨)","5"
"2022-06","혈액종양내과","경쾌","6"
"2022-06","호흡기내과","경쾌","2"
"2022-06","비뇨의학과","치료안함","1"
"2022-06","신경외과","진단만실시","1"
"2022-06","신경외과","불변(호전안됨)","2"
"2022-07","정형외과","호전","66"
"2022-07","가정의학과","48시간 후 사망","15"
"2022-07","호흡기내과","경쾌","4"
"2022-07","호흡기내과","호전","17"
"2022-07","신경외과","48시간 후 사망","1"
"2022-08","가정의학과","48시간 후 사망","12"
"2022-08","재활의학과","경쾌","11"
"2022-08","비뇨의학과","경쾌","14"
"2022-08","순환기내과","불변(호전안됨)","3"
"2022-08","재활의학과","진단만실시","2"
"2022-09","소화기내과","불변(호전안됨)","10"
"2022-09","소화기내과","치료안함","1"
"2022-09","신경과","호전","6"
"2022-09","정형외과","치료안함","2"
"2022-09","외과","호전","6"
"2022-10","비뇨의학과","경쾌","10"
"2022-10","신경외과","불변(호전안됨)","1"
"2022-10","호흡기내과","경쾌","1"
"2022-10","순환기내과","치료안함","1"
"2022-10","내분비내과","호전","1"
"2022-10","소화기내과","치료안함","1"
"2022-11","정형외과","호전","59"
"2022-11","비뇨의학과","경쾌","21"
"2022-11","외과","호전","1"
"2022-11","재활의학과","치료안함","1"
"2022-11","순환기내과","불변(호전안됨)","2"
"2022-11","순환기내과","48시간 후 사망","2"
"2022-11","소화기내과","불변(호전안됨)","2"
"2022-12","소화기내과","경쾌","8"
"2022-12","비뇨의학과","치료안함","1"
"2022-12","정형외과","호전","51"
"2022-12","호흡기내과","호전","26"
"2022-12","순환기내과","불변(호전안됨)","3"
"2022-12","소화기내과","불변(호전안됨)","2"
"2022-12","호흡기내과","48시간 후 사망","1"
"2022-01","비뇨의학과","진단만실시","11"
"2022-01","외과","진단만실시","2"
"2022-01","비뇨의학과","호전","4"
"2022-01","순환기내과","경쾌","2"
"2022-02","신경외과","불변(호전안됨)","6"
"2022-02","소화기내과","진단만실시","1"
"2022-02","호흡기내과","48시간 후 사망","2"
"2022-03","소화기내과","48시간 후 사망","5"
"2022-03","신경외과","호전","32"
"2022-03","호흡기내과","불변(호전안됨)","7"
"2022-03","소화기내과","호전","29"
"2022-03","호흡기내과","치료안함","6"
"2022-03","혈액종양내과","호전","4"
"2022-03","정형외과","진단만실시","1"
"2022-03","비뇨의학과","호전","2"
"2022-03","비뇨의학과","진단만실시","2"
"2022-03","정형외과","치료안함","1"
"2022-04","신경외과","불변(호전안됨)","6"
"2022-05","소화기내과","경쾌","7"
"2022-05","호흡기내과","48시간 후 사망","2"
"2022-05","순환기내과","불변(호전안됨)","3"
"2022-05","외과","호전","1"
"2022-06","외과","경쾌","9"
"2022-06","혈액종양내과","호전","3"
"2022-06","순환기내과","48시간 후 사망","1"
"2022-06","재활의학과","호전","3"
"2022-06","소화기내과","진단만실시","2"
"2022-06","순환기내과","진단만실시","1"
"2022-07","신경외과","호전","46"
"2022-07","재활의학과","경쾌","19"
"2022-07","신경외과","진단만실시","1"
"2022-08","외과","호전","5"
"2022-08","호흡기내과","불변(호전안됨)","2"
"2022-09","신경외과","호전","74"
"2022-09","정형외과","호전","63"
"2022-09","혈액종양내과","호전","6"
"2022-09","정형외과","경쾌","2"
"2022-09","가정의학과","치료안함","1"
"2022-09","재활의학과","불변(호전안됨)","1"
"2022-10","소화기내과","48시간 후 사망","4"
"2022-10","정형외과","경쾌","1"
"2022-11","소화기내과","경쾌","15"
"2022-11","가정의학과","치료안함","1"
"2022-11","내분비내과","호전","1"
"2022-11","호흡기내과","진단만실시","1"
"2022-11","류마티스내과","호전","1"
"2022-12","재활의학과","경쾌","17"
"2022-12","비뇨의학과","진단만실시","19"
"2022-12","재활의학과","호전","3"
"2022-12","신경외과","치료안함","4"
"2022-12","소화기내과","진단만실시","2"
"2022-12","신경외과","경쾌","1"
"2022-12","순환기내과","치료안함","1"
"2022-01","가정의학과","48시간 후 사망","10"
"2022-01","신경과","호전","4"
"2022-01","소화기내과","치료안함","1"
"2022-01","순환기내과","진단만실시","1"
"2022-02","신경외과","호전","46"
"2022-02","순환기내과","불변(호전안됨)","2"
"2022-02","정형외과","경쾌","3"
"2022-03","정형외과","호전","23"
"2022-03","소화기내과","경쾌","2"
"2022-03","정형외과","불변(호전안됨)","1"
"2022-03","소화기내과","불변(호전안됨)","1"
"2022-03","비뇨의학과","불변(호전안됨)","1"
"2022-03","외과","경쾌","1"
"2022-03","호흡기내과","가망없는 퇴원","1"
"2022-04","순환기내과","진단만실시","4"
"2022-04","호흡기내과","호전","100"
"2022-04","순환기내과","경쾌","1"
"2022-04","가정의학과","불변(호전안됨)","3"
"2022-04","호흡기내과","불변(호전안됨)","3"
"2022-04","신경과","호전","3"
"2022-04","외과","불변(호전안됨)","1"
"2022-05","순환기내과","호전","89"
"2022-05","신경외과","호전","29"
"2022-05","신장내과","불변(호전안됨)","2"
"2022-05","혈액종양내과","경쾌","2"
"2022-05","호흡기내과","경쾌","1"
"2022-05","혈액종양내과","48시간 후 사망","1"
"2022-05","혈액종양내과","호전","7"
"2022-05","순환기내과","진단만실시","1"
"2022-05","비뇨의학과","진단만실시","13"
"2022-06","신장내과","불변(호전안됨)","1"
"2022-06","혈액종양내과","진단만실시","1"
"2022-07","신경외과","불변(호전안됨)","4"
"2022-07","비뇨의학과","진단만실시","25"
"2022-07","재활의학과","호전","6"
"2022-07","내분비내과","호전","2"
"2022-08","소화기내과","경쾌","11"
"2022-08","신경외과","호전","65"
"2022-08","이비인후과","호전","4"
"2022-08","신장내과","호전","7"
"2022-08","순환기내과","48시간 후 사망","3"
"2022-08","정형외과","진단만실시","1"
"2022-09","가정의학과","48시간 후 사망","19"
"2022-09","소화기내과","호전","79"
"2022-09","소화기내과","48시간 후 사망","5"
"2022-09","비뇨의학과","진단만실시","12"
"2022-09","순환기내과","진단만실시","1"
"2022-09","소화기내과","진단만실시","1"
"2022-09","신경외과","진단만실시","1"
"2022-10","소화기내과","호전","72"
"2022-10","비뇨의학과","호전","8"
"2022-10","이비인후과","호전","4"
"2022-10","호흡기내과","진단만실시","1"
"2022-11","순환기내과","진단만실시","2"
"2022-11","이비인후과","치료안함","1"
"2022-11","호흡기내과","48시간 후 사망","1"
"2022-12","호흡기내과","진단만실시","1"
"2022-12","비뇨의학과","호전","12"
"2022-12","신경외과","불변(호전안됨)","8"
"2022-12","순환기내과","경쾌","1"
"2022-12","가정의학과","호전","1"
"2022-01","순환기내과","호전","107"
"2022-01","혈액종양내과","48시간 후 사망","1"
"2022-01","안과","경쾌","2"
"2022-01","신경외과","경쾌","2"
"2022-01","순환기내과","불변(호전안됨)","1"
"2022-02","소화기내과","호전","48"
"2022-02","재활의학과","경쾌","19"
"2022-02","순환기내과","치료안함","1"
"2022-02","내분비내과","호전","1"
"2022-02","호흡기내과","치료안함","1"
"2022-02","이비인후과","48시간 후 사망","1"
"2022-02","외과","치료안함","1"
"2022-03","호흡기내과","48시간 전 사망","1"
"2022-03","재활의학과","호전","1"
"2022-04","소화기내과","호전","69"
"2022-04","소화기내과","48시간 후 사망","1"
"2022-04","혈액종양내과","불변(호전안됨)","1"
"2022-05","비뇨의학과","호전","7"
"2022-05","신경외과","48시간 후 사망","1"
"2022-05","비뇨의학과","불변(호전안됨)","2"
"2022-06","순환기내과","호전","107"
"2022-06","소화기내과","경쾌","9"
"2022-06","호흡기내과","치료안함","1"
"2022-06","비뇨의학과","경쾌","5"
"2022-06","가정의학과","48시간 후 사망","13"
"2022-06","호흡기내과","불변(호전안됨)","1"
"2022-07","외과","호전","9"
"2022-07","소화기내과","불변(호전안됨)","3"
"2022-07","비뇨의학과","호전","6"
"2022-08","소화기내과","불변(호전안됨)","3"
"2022-08","신경외과","불변(호전안됨)","7"
"2022-08","호흡기내과","경쾌","1"
"2022-08","내분비내과","호전","1"
"2022-08","외과","경쾌","6"
"2022-09","비뇨의학과","경쾌","15"
"2022-09","외과","경쾌","3"
"2022-10","가정의학과","48시간 후 사망","20"
"2022-10","호흡기내과","치료안함","3"
"2022-10","순환기내과","호전","58"
"2022-10","신경과","호전","8"
"2022-10","가정의학과","48시간 전 사망","1"
"2022-11","혈액종양내과","호전","5"
"2022-11","이비인후과","불변(호전안됨)","1"
"2022-11","이비인후과","경쾌","2"
"2022-11","신경외과","치료안함","2"
"2022-11","신장내과","불변(호전안됨)","2"
"2022-11","혈액종양내과","경쾌","2"
"2022-11","혈액종양내과","불변(호전안됨)","1"
"2022-12","비뇨의학과","경쾌","11"
"2022-12","가정의학과","불변(호전안됨)","1"
"2022-12","순환기내과","진단만실시","1"
"2022-12","신경과","호전","3"
"2022-12","혈액종양내과","경쾌","1"
"2022-01","신경외과","치료안함","2"
"2022-01","신경외과","진단만실시","4"
"2022-01","외과","호전","9"
"2022-01","신경외과","불변(호전안됨)","3"
"2022-01","호흡기내과","48시간 후 사망","3"
"2022-02","신경외과","경쾌","1"
"2022-02","가정의학과","48시간 후 사망","11"
"2022-02","비뇨의학과","호전","5"
"2022-02","호흡기내과","경쾌","8"
"2022-02","신장내과","호전","4"
"2022-02","신경외과","진단만실시","3"
"2022-02","비뇨의학과","진단만실시","8"
"2022-02","이비인후과","호전","1"
"2022-02","신경외과","치료안함","1"
"2022-03","호흡기내과","경쾌","7"
"2022-03","재활의학과","경쾌","2"
"2022-03","신경외과","치료안함","2"
"2022-03","소아청소년과","호전","1"
"2022-03","재활의학과","치료안함","1"
"2022-04","비뇨의학과","호전","5"
"2022-04","이비인후과","호전","2"
"2022-04","외과","경쾌","9"
"2022-04","소화기내과","불변(호전안됨)","2"
"2022-04","신경과","진단만실시","1"
"2022-04","재활의학과","48시간 후 사망","1"
"2022-05","소화기내과","호전","60"
"2022-05","신경외과","불변(호전안됨)","4"
"2022-05","정형외과","불변(호전안됨)","2"
"2022-05","내분비내과","호전","1"
"2022-06","호흡기내과","48시간 후 사망","4"
"2022-06","가정의학과","불변(호전안됨)","1"
"2022-06","신경외과","치료안함","1"
"2022-07","비뇨의학과","경쾌","13"
"2022-07","이비인후과","호전","6"
"2022-07","호흡기내과","48시간 후 사망","1"
"2022-07","정형외과","치료안함","2"
"2022-07","신경과","호전","1"
"2022-07","순환기내과","불변(호전안됨)","1"
"2022-08","호흡기내과","호전","26"
"2022-08","정형외과","호전","63"
"2022-08","순환기내과","경쾌","3"
"2022-08","비뇨의학과","진단만실시","16"
"2022-08","소화기내과","48시간 후 사망","2"
"2022-08","혈액종양내과","호전","1"
"2022-08","신경외과","진단만실시","1"
"2022-09","순환기내과","호전","93"
"2022-09","신장내과","호전","3"
"2022-09","호흡기내과","호전","26"
"2022-09","정형외과","불변(호전안됨)","4"
"2022-09","소화기내과","경쾌","8"
"2022-09","호흡기내과","불변(호전안됨)","1"
"2022-10","재활의학과","호전","3"
"2022-10","호흡기내과","불변(호전안됨)","2"
"2022-10","소화기내과","불변(호전안됨)","2"
"2022-10","소화기내과","진단만실시","1"
"2022-11","신경외과","불변(호전안됨)","5"
"2022-11","외과","경쾌","7"
"2022-11","혈액종양내과","48시간 후 사망","1"
"2022-11","신경과","호전","3"
"2022-12","호흡기내과","경쾌","1"
"2022-12","호흡기내과","불변(호전안됨)","1"
