년도,지역,순위,질병코드,상병명,실인원,진료과,코드그룹,국비비율
2019,광주,3,G63,달리 분류된 질환에서의 다발신경병증,3.0,내분비내과,G63,1.0
2019,광주,5,N08,달리 분류된 질환에서의 사구체장애,1.0,내분비내과,N08,1.0
2019,광주,5,E13,기타 명시된 당뇨병,1.0,내분비내과,E13,1.0
2019,광주,5,E87,"수분, 전해질 및 산-염기균형의 기타 장애",0.5517241379310345,내분비내과,E87,0.5517241379310345
2019,광주,5,E23,뇌하수체의 기능저하 및 기타 장애,0.6666666666666666,내분비내과,E23,0.6666666666666666
2019,광주,5,I48,심방세동 및 조동,0.44954128440366975,내분비내과,I48,0.44954128440366975
2019,광주,5,E03,기타 갑상선기능저하증,0.0,내분비내과,E03,0.0
2019,광주,1,N40,전립선증식증,239.0,비뇨의학과,N40,0.5901234567901235
2019,광주,2,C67,방광의 악성 신생물,42.64705882352941,비뇨의학과,C67,0.7352941176470589
2019,광주,3,C61,전립선의 악성 신생물,27.692307692307693,비뇨의학과,C61,0.6923076923076923
2019,광주,4,N20,신장 및 요관의 결석,10.0,비뇨의학과,N20,0.45454545454545453
2019,광주,5,N39,비뇨계통의 기타 장애,2.488888888888889,비뇨의학과,N39,0.17777777777777778
2019,광주,6,N45,고환염 및 부고환염,6.0,비뇨의학과,N45,0.75
2019,광주,7,N41,전립선의 염증성 질환,5.0,비뇨의학과,N41,0.7142857142857143
2019,광주,7,N21,하부요로의 결석,2.0,비뇨의학과,N21,0.2857142857142857
2019,광주,9,N43,음낭수종 및 정액류,1.7142857142857142,비뇨의학과,N43,0.2857142857142857
2019,광주,9,N32,방광의 기타 장애,6.0,비뇨의학과,N32,1.0
2019,광주,9,N10,급성 세뇨관-간질신장염,0.96,비뇨의학과,N10,0.16
2019,광주,12,N31,달리 분류되지 않은 방광의 신경근육기능장애,4.0,비뇨의학과,N31,0.8
2019,광주,13,N30,방광염,2.0,비뇨의학과,N30,0.5
2019,광주,13,C64,신우를 제외한 신장의 악성 신생물,1.1428571428571428,비뇨의학과,C64,0.2857142857142857
2019,광주,15,N13,폐색성 및 역류성 요로병증,0.5,비뇨의학과,N13,0.16666666666666666
2019,광주,15,N28,달리 분류되지 않은 신장 및 요관의 기타 장애,0.5,비뇨의학과,N28,0.16666666666666666
2019,광주,17,N35,요도협착,0.0,비뇨의학과,N35,0.0
2019,광주,17,D09,기타 및 상세불명 부위의 제자리암종,0.0,비뇨의학과,D09,0.0
2019,광주,17,N48,음경의 기타 장애,2.0,비뇨의학과,N48,1.0
2019,광주,17,R31,상세불명의 혈뇨,0.4,비뇨의학과,R31,0.2
2019,광주,1,N71,자궁경부를 제외한 자궁의 염증성 질환,0.0,산부인과,N71,0.0
2019,광주,1,N30,방광염,0.5,산부인과,N30,0.5
2019,광주,1,T81,달리 분류되지 않은 처치의 합병증,0.5,산부인과,T81,0.5
2019,광주,1,J09,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,0.9852941176470588,소아청소년과,J09,0.007352941176470588
2019,광주,2,E30,달리 분류되지 않은 사춘기의 장애,0.0,소아청소년과,E30,0.0
2019,광주,3,J11,바이러스가 확인되지 않은 인플루엔자,1.8688524590163935,소아청소년과,J11,0.01639344262295082
2019,광주,4,J15,달리 분류되지 않은 세균성 폐렴,6.452173913043478,소아청소년과,J15,0.06086956521739131
2019,광주,5,J21,급성 세기관지염,2.855769230769231,소아청소년과,J21,0.028846153846153848
2019,광주,6,B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,0.0,소아청소년과,B08,0.0
2019,광주,7,J03,급성 편도염,0.0,소아청소년과,J03,0.0
2019,광주,8,B34,상세불명 부위의 바이러스감염,0.0,소아청소년과,B34,0.0
2019,광주,9,J18,상세불명 병원체의 폐렴,20.216,소아청소년과,J18,0.3546666666666667
2019,광주,10,J20,급성 기관지염,0.0,소아청소년과,J20,0.0
2019,광주,11,J02,급성 인두염,0.0,소아청소년과,J02,0.0
2019,광주,12,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,9.663865546218487,소아청소년과,A09,0.21008403361344538
2019,광주,13,R50,기타 및 원인미상의 열,2.941176470588235,소아청소년과,R50,0.11764705882352941
2019,광주,14,J12,달리 분류되지 않은 바이러스폐렴,0.0,소아청소년과,J12,0.0
2019,광주,15,A08,바이러스성 및 기타 명시된 장감염,0.0,소아청소년과,A08,0.0
2019,광주,16,K52,기타 비감염성 위장염 및 결장염,1.826086956521739,소아청소년과,K52,0.13043478260869565
2019,광주,16,E34,기타 내분비장애,0.0,소아청소년과,E34,0.0
2019,광주,18,N39,비뇨계통의 기타 장애,2.3111111111111113,소아청소년과,N39,0.17777777777777778
2019,광주,19,J05,급성 폐색성 후두염[크룹] 및 후두개염,0.0,소아청소년과,J05,0.0
2019,광주,20,L50,두드러기,0.0,소아청소년과,L50,0.0
2019,광주,1,K80,담석증,25.854166666666668,소화기내과,K80,0.3541666666666667
2019,광주,2,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,13.655462184873949,소화기내과,A09,0.21008403361344538
2019,광주,3,C22,간 및 간내 담관의 악성 신생물,25.876923076923077,소화기내과,C22,0.4461538461538462
2019,광주,4,D13,기타 및 부위불명의 소화계통의 양성 신생물,22.5,소화기내과,D13,0.5
2019,광주,5,K63,장의 기타 질환,20.8,소화기내과,K63,0.4727272727272727
2019,광주,6,K31,위 및 십이지장의 기타 질환,13.066666666666666,소화기내과,K31,0.4666666666666667
2019,광주,7,K25,위궤양,12.5,소화기내과,K25,0.5
2019,광주,8,K85,급성 췌장염,11.0,소화기내과,K85,0.4583333333333333
2019,광주,8,C16,위의 악성 신생물,16.285714285714285,소화기내과,C16,0.6785714285714286
2019,광주,10,K74,간의 섬유증 및 경변증,9.545454545454545,소화기내과,K74,0.45454545454545453
2019,광주,11,K21,위-식도역류병,8.76923076923077,소화기내과,K21,0.46153846153846156
2019,광주,12,K92,소화계통의 기타 질환,11.05,소화기내과,K92,0.65
2019,광주,13,K75,기타 염증성 간질환,5.894736842105263,소화기내과,K75,0.3684210526315789
2019,광주,13,K83,담도의 기타 질환,7.0,소화기내과,K83,0.4375
2019,광주,15,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",7.333333333333334,소화기내과,D12,0.6111111111111112
2019,광주,16,K81,담낭염,5.3921568627450975,소화기내과,K81,0.49019607843137253
2019,광주,16,K29,위염 및 십이지장염,5.0769230769230775,소화기내과,K29,0.46153846153846156
2019,광주,18,K86,췌장의 기타 질환,6.0,소화기내과,K86,0.6
2019,광주,18,K55,장의 혈관장애,6.666666666666666,소화기내과,K55,0.6666666666666666
2019,광주,20,K26,십이지장궤양,4.0,소화기내과,K26,0.4444444444444444
2019,광주,1,I20,협심증,304.3083900226757,순환기내과,I20,0.691609977324263
2019,광주,2,I48,심방세동 및 조동,48.550458715596335,순환기내과,I48,0.44954128440366975
2019,광주,3,I50,심부전,30.9375,순환기내과,I50,0.4125
2019,광주,4,I21,급성 심근경색증,26.0,순환기내과,I21,0.4126984126984127
2019,광주,5,I10,본태성(원발성) 고혈압,25.26829268292683,순환기내과,I10,0.6829268292682927
2019,광주,6,I70,죽상경화증,24.75,순환기내과,I70,0.75
2019,광주,7,I42,심근병증,12.0,순환기내과,I42,0.375
2019,광주,8,I25,만성 허혈심장병,18.0,순환기내과,I25,0.6
2019,광주,9,E11,2형 당뇨병,18.61271676300578,순환기내과,E11,0.6647398843930635
2019,광주,10,I73,기타 말초혈관질환,8.347826086956522,순환기내과,I73,0.5217391304347826
2019,광주,11,I35,비류마티스성 대동맥판장애,8.0,순환기내과,I35,0.5714285714285714
2019,광주,12,R07,목구멍 및 가슴의 통증,6.285714285714286,순환기내과,R07,0.5714285714285714
2019,광주,13,I49,기타 심장부정맥,5.0,순환기내과,I49,0.5
2019,광주,13,R55,실신 및 허탈,6.470588235294118,순환기내과,R55,0.6470588235294118
2019,광주,15,I80,정맥염 및 혈전정맥염,0.8888888888888888,순환기내과,I80,0.1111111111111111
2019,광주,15,I44,방실차단 및 좌각차단,5.0,순환기내과,I44,0.625
2019,광주,15,I26,폐색전증,2.909090909090909,순환기내과,I26,0.36363636363636365
2019,광주,18,I47,발작성 빈맥,3.0,순환기내과,I47,0.5
2019,광주,18,J69,고체 및 액체에 의한 폐렴,2.87603305785124,순환기내과,J69,0.4793388429752066
2019,광주,20,K21,위-식도역류병,2.307692307692308,순환기내과,K21,0.46153846153846156
2019,광주,20,R00,심장박동의 이상,1.0,순환기내과,R00,0.2
2019,광주,1,I63,뇌경색증,61.992452830188675,신경과,I63,0.5584905660377358
2019,광주,2,G43,편두통,7.0,신경과,G43,0.08045977011494253
2019,광주,3,R51,두통,8.8,신경과,R51,0.13333333333333333
2019,광주,4,R42,어지럼증 및 어지럼,14.745098039215685,신경과,R42,0.3137254901960784
2019,광주,5,I69,뇌혈관질환의 후유증,22.0,신경과,I69,0.6666666666666666
2019,광주,6,G20,파킨슨병,15.789473684210526,신경과,G20,0.631578947368421
2019,광주,7,H81,전정기능의 장애,9.06060606060606,신경과,H81,0.3939393939393939
2019,광주,8,I65,뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,11.333333333333332,신경과,I65,0.6666666666666666
2019,광주,9,F00,알츠하이머병에서의 치매(G30-+),8.0,신경과,F00,0.5
2019,광주,10,G45,일과성 뇌허혈발작 및 관련 증후군,4.615384615384616,신경과,G45,0.38461538461538464
2019,광주,10,I67,기타 뇌혈관질환,6.0,신경과,I67,0.5
2019,광주,10,G44,기타 두통증후군,3.2,신경과,G44,0.26666666666666666
2019,광주,13,G40,뇌전증,2.6999999999999997,신경과,G40,0.3
2019,광주,14,G51,안면신경장애,2.1333333333333333,신경과,G51,0.26666666666666666
2019,광주,15,R55,실신 및 허탈,4.529411764705882,신경과,R55,0.6470588235294118
2019,광주,16,G25,기타 추체외로 및 운동 장애,1.0,신경과,G25,0.2
2019,광주,17,F32,우울에피소드,0.0,신경과,F32,0.0
2019,광주,17,I95,저혈압,2.2222222222222223,신경과,I95,0.5555555555555556
2019,광주,17,S06,두개내손상,1.2537313432835822,신경과,S06,0.31343283582089554
2019,광주,17,R25,이상불수의운동,2.0,신경과,R25,0.5
2019,광주,1,M48,기타 척추병증,159.68842729970328,신경외과,M48,0.6795252225519288
2019,광주,2,S32,요추 및 골반의 골절,23.188235294117646,신경외과,S32,0.3176470588235294
2019,광주,3,M51,기타 추간판장애,47.10576923076923,신경외과,M51,0.6826923076923077
2019,광주,4,S06,두개내손상,16.29850746268657,신경외과,S06,0.31343283582089554
2019,광주,5,M50,경추간판장애,22.323529411764707,신경외과,M50,0.6764705882352942
2019,광주,6,M47,척추증,17.4375,신경외과,M47,0.5625
2019,광주,7,S22,"늑골, 흉골 및 흉추의 골절",10.833333333333334,신경외과,S22,0.3611111111111111
2019,광주,8,M96,달리 분류되지 않은 처치후 근골격장애,12.413793103448276,신경외과,M96,0.6206896551724138
2019,광주,9,M54,등통증,9.827586206896552,신경외과,M54,0.5172413793103449
2019,광주,10,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",2.7368421052631575,신경외과,S33,0.21052631578947367
2019,광주,11,S13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",1.5714285714285714,신경외과,S13,0.14285714285714285
2019,광주,12,M43,기타 변형성 등병증,3.272727272727273,신경외과,M43,0.36363636363636365
2019,광주,13,I61,뇌내출혈,3.5121951219512195,신경외과,I61,0.43902439024390244
2019,광주,14,C79,기타 및 상세불명 부위의 이차성 악성 신생물,1.875,신경외과,C79,0.375
2019,광주,15,G61,염증성 다발신경병증,0.0,신경외과,G61,0.0
2019,광주,16,T08,척추의 상세불명 부위의 골절,1.7999999999999998,신경외과,T08,0.6
2019,광주,16,C71,뇌의 악성 신생물,0.8999999999999999,신경외과,C71,0.3
2019,광주,16,G95,척수의 기타 질환,2.1176470588235294,신경외과,G95,0.7058823529411765
2019,광주,16,M46,기타 염증성 척추병증,1.7142857142857142,신경외과,M46,0.5714285714285714
2019,광주,20,S12,목의 골절,0.0,신경외과,S12,0.0
2019,광주,20,I67,기타 뇌혈관질환,1.0,신경외과,I67,0.5
2019,광주,20,M80,병적 골절을 동반한 골다공증,1.0,신경외과,M80,0.5
2019,광주,20,M81,병적 골절이 없는 골다공증,0.6666666666666666,신경외과,M81,0.3333333333333333
2019,광주,20,I62,기타 비외상성 두개내출혈,1.3846153846153846,신경외과,I62,0.6923076923076923
2019,광주,1,N18,만성 신장병,92.81761006289308,신장내과,N18,0.5911949685534591
2019,광주,2,N17,급성 신부전,12.025,신장내과,N17,0.325
2019,광주,3,N10,급성 세뇨관-간질신장염,3.68,신장내과,N10,0.16
2019,광주,3,E87,"수분, 전해질 및 산-염기균형의 기타 장애",12.689655172413794,신장내과,E87,0.5517241379310345
2019,광주,5,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,10.0,신장내과,Z49,0.625
2019,광주,6,N39,비뇨계통의 기타 장애,2.3111111111111113,신장내과,N39,0.17777777777777778
2019,광주,7,E11,2형 당뇨병,5.982658959537572,신장내과,E11,0.6647398843930635
2019,광주,7,A41,기타 패혈증,2.6666666666666665,신장내과,A41,0.2962962962962963
2019,광주,9,J18,상세불명 병원체의 폐렴,1.4186666666666667,신장내과,J18,0.3546666666666667
2019,광주,9,N05,상세불명의 신염증후군,2.0,신장내과,N05,0.5
2019,광주,11,R60,달리 분류되지 않은 부종,1.5,신장내과,R60,0.5
2019,광주,12,J69,고체 및 액체에 의한 폐렴,0.9586776859504132,신장내과,J69,0.4793388429752066
2019,광주,12,E26,고알도스테론증,2.0,신장내과,E26,1.0
2019,광주,12,K92,소화계통의 기타 질환,1.3,신장내과,K92,0.65
2019,광주,12,N28,달리 분류되지 않은 신장 및 요관의 기타 장애,0.3333333333333333,신장내과,N28,0.16666666666666666
2019,광주,12,I73,기타 말초혈관질환,1.0434782608695652,신장내과,I73,0.5217391304347826
2019,광주,12,K66,복막의 기타 장애,2.0,신장내과,K66,1.0
2019,광주,12,E27,부신의 기타 장애,2.0,신장내과,E27,1.0
2019,광주,12,N30,방광염,1.0,신장내과,N30,0.5
2019,광주,12,N04,신증후군,1.0,신장내과,N04,0.5
2019,광주,1,H25,노년백내장,89.0,안과,H25,0.6592592592592592
2019,광주,2,H26,기타 백내장,1.0,안과,H26,1.0
2019,광주,1,K35,급성 충수염,11.0,외과,K35,0.14473684210526316
2019,광주,2,K40,사타구니탈장,30.0,외과,K40,0.42857142857142855
2019,광주,3,K80,담석증,24.4375,외과,K80,0.3541666666666667
2019,광주,4,K64,치핵 및 항문주위정맥혈전증,31.73076923076923,외과,K64,0.6346153846153846
2019,광주,5,I83,하지의 정맥류,26.0,외과,I83,0.5416666666666666
2019,광주,6,C16,위의 악성 신생물,29.857142857142858,외과,C16,0.6785714285714286
2019,광주,7,K81,담낭염,19.11764705882353,외과,K81,0.49019607843137253
2019,광주,8,S22,"늑골, 흉골 및 흉추의 골절",13.36111111111111,외과,S22,0.3611111111111111
2019,광주,9,C18,결장의 악성 신생물,14.875,외과,C18,0.53125
2019,광주,10,K56,탈장이 없는 마비성 장폐색증 및 장폐색,13.621621621621621,외과,K56,0.5675675675675675
2019,광주,11,C20,직장의 악성 신생물,17.563636363636363,외과,C20,0.7636363636363637
2019,광주,12,K60,항문 및 직장부의 열창 및 누공,9.0,외과,K60,0.6
2019,광주,13,L89,욕창궤양 및 압박부위,6.5,외과,L89,0.5
2019,광주,14,L03,연조직염,7.565217391304348,외과,L03,0.6304347826086957
2019,광주,15,K62,항문 및 직장의 기타 질환,7.615384615384615,외과,K62,0.6923076923076923
2019,광주,15,C73,갑상선의 악성 신생물,4.230769230769231,외과,C73,0.38461538461538464
2019,광주,17,D17,양성 지방종성 신생물,4.090909090909091,외과,D17,0.45454545454545453
2019,광주,17,R10,복부 및 골반 통증,6.230769230769231,외과,R10,0.6923076923076923
2019,광주,19,C25,췌장의 악성 신생물,4.16,외과,C25,0.52
2019,광주,19,K57,장의 게실병,3.2,외과,K57,0.4
2019,광주,1,J34,코 및 비동의 기타 장애,10.0,이비인후과,J34,1.0
2019,광주,2,H91,기타 청력소실,5.0,이비인후과,H91,0.625
2019,광주,3,H81,전정기능의 장애,2.7575757575757573,이비인후과,H81,0.3939393939393939
2019,광주,4,J30,혈관운동성 및 앨러지성 비염,1.0,이비인후과,J30,0.5
2019,광주,5,K11,침샘의 질환,0.3333333333333333,이비인후과,K11,0.3333333333333333
2019,광주,5,J09,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,0.007352941176470588,이비인후과,J09,0.007352941176470588
2019,광주,5,J38,달리 분류되지 않은 성대 및 후두의 질환,1.0,이비인후과,J38,1.0
2019,광주,5,D11,주침샘의 양성 신생물,0.0,이비인후과,D11,0.0
2019,광주,5,J36,편도주위농양,1.0,이비인후과,J36,1.0
2019,광주,5,H66,화농성 및 상세불명의 중이염,1.0,이비인후과,H66,1.0
2019,광주,1,I63,뇌경색증,84.89056603773585,재활의학과,I63,0.5584905660377358
2019,광주,2,M48,기타 척추병증,48.246290801186944,재활의학과,M48,0.6795252225519288
2019,광주,3,I69,뇌혈관질환의 후유증,31.333333333333332,재활의학과,I69,0.6666666666666666
2019,광주,4,I61,뇌내출혈,13.170731707317072,재활의학과,I61,0.43902439024390244
2019,광주,5,M17,무릎관절증,13.809523809523808,재활의학과,M17,0.47619047619047616
2019,광주,6,M51,기타 추간판장애,19.115384615384617,재활의학과,M51,0.6826923076923077
2019,광주,7,M75,어깨병변,12.867924528301886,재활의학과,M75,0.5849056603773585
2019,광주,8,G95,척수의 기타 질환,9.882352941176471,재활의학과,G95,0.7058823529411765
2019,광주,9,G20,파킨슨병,8.210526315789473,재활의학과,G20,0.631578947368421
2019,광주,10,M19,기타 관절증,6.857142857142857,재활의학과,M19,0.5714285714285714
2019,광주,11,S06,두개내손상,3.4477611940298507,재활의학과,S06,0.31343283582089554
2019,광주,12,S72,대퇴골의 골절,2.7522935779816518,재활의학과,S72,0.27522935779816515
2019,광주,13,I62,기타 비외상성 두개내출혈,6.230769230769231,재활의학과,I62,0.6923076923076923
2019,광주,14,S14,목부위의 신경 및 척수의 손상,5.333333333333333,재활의학과,S14,0.6666666666666666
2019,광주,14,G82,하반신마비 및 사지마비,5.333333333333333,재활의학과,G82,0.6666666666666666
2019,광주,16,G51,안면신경장애,1.6,재활의학과,G51,0.26666666666666666
2019,광주,16,I60,지주막하출혈,1.7142857142857142,재활의학과,I60,0.2857142857142857
2019,광주,18,M96,달리 분류되지 않은 처치후 근골격장애,3.103448275862069,재활의학과,M96,0.6206896551724138
2019,광주,18,G21,이차성 파킨슨증,5.0,재활의학과,G21,1.0
2019,광주,20,G54,신경근 및 신경총 장애,3.0,재활의학과,G54,0.75
2019,광주,1,M17,무릎관절증,76.19047619047619,정형외과,M17,0.47619047619047616
2019,광주,2,S72,대퇴골의 골절,26.972477064220186,정형외과,S72,0.27522935779816515
2019,광주,3,M75,어깨병변,49.13207547169811,정형외과,M75,0.5849056603773585
2019,광주,4,S82,발목을 포함한 아래다리의 골절,19.692307692307693,정형외과,S82,0.3076923076923077
2019,광주,5,S52,아래팔의 골절,11.0,정형외과,S52,0.1896551724137931
2019,광주,6,S42,어깨 및 위팔의 골절,10.0,정형외과,S42,0.3448275862068966
2019,광주,7,L03,연조직염,17.021739130434785,정형외과,L03,0.6304347826086957
2019,광주,8,S92,발목을 제외한 발의 골절,17.0,정형외과,S92,0.7391304347826086
2019,광주,9,S46,어깨 및 위팔 부위의 근육 및 힘줄의 손상,12.6,정형외과,S46,0.7
2019,광주,9,M20,손가락 및 발가락의 후천변형,8.526315789473683,정형외과,M20,0.47368421052631576
2019,광주,9,M48,기타 척추병증,12.231454005934719,정형외과,M48,0.6795252225519288
2019,광주,12,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",5.894736842105263,정형외과,S83,0.3684210526315789
2019,광주,13,M23,무릎의 내부장애,7.0,정형외과,M23,0.4666666666666667
2019,광주,13,M13,기타 관절염,11.470588235294116,정형외과,M13,0.7647058823529411
2019,광주,15,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",3.0,정형외과,S93,0.21428571428571427
2019,광주,16,I70,죽상경화증,9.75,정형외과,I70,0.75
2019,광주,16,M00,화농성 관절염,5.0,정형외과,M00,0.38461538461538464
2019,광주,18,G56,팔의 단일신경병증,6.461538461538462,정형외과,G56,0.5384615384615384
2019,광주,18,S32,요추 및 골반의 골절,3.8117647058823527,정형외과,S32,0.3176470588235294
2019,광주,20,T84,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증",7.0,정형외과,T84,0.6363636363636364
2019,광주,20,M67,윤활막 및 힘줄의 기타 장애,2.0,정형외과,M67,0.18181818181818182
2019,광주,20,S62,손목 및 손부위의 골절,6.416666666666667,정형외과,S62,0.5833333333333334
2019,광주,1,C16,위의 악성 신생물,33.25,혈액종양내과,C16,0.6785714285714286
2019,광주,2,D46,골수형성이상증후군,28.0,혈액종양내과,D46,0.5957446808510638
2019,광주,3,C18,결장의 악성 신생물,21.25,혈액종양내과,C18,0.53125
2019,광주,4,C22,간 및 간내 담관의 악성 신생물,13.384615384615385,혈액종양내과,C22,0.4461538461538462
2019,광주,5,C20,직장의 악성 신생물,18.327272727272728,혈액종양내과,C20,0.7636363636363637
2019,광주,6,D47,"림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물",14.0,혈액종양내과,D47,0.7368421052631579
2019,광주,7,C34,기관지 및 폐의 악성 신생물,9.423529411764706,혈액종양내과,C34,0.5235294117647059
2019,광주,8,C25,췌장의 악성 신생물,8.32,혈액종양내과,C25,0.52
2019,광주,9,C90,다발골수종 및 악성 형질세포신생물,9.058823529411764,혈액종양내과,C90,0.6470588235294118
2019,광주,10,D72,백혈구의 기타 장애,7.0,혈액종양내과,D72,0.5384615384615384
