"진료과","순위","질병코드","상병명","실인원"
"소화기내과","20","K31","위 및 십이지장의 기타 질환","7"
"심장내과","1","I20","협심증","180"
"심장내과","2","R07","목구멍 및 가슴의 통증","43"
"심장내과","3","I50","심부전","23"
"심장내과","4","R06","호흡의 이상","21"
"심장내과","5","I25","만성 허혈심장병","18"
"심장내과","6","I48","심방세동 및 조동","10"
"심장내과","7","I35","비류마티스성 대동맥판장애","5"
"심장내과","8","I42","심근병증","3"
"심장내과","9","I47","발작성 빈맥","3"
"심장내과","10","J18","상세불명 병원체의 폐렴","3"
"심장내과","11","E11","2형 당뇨병","2"
"심장내과","12","I21","급성 심근경색증","2"
"심장내과","13","I26","폐색전증","2"
"심장내과","14","R57","달리 분류되지 않은 쇼크","2"
"심장내과","15","Z95","심장 및 혈관 삽입물 및 이식편의 존재","2"
"심장내과","16","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"심장내과","17","I07","류마티스성 삼첨판질환","1"
"심장내과","18","I10","본태성(원발성) 고혈압","1"
"심장내과","19","I31","심장막의 기타 질환","1"
"심장내과","20","I97","달리 분류되지 않은 순환계통의 처치후 장애","1"
"호흡기내과","1","U07","U07의 응급사용","377"
"호흡기내과","2","J18","상세불명 병원체의 폐렴","31"
"호흡기내과","3","J44","기타 만성 폐쇄성 폐질환","13"
"호흡기내과","4","J84","기타 간질성 폐질환","5"
"호흡기내과","5","C34","기관지 및 폐의 악성 신생물","3"
"호흡기내과","6","J98","기타 호흡장애","3"
"호흡기내과","7","J20","급성 기관지염","2"
"호흡기내과","8","J45","천식","2"
"호흡기내과","9","J90","달리 분류되지 않은 흉막삼출액","2"
"호흡기내과","10","K80","담석증","2"
"호흡기내과","11","N18","만성 신장병","2"
"호흡기내과","12","A08","바이러스성 및 기타 명시된 장감염","1"
"호흡기내과","13","A15","세균학적 및 조직학적으로 확인된 호흡기결핵","1"
"호흡기내과","14","E11","2형 당뇨병","1"
"호흡기내과","15","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"호흡기내과","16","G12","척수성 근위축 및 관련 증후군","1"
"호흡기내과","17","G20","파킨슨병","1"
"호흡기내과","18","I50","심부전","1"
"호흡기내과","19","J40","급성인지 만성인지 명시되지 않은 기관지염","1"
"호흡기내과","20","J69","고체 및 액체에 의한 폐렴","1"
"내분비내과","1","E11","2형 당뇨병","47"
"내분비내과","2","C23","담낭의 악성 신생물","1"
"내분비내과","3","J15","달리 분류되지 않은 세균성 폐렴","1"
"내분비내과","4","K80","담석증","1"
"내분비내과","5","K85","급성 췌장염","1"
"내분비내과","6","M48","기타 척추병증","1"
"내분비내과","7","R60","달리 분류되지 않은 부종","1"
"류마티스내과","1","U07","U07의 응급사용","59"
"류마티스내과","2","E14","상세불명의 당뇨병","6"
"류마티스내과","3","M05","혈청검사양성 류마티스관절염","5"
"류마티스내과","4","E11","2형 당뇨병","4"
"류마티스내과","5","J18","상세불명 병원체의 폐렴","4"
"류마티스내과","6","D64","기타 빈혈","1"
"류마티스내과","7","E10","1형 당뇨병","1"
"류마티스내과","8","E16","췌장내분비의 기타 장애","1"
"류마티스내과","9","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"류마티스내과","10","F13","진정제 또는 수면제 사용에 의한 정신 및 행동 장애","1"
"류마티스내과","11","K70","알코올성 간질환","1"
"류마티스내과","12","M10","통풍","1"
"류마티스내과","13","M45","강직척추염","1"
"류마티스내과","14","R18","복수","1"
"류마티스내과","15","R50","기타 및 원인미상의 열","1"
"류마티스내과","16","R52","달리 분류되지 않은 통증","1"
"류마티스내과","17","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","1"
"신장내과","1","N18","만성 신장병","29"
"신장내과","2","N17","급성 신부전","10"
"신장내과","3","E11","2형 당뇨병","9"
"신장내과","4","J18","상세불명 병원체의 폐렴","7"
"신장내과","5","E87","수분, 전해질 및 산-염기균형의 기타 장애","4"
"신장내과","6","N39","비뇨계통의 기타 장애","4"
"신장내과","7","N10","급성 세뇨관-간질신장염","3"
"신장내과","8","C22","간 및 간내 담관의 악성 신생물","2"
"신장내과","9","J69","고체 및 액체에 의한 폐렴","2"
"신장내과","10","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"신장내과","11","A41","기타 패혈증","1"
"신장내과","12","A75","발진티푸스","1"
"신장내과","13","C34","기관지 및 폐의 악성 신생물","1"
"신장내과","14","E10","1형 당뇨병","1"
"신장내과","15","E12","영양실조-관련 당뇨병","1"
"신장내과","16","I10","본태성(원발성) 고혈압","1"
"신장내과","17","I12","고혈압성 신장병","1"
"신장내과","18","I63","뇌경색증","1"
"신장내과","19","J15","달리 분류되지 않은 세균성 폐렴","1"
"신장내과","20","K30","기능성 소화불량","1"
"혈액종양내과","1","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","167"
"혈액종양내과","2","E11","2형 당뇨병","42"
"혈액종양내과","3","C25","췌장의 악성 신생물","11"
"혈액종양내과","4","C16","위의 악성 신생물","7"
"혈액종양내과","5","C34","기관지 및 폐의 악성 신생물","7"
"혈액종양내과","6","C22","간 및 간내 담관의 악성 신생물","6"
"혈액종양내과","7","C67","방광의 악성 신생물","4"
"혈액종양내과","8","D50","철결핍빈혈","4"
"혈액종양내과","9","G62","기타 다발신경병증","4"
"혈액종양내과","10","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","3"
"혈액종양내과","11","C15","식도의 악성 신생물","3"
"혈액종양내과","12","C24","담도의 기타 및 상세불명 부분의 악성 신생물","3"
"혈액종양내과","13","I50","심부전","3"
"혈액종양내과","14","J18","상세불명 병원체의 폐렴","3"
"혈액종양내과","15","C19","직장구불결장접합부의 악성 신생물","2"
"혈액종양내과","16","D64","기타 빈혈","2"
"혈액종양내과","17","E27","부신의 기타 장애","2"
"혈액종양내과","18","J69","고체 및 액체에 의한 폐렴","2"
"혈액종양내과","19","K80","담석증","2"
"혈액종양내과","20","N10","급성 세뇨관-간질신장염","2"
"소아청소년과","1","U07","U07의 응급사용","54"
"신경과","1","I63","뇌경색증","81"
"신경과","2","R42","어지럼증 및 어지럼","20"
"신경과","3","I69","뇌혈관질환의 후유증","16"
"신경과","4","G20","파킨슨병","4"
"신경과","5","G45","일과성 뇌허혈발작 및 관련 증후군","3"
"신경과","6","R51","두통","3"
"신경과","7","U07","U07의 응급사용","2"
"신경과","8","F03","상세불명의 치매","1"
"신경과","9","G30","알츠하이머병","1"
"신경과","10","G40","뇌전증","1"
"신경과","11","G43","편두통","1"
"신경과","12","G51","안면신경장애","1"
"신경과","13","H81","전정기능의 장애","1"
"신경과","14","R26","보행과 이동의 이상","1"
"신경과","15","R56","달리 분류되지 않은 경련","1"
"재활의학과","1","M54","등통증","17"
"재활의학과","2","G81","편마비","9"
"재활의학과","3","G82","하반신마비 및 사지마비","7"
"재활의학과","4","M51","기타 추간판장애","7"
"재활의학과","5","G63","달리 분류된 질환에서의 다발신경병증","3"
"재활의학과","6","M50","경추간판장애","3"
"재활의학과","7","G54","신경근 및 신경총 장애","2"
"재활의학과","8","G62","기타 다발신경병증","2"
"재활의학과","9","M75","어깨병변","2"
"재활의학과","10","M96","달리 분류되지 않은 처치후 근골격장애","2"
"재활의학과","11","G20","파킨슨병","1"
"재활의학과","12","G83","기타 마비증후군","1"
"재활의학과","13","I69","뇌혈관질환의 후유증","1"
"재활의학과","14","M17","무릎관절증","1"
"재활의학과","15","M48","기타 척추병증","1"
"재활의학과","16","S78","엉덩이 및 대퇴의 외상성 절단","1"
"재활의학과","17","S82","발목을 포함한 아래다리의 골절","1"
"재활의학과","18","S83","무릎의 관절 및 인대의 탈구, 염좌 및 긴장","1"
"재활의학과","19","Z50","재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1"
"가정의학과","1","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","18"
"가정의학과","2","Z71","달리 분류되지 않은 기타 상담 및 의학적 권고를 위해 보건서비스와 접하고 있는 사람","10"
"가정의학과","3","I69","뇌혈관질환의 후유증","4"
"가정의학과","4","C25","췌장의 악성 신생물","3"
"가정의학과","5","G81","편마비","3"
"가정의학과","6","C18","결장의 악성 신생물","2"
"가정의학과","7","C24","담도의 기타 및 상세불명 부분의 악성 신생물","2"
"가정의학과","8","C61","전립선의 악성 신생물","2"
"가정의학과","9","C34","기관지 및 폐의 악성 신생물","1"
"가정의학과","10","C64","신우를 제외한 신장의 악성 신생물","1"
"가정의학과","11","F33","재발성 우울장애","1"
"가정의학과","12","G82","하반신마비 및 사지마비","1"
"가정의학과","13","J18","상세불명 병원체의 폐렴","1"
"가정의학과","14","K05","치은염 및 치주질환","1"
"가정의학과","15","M15","다발관절증","1"
"가정의학과","16","M48","기타 척추병증","1"
"가정의학과","17","M85","골밀도 및 구조의 기타 장애","1"
"가정의학과","18","R47","달리 분류되지 않은 언어장애","1"
"가정의학과","19","R53","병감 및 피로","1"
"가정의학과","20","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1"
"외과","1","N18","만성 신장병","63"
"외과","2","I83","하지의 정맥류","54"
"외과","3","K40","사타구니탈장","47"
"외과","4","K80","담석증","45"
"외과","5","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","37"
"외과","6","K64","치핵 및 항문주위정맥혈전증","26"
"외과","7","K81","담낭염","23"
"외과","8","K35","급성 충수염","22"
"외과","9","S22","늑골, 흉골 및 흉추의 골절","16"
"외과","10","K62","항문 및 직장의 기타 질환","13"
"외과","11","C18","결장의 악성 신생물","12"
"외과","12","K56","탈장이 없는 마비성 장폐색증 및 장폐색","10"
"외과","13","I70","죽상경화증","9"
"외과","14","K57","장의 게실병","9"
"외과","15","K65","복막염","9"
"외과","16","C16","위의 악성 신생물","7"
"외과","17","I86","기타 부위의 정맥류","7"
"외과","18","K60","항문 및 직장부의 열창 및 누공","6"
"외과","19","L03","연조직염","5"
"외과","20","K61","항문 및 직장부의 농양","4"
"정형외과","1","M48","기타 척추병증","634"
"정형외과","2","M51","기타 추간판장애","139"
"정형외과","3","M17","무릎관절증","137"
"정형외과","4","M75","어깨병변","120"
"정형외과","5","M96","달리 분류되지 않은 처치후 근골격장애","120"
"정형외과","6","M43","기타 변형성 등병증","97"
"정형외과","7","S32","요추 및 골반의 골절","77"
"정형외과","8","S72","대퇴골의 골절","59"
"정형외과","9","S22","늑골, 흉골 및 흉추의 골절","36"
"정형외과","10","S52","아래팔의 골절","36"
"정형외과","11","E11","2형 당뇨병","33"
"정형외과","12","Z47","기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","25"
"정형외과","13","S82","발목을 포함한 아래다리의 골절","21"
"정형외과","14","L03","연조직염","18"
"정형외과","15","S92","발목을 제외한 발의 골절","15"
"정형외과","16","M23","무릎의 내부장애","14"
"정형외과","17","M87","골괴사","14"
"정형외과","18","S46","어깨 및 위팔 부위의 근육 및 힘줄의 손상","12"
"정형외과","19","M54","등통증","11"
"정형외과","20","S42","어깨 및 위팔의 골절","11"
"신경외과","1","S06","두개내손상","33"
"신경외과","2","I61","뇌내출혈","8"
"신경외과","3","M48","기타 척추병증","4"
"신경외과","4","I67","기타 뇌혈관질환","3"
"신경외과","5","L98","달리 분류되지 않은 피부 및 피하조직의 기타 장애","3"
"신경외과","6","S32","요추 및 골반의 골절","3"
"신경외과","7","T90","머리손상의 후유증","3"
"신경외과","8","I62","기타 비외상성 두개내출혈","2"
"신경외과","9","M51","기타 추간판장애","2"
"신경외과","10","S00","머리의 표재성 손상","2"
"신경외과","11","G20","파킨슨병","1"
"신경외과","12","G95","척수의 기타 질환","1"
"신경외과","13","H81","전정기능의 장애","1"
"신경외과","14","I69","뇌혈관질환의 후유증","1"
"신경외과","15","K75","기타 염증성 간질환","1"
"신경외과","16","L72","피부 및 피하조직의 모낭낭","1"
"신경외과","17","M16","고관절증","1"
"신경외과","18","M50","경추간판장애","1"
"신경외과","19","M54","등통증","1"
"신경외과","20","M96","달리 분류되지 않은 처치후 근골격장애","1"
"안과","1","H25","노년백내장","255"
"이비인후과","1","J32","만성 부비동염","8"
"이비인후과","2","J34","코 및 비동의 기타 장애","5"
"이비인후과","3","D10","입 및 인두의 양성 신생물","3"
"이비인후과","4","J35","편도 및 아데노이드의 만성 질환","2"
"이비인후과","5","J38","달리 분류되지 않은 성대 및 후두의 질환","2"
"이비인후과","6","D14","중이 및 호흡계통의 양성 신생물","1"
"이비인후과","7","H90","전음성 및 감각신경성 청력소실","1"
"이비인후과","8","J03","급성 편도염","1"
"이비인후과","9","J05","급성 폐색성 후두염[크룹] 및 후두개염","1"
"이비인후과","10","J36","편도주위농양","1"
"이비인후과","11","L03","연조직염","1"
"이비인후과","12","R04","기도출혈","1"
"비뇨의학과","1","C61","전립선의 악성 신생물","35"
"비뇨의학과","2","N40","전립선증식증","35"
"비뇨의학과","3","C67","방광의 악성 신생물","3"
"비뇨의학과","4","D09","기타 및 상세불명 부위의 제자리암종","2"
"비뇨의학과","5","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","1"
"비뇨의학과","6","N41","전립선의 염증성 질환","1"
"비뇨의학과","7","N43","음낭수종 및 정액류","1"
