"수가코드","수가명","표준코드"
"LD1840","총단백정량[화학반응-장비측정]","D1840002"
"LD1850","ALT (SGPT) [화학반응-장비측정]","D1850002"
"LD1860","AST (SGOT) [화학반응-장비측정]","D1860002"
"LD1870","알칼리포스파타제[화학반응-장비측정]","D1870002"
"LD1880","알부민[화학반응-장비측정]","D1880002"
"LD1890","γ-GTP [화학반응-장비측정]","D1890002"
"LD1920","암모니아[화학반응-장비측정]","D1920002"
"LD1930","유로빌리노겐[화학반응-육안검사](정성)","D1930002"
"LD1961006","인도싸이아닌그린[화학반응-장비측정]-ICG15분정체율검사","D196100B"
"LD2201010","요침사검사-[관찰판정-육안·장비측정]_유세포분석법","D2201012"
"LD7018","정밀면역검사-B형간염표면항체","D7018002"
"LD7020010","정밀면역검사-B형간염핵심항체_IgG","D7020012"
"LD7020020","정밀면역검사-B형간염핵심항체_IgM","D7020022"
"LD7022","정밀면역검사-B형간염e항원","D7022002"
"LD7024","정밀면역검사-B형간염e항체","D7024002"
"LD7026","정밀면역검사-C형간염항체","D7026002"
"LD7043016","핵산증폭-정성그룹3_C형간염바이러스[역전사중합효소연쇄반응교잡반응법]","D704301B"
"LD7044046","핵산증폭-정량그룹1_B형간염바이러스[중합효소연쇄반응교잡반응법]","D704404B"
"LD7045026","핵산증폭-정량그룹2_C형간염바이러스[실시간역전사중합효소연쇄반응법]","D704502B"
"LD7046016","B형간염바이러스 약제내성 돌연변이(라미부딘)[중합효소연쇄반응-제한효소절편길이다형법]/핵산증폭-약제내성그룹1","D7046010"
"LD7047016","C형간염바이러스[역전사중합효소연쇄반응교잡반응법]/핵산증폭-유전자형그룹2","D704701B"
"LD7211","정밀면역검사-HIV 항체","D7211002"
"LD7410010","면역글로불린(정량)_IgA","D7410010"
"LD7410040","면역글로불린(정량)_IgG","D7410040"
"LD7410050","면역글로불린(정량)_IgM","D7410050"
"LD7430","총면역글로불린E[정밀면역검사](정량)","D7430002"
"LD7460006","MAST법에의한면역글로불린E[정밀면역검사]","D746000B"
"LD7471010","보체정량 [정밀면역검사]-일반_C3","D7471012"
"LD7471020","보체정량 [정밀면역검사]-일반_C4","D7471022"
"LD7800006","LE 세포검사","D780000B"
"LD7813","RA factor-[정밀면역검사]-(정량)","D7813002"
"LD7831","한냉글로불린검사-[일반면역검사](정성)","D7831002"
"LWCY281006","CATECHOLAMINE QUANTITATIONEpinephrine","D351408C"
"LWD6582066","핵산증폭-정성그룹2_거대세포바이러스(Cytomegalovirus CMV) [실시간중합효소연쇄반응법]","D658206C"
"LWD6586076","핵산증폭/유전자형그룹1/인유두종바이러스 유전자형[중합효소연쇄반응-제한효소절편질량다형법]","D658607C"
"LWD6592016","핵산교잡/유전자형그룹1/인유두종바이러스 유전자형검사 [DNA Microarray법]","D659201C"
"LWD6802016","핵산증폭-다종그룹2_하부요로생식기 및 성매개감염원인균[다중 실시간중합효소연쇄반응법]","D680201C"
"LWD6911","비트레포네마검사-매독반응검사[일반면역검사](정성)(VDRLRPRART)","D6911003"
"LWD6912","비트레포네마검사-매독반응검사[일반면역검사](역가)","D6912003"
"LWD6924006","트레포네마검사-형광트레포네마항체흡수검사[면역형광법](정성)","D692400C"
"LWD7011010","정밀면역검사-A형간염항체_IgG","D7011013"
"LWD7020020","정밀면역검사-B형간염핵심항체_IgM","D7020023"
"LWD7030010","정밀면역검사-E형간염항체_IgG","D7030013"
"LWD7030020","정밀면역검사-E형간염항체_IgM","D7030023"
"LWD7045016","핵산증폭-정량그룹2_C형간염바이러스[bDNA유전자신호증폭법]","D704501C"
"LWD7045026","핵산증폭-정량그룹2_C형간염바이러스[실시간역전사중합효소연쇄반응법]","D704502C"
"LWD7047016","핵산증폭-유전자형그룹2_C형간염바이러스[역전사중합효소연쇄반응교잡반응법]","D704701C"
"M2LIDO5","휴온스리도카인염산염수화물주사_(0.10665g/5mL)(휴온스)","670607491"
"MDULA15","트루리시티 일회용 펜_(1.5mg/0.5mL)(릴리)","670801051"
"MDULA7","트루리시티 일회용 펜_(0.75mg/0.5mL)(릴리)","670801031"
"MFLU05-F","(self)코박스플루PF주(65세이상노인인플루 3가백신)((프리필드시린지)(인플루엔자분할백신)(한국백신)","647400270"
"MTRIOSYS","겜브로솔트리오주(1백)((주)프레제니우스메디칼)","664300540"
"PWC5500","병리조직검사[1장기당]-악성종양수술의경우(림프절청소를포함하지않는경우-파라핀블록:15개이하) (수탁)","C5500008"
"SC8041","흉막천자(응급환자에실시)","C8041"
"SE6530","72시간 배뇨양상기능검사","E6530"
"SE761103","상부소화관+결장경동시/수면내시경/세척료포함","E7611E7660"
"SE761104","상부소화관+S상결장경동시/수면내시경/세척료포함","E7611E7680"
"SE761105","상부소화관+직장경동시/수면내시경/세척료포함","E7611E7670"
"SE767002","직장경(상부소화관동시검사용)/수면내시경(50%)/세척료포함","E7670"
"SE768003","S상결장경(상부소화관동시검사용)/수면내시경(50%)/세척료포함","E7680"
"SEA001","진정내시경 환자관리료Ⅰ","EA001"
"SEA003","진정내시경 환자관리료Ⅲ","EA003"
"SEA004","진정내시경 환자관리료Ⅳ","EA004"
"SEX961","고실내시경검사","EX961"
