"진료과","순위","상병코드","상병명","건수"
"감염내과","12","J11","바이러스가 확인되지 않은 인플루엔자","38"
"감염내과","13","T14","상세불명의 신체부위의 손상","34"
"감염내과","14","J02","급성 인두염","33"
"감염내과","15","J20","급성 기관지염","31"
"감염내과","16","R69","미상 및 상세불명의 병인","26"
"감염내과","17","K63","창자의 기타 질환","25"
"감염내과","18","A52","만기매독","25"
"감염내과","19","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","24"
"감염내과","20","A18","기타 장기의 결핵","21"
"내과","1","K30","소화불량","2"
"내분비내과","1","E11","인슐린-비의존 당뇨병","44750"
"내분비내과","2","E03","기타 갑상선기능저하증","3015"
"내분비내과","3","E04","기타 비중독성 갑상선종","1818"
"내분비내과","4","E07","갑상선의 기타 장애","1355"
"내분비내과","5","C73","갑상선의 악성 신생물","1156"
"내분비내과","6","E78","지질단백질대사장애 및 기타 지질증","1153"
"내분비내과","7","M81","병적골절이 없는 골다공증","715"
"내분비내과","8","E05","갑상선독증[갑상선기능항진증]","591"
"내분비내과","9","D35","기타 및 상세불명의 내분비선의 양성 신생물","390"
"내분비내과","10","I10","본태성(원발성) 고혈압","289"
"내분비내과","11","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","165"
"내분비내과","12","E27","부신의 기타 장애","158"
"내분비내과","13","E10","인슐린-의존 당뇨병","114"
"내분비내과","14","E23","뇌하수체의 기능저하증 및 기타 장애","90"
"내분비내과","15","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","89"
"내분비내과","16","E89","달리 분류되지 않은 처치후의 내분비및 대사장애","75"
"내분비내과","17","E14","상세불명의 당뇨병","57"
"내분비내과","18","R73","혈당치상승","38"
"내분비내과","19","E22","뇌하수체의 기능항진증","33"
"내분비내과","20","E16","췌장성 내분비의 기타 장애","29"
"류마티스내과","1","M10","활막 및 건 장애","4103"
"류마티스내과","2","M13","추 락","3266"
"류마티스내과","3","M05","흑색종 및 피부의 기타 악성 신생물","2094"
"류마티스내과","4","M06","피부 및 피하조직의 방사선 관련성 장애","466"
"류마티스내과","5","M25","달리 분류되지 않은 기타 관절장애","421"
"류마티스내과","6","M45","강직척추염","376"
"류마티스내과","7","M19","연기, 불 및 화염에 노출","355"
"류마티스내과","8","M79","달리 분류되지 않은 기타 연조직장애","324"
"류마티스내과","9","M35","달리 분류된 질환 및 사망원인과 관련된 보조 요인","275"
"류마티스내과","10","K12","입안염 및 관련 병터","129"
"류마티스내과","11","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","127"
"류마티스내과","12","M12","체간, 사지 또는 신체부위의 상세불명 부분의 손상","97"
"류마티스내과","13","R68","기타 전신 증상 및 징후","88"
"류마티스내과","14","I73","기타 말초혈관질환","87"
"류마티스내과","15","D89","달리 분류되지 않은 면역메커니즘을 침범한 기타 장애","80"
"류마티스내과","16","E79","퓨린 및 피리미딘의 대사장애","78"
"류마티스내과","17","M31","외관적 및 내과적 치료중 환자의 재난","55"
"류마티스내과","18","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","52"
"류마티스내과","19","M32","진단 및 치료에 이용되는 의료장치에 의한 부작용","35"
"류마티스내과","20","M81","병적골절이 없는 골다공증","30"
"방사선종양학과","1","C61","전립선의 악성 신생물","4662"
"방사선종양학과","2","C34","기관지 및 폐의 악성 신생물","1137"
"방사선종양학과","3","C22","간 및 간내담관의 악성 신생물","484"
"방사선종양학과","4","C50","유방의 악성 신생물","395"
"방사선종양학과","5","C20","직장의 악성 신생물","276"
"방사선종양학과","6","C32","후두의 악성 신생물","276"
"방사선종양학과","7","C67","방광의 악성 신생물","222"
"방사선종양학과","8","C15","식도의 악성신생물","202"
"방사선종양학과","9","C79","기타 부위의 속발성 악성 신생물","122"
"방사선종양학과","10","C44","피부의 기타 악성 신생물","120"
"방사선종양학과","11","C25","췌장의 악성신생물","119"
"방사선종양학과","12","C78","호흡기 및 소화기관의 속발성 악성 신생물","113"
"방사선종양학과","13","C49","기타 결합조직 및 연조직의 악성 신생물","99"
"방사선종양학과","14","C09","편도의 악성 신생물","85"
"방사선종양학과","15","C24","담도의 기타 및 상세불명 부분의 악성 신생물","81"
"방사선종양학과","16","C13","하인두의 악성 신생물","80"
"방사선종양학과","17","D32","수막의 양성 신생물","74"
"방사선종양학과","18","C37","흉선의 악성 신생물","64"
"방사선종양학과","19","C84","성숙T/NK-세포림프종","62"
"방사선종양학과","20","C71","뇌의 악성 신생물","52"
"비뇨의학과","1","N40","전립선증식증","63090"
"비뇨의학과","2","C61","전립선의 악성 신생물","11057"
"비뇨의학과","3","N31","달리 분류되지 않은 방광의 신경근육기능장애","4655"
"비뇨의학과","4","C67","방광의 악성 신생물","2586"
"비뇨의학과","5","N20","콩팥(신장)및 요관의 결석","1333"
"비뇨의학과","6","N41","전립선의 염증성 질환","1116"
"비뇨의학과","7","N39","비뇨기계통의 기타 장애","1037"
"비뇨의학과","8","N48","음경의 기타 장애","755"
"비뇨의학과","9","R31","상세불명의 혈뇨","584"
"비뇨의학과","10","C64","콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물","569"
"비뇨의학과","11","N30","방광염","477"
"비뇨의학과","12","N35","요도협착","463"
"비뇨의학과","13","N28","달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애","353"
"비뇨의학과","14","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","327"
"비뇨의학과","15","N21","하부요로의 결석","304"
"비뇨의학과","16","E29","고환의 기능이상","221"
"비뇨의학과","17","N13","폐쇄성 및 역류성 요로병증","146"
"비뇨의학과","18","D44","내분비선의 행동양식 불명 또는 미상의 신생물","140"
"비뇨의학과","19","K29","위염 및 십이지장염","138"
"비뇨의학과","20","C66","요관의 악성 신생물","125"
"산부인과","1","N95","폐경기 및 기타 폐경기전후 장애","4365"
"산부인과","2","M81","병적골절이 없는 골다공증","3993"
"산부인과","3","N39","비뇨기계통의 기타 장애","1343"
"산부인과","4","Z01","호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사","913"
"산부인과","5","N60","양성 유방형성이상","844"
"산부인과","6","D25","자궁의 평활근종","773"
"산부인과","7","N85","자궁경부를 제외한 자궁의 기타 비염증성 장애","658"
"산부인과","8","N31","달리 분류되지 않은 방광의 신경근육기능장애","514"
"산부인과","9","N84","여성생식관의 폴립","472"
"산부인과","10","N81","여성생식기탈출","455"
"산부인과","11","N76","질 및 외음부의 기타 염증","285"
"산부인과","12","N72","자궁목의 염증성 질환","256"
"산부인과","13","N83","난소. 난관 및 광 인대의 비염증성 장애","255"
"산부인과","14","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","249"
"산부인과","15","N87","자궁목의 형성이상","241"
"산부인과","16","B37","칸디다증","189"
"산부인과","17","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","179"
"산부인과","18","D27","난소의 양성 신생물","163"
"산부인과","19","N93","기타 이상 자궁 및 질 출혈","138"
"산부인과","20","D06","자궁목의 상피내 암종","137"
"생활지원센터","1","U07","U07의 응급사용","63"
"성형외과","1","L89","욕창성 및 압박부위 궤양","429"
"성형외과","2","R22","피부 및 피하조직의 국한적 종창. 종괴 및 소괴","89"
"성형외과","3","L98","달리 분류되지 않은 피부 및 피하조직의 기타 장애","74"
"성형외과","4","C44","피부의 기타 악성 신생물","52"
"성형외과","5","L90","피부의 위축장애","29"
"성형외과","6","T30","상세불명의 신체부위의 화상 및 부식","26"
"성형외과","7","Z41","건강상태개선 이외의 목적으로 이루어진 처치를 위하여 보건서비스와 접하고 있는 사람","22"
"성형외과","8","L72","피부 및 피하조직의 모낭성 낭","21"
"성형외과","9","T21","체간의 화상 및 부식","19"
"성형외과","10","S01","머리의 열린상처","18"
"성형외과","11","C50","유방의 악성 신생물","18"
"성형외과","12","T24","발목 및 발을 제외한 엉덩이 및 다리의 화상 및 부식","17"
"성형외과","13","D22","색소 세포성 모반","16"
"성형외과","14","D04","피부의 제자리암종","12"
"성형외과","15","S81","아래다리의 열린상처","9"
"성형외과","16","T25","발목 및 발의 화상 및 부식","9"
"성형외과","17","L91","피부의 비대성 장애","8"
"성형외과","18","S02","머리뼈 및 얼굴뼈의 골절","8"
"성형외과","19","T00","여러 신체부위를 침범한 표재성 손상","8"
"성형외과","20","M79","달리 분류되지 않은 기타 연조직장애","7"
"소아청소년과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","605"
"소아청소년과","2","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","308"
"소아청소년과","3","U07","U07의 응급사용","80"
"소아청소년과","4","J30","혈관운동성 및 앨러지성 비염","65"
"소아청소년과","5","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","64"
"소아청소년과","6","J00","급성 코인두염 [감기]","53"
"소아청소년과","7","J01","급성 부비동염","44"
"소아청소년과","8","J02","급성 인두염","40"
"소아청소년과","9","L20","질병이환 및 사망의 외인","36"
"소아청소년과","10","J40","급성인지 만성인지 명시되지 않은 기관지염","32"
"소아청소년과","11","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","31"
"소아청소년과","12","J11","바이러스가 확인되지 않은 인플루엔자","30"
"소아청소년과","13","J31","만성비염. 비인두염 및 인두염","29"
"소아청소년과","14","J18","상세불명 병원체의 폐렴","26"
"소아청소년과","15","Z25","기타 단일 바이러스질환에 대한 예방접종의 필요","25"
"소아청소년과","16","H66","화농성 및 상세불명의 중이염","21"
"소아청소년과","17","B08","달리 분류되지 않은 피부 및 점막병터가 특징인 기타 바이러스 감염","19"
"소아청소년과","18","K59","기타 기능적 창자 장애","18"
"소아청소년과","19","L01","특정감염성 및 기생충성 질환","18"
"소아청소년과","20","Z20","전염성 질환에 접촉 및 노출","16"
"소화기내과","1","K21","위-식도역류병","7337"
"소화기내과","2","K59","기타 기능적 창자 장애","5819"
"소화기내과","3","K29","위염 및 십이지장염","5554"
"소화기내과","4","K30","소화불량","2987"
"소화기내과","5","C22","간 및 간내담관의 악성 신생물","2972"
"소화기내과","6","B18","만성 바이러스간염","2962"
"소화기내과","7","D13","기타 및 부위불명의 소화계통의 양성 신생물","2943"
"소화기내과","8","K73","달리 분류되지 않은 만성 간염","2780"
"소화기내과","9","K74","간의 섬유증 및 경화증","2645"
"소화기내과","10","K63","창자의 기타 질환","2558"
"소화기내과","11","C16","위의 악성 신생물","2169"
"소화기내과","12","K80","담석증","2118"
"소화기내과","13","D12","결장. 직장. 항문 및 항문관의 양성 신생물","1899"
"소화기내과","14","R94","기능검사의 이상결과","1822"
"소화기내과","15","K76","간의 기타 질환","1788"
"소화기내과","16","K58","자극성 장증후군","1227"
"소화기내과","17","K25","위궤양","836"
"소화기내과","18","R10","복부 및 골반통증","644"
"소화기내과","19","C18","결장의 악성 신생물","597"
"소화기내과","20","K82","쓸개(담낭)의 기타 질환","551"
"수면다원검사과","1","G47","수면장애","275"
"수면다원검사과","2","F51","비기질적 수면 장애","32"
"수면다원검사과","3","G25","기타 추체외로 및 운동 장애","3"
"수면다원검사과","4","R06","호흡의 이상","1"
"순환기내과","1","I10","본태성(원발성) 고혈압","42835"
"순환기내과","2","I20","협심증","26943"
"순환기내과","3","I48","심방세동 및 조동","4468"
"순환기내과","4","I51","심장병의 불명확한 기록 및 합병증","4283"
"순환기내과","5","E78","지질단백질대사장애 및 기타 지질증","3499"
"순환기내과","6","R07","인후 및 흉곽의 동통","2655"
"순환기내과","7","Z95","심장 및 혈관 삽입물 및 이식편의 존재","2359"
"순환기내과","8","I25","만성 허혈심장병","2325"
"순환기내과","9","I50","심장기능상실(심부전)","1503"
"순환기내과","10","E11","인슐린-비의존 당뇨병","1148"
"순환기내과","11","I49","기타 심장성 부정맥","995"
"순환기내과","12","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","964"
"순환기내과","13","I70","죽상경화증","948"
"순환기내과","14","I21","급성 심근경색증","923"
"순환기내과","15","R00","심장박동의 이상","681"
"순환기내과","16","R06","호흡의 이상","424"
"순환기내과","17","I47","발작성 빠른맥","420"
"순환기내과","18","I44","심방실 차단 및 좌각 차단","347"
"순환기내과","19","I11","고혈압성 심장병","307"
"순환기내과","20","R42","현기 및 어지러움","295"
"신경과","1","I63","뇌경색증","19713"
"신경과","2","R42","현기 및 어지러움","15442"
"신경과","3","R51","두통","5920"
"신경과","4","G98","달리 분류되지 않은 신경계통의 기타 장애","5269"
"신경과","5","G96","중추신경계통의 기타 장애","4116"
"신경과","6","M54","배통","3428"
"신경과","7","F03","상세불명의 치매","3384"
"신경과","8","R29","신경계통 및 근육골격계통을 침습한 기타 증상 및 징후","3191"
"신경과","9","F00","알츠하이머병에서의 치매(G30.-+)","2941"
"신경과","10","G20","파킨슨병","2928"
"신경과","11","R41","인지기능 및 자각에 관한 기타 증상 및 징후","1984"
"신경과","12","G45","일과성 대뇌허혈발작 및 관련 증후군","1952"
"신경과","13","G44","기타 두통증후군","1822"
"신경과","14","F06","뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애","1187"
"신경과","15","G25","기타 추체외로 및 운동 장애","1078"
"신경과","16","R25","이상적 불수의적 운동","940"
"신경과","17","I67","기타 대뇌혈관 질환","803"
"신경과","18","G40","뇌전증","675"
"신경과","19","G43","편두통","500"
"신경과","20","I69","대뇌혈관 질환의 후유증","415"
"신경외과","1","M48","기타 척추병증","7600"
"신경외과","2","I65","대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착","3140"
"신경외과","3","I67","기타 대뇌혈관 질환","2271"
"신경외과","4","M51","기타 추간판장애","2246"
"신경외과","5","M54","배통","1432"
"신경외과","6","I63","뇌경색증","1386"
"신경외과","7","M47","척추증","1300"
"신경외과","8","M96","달리 분류되지 않은 처치후 근육골격 장애","1049"
"신경외과","9","S06","머리내 손상","939"
"신경외과","10","M50","목뼈원판 장애","906"
"신경외과","11","R51","두통","834"
"신경외과","12","R52","달리 분류되지 않은 통증","725"
"신경외과","13","M43","기타 변형성 배병증","620"
"신경외과","14","I66","대뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착","340"
"신경외과","15","I61","뇌내출혈","338"
"신경외과","16","D32","수막의 양성 신생물","311"
"신경외과","17","I69","대뇌혈관 질환의 후유증","282"
"신경외과","18","R42","현기 및 어지러움","275"
"신경외과","19","G91","수두증","261"
"신경외과","20","G44","기타 두통증후군","249"
"신장내과","1","N18","만성 콩팥(신장)기능상실","16593"
"신장내과","2","E11","인슐린-비의존 당뇨병","2952"
"신장내과","3","I10","본태성(원발성) 고혈압","1889"
"신장내과","4","R60","달리 분류되지 않은 부종","1851"
"신장내과","5","N28","달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애","1589"
"신장내과","6","R69","미상 및 상세불명의 병인","1540"
"신장내과","7","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","751"
"신장내과","8","N39","비뇨기계통의 기타 장애","665"
"신장내과","9","N19","상세불명의 콩팥(신장)기능상실","608"
"신장내과","10","Q61","낭성 콩팥(신장)병","580"
"신장내과","11","J90","달리 분류되지 않은 흉막삼출액","502"
"신장내과","12","R79","혈액화학의 기타 이상소견","444"
"신장내과","13","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","326"
"신장내과","14","R80","고립성 단백뇨증","320"
"신장내과","15","N02","재발성 및 지속성 혈뇨","305"
"신장내과","16","N17","급성 콩팥(신장)기능상실","300"
"신장내과","17","R31","상세불명의 혈뇨","297"
"신장내과","18","E10","인슐린-의존 당뇨병","214"
"신장내과","19","N03","만성 신염증후군","204"
"신장내과","20","Z94","이식한 장기 및 조직의 상태","203"
"안과","1","H25","노인성 백내장","24806"
"안과","2","H04","눈물기관의 장애","16308"
"안과","3","H35","기타 망막장애","13646"
"안과","4","H42","달리 분류된 질환에서의 녹내장","7236"
"안과","5","H40","녹내장","1940"
"안과","6","H01","안검의 기타 염증","1608"
"안과","7","H02","안검의 기타 장애","1479"
"안과","8","H36","달리 분류된 질환에서의 망막장애","1478"
"안과","9","H34","망막혈관폐쇄","1459"
"안과","10","E14","상세불명의 당뇨병","1424"
"안과","11","E11","인슐린-비의존 당뇨병","1089"
"안과","12","H43","초자체의 장애","883"
"안과","13","H16","각막염","648"
"안과","14","H26","기타 백내장","373"
"안과","15","H27","수정체의 기타 장애","339"
"안과","16","H33","망막박리 및 망막이단(離斷)","256"
"안과","17","H10","결막염","190"
"안과","18","H50","기타 사시","170"
"안과","19","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","153"
"안과","20","H44","안구의 장애","128"
"완화의료사업","1","C34","기관지 및 폐의 악성 신생물","504"
"완화의료사업","2","C25","췌장의 악성신생물","198"
"완화의료사업","3","C22","간 및 간내담관의 악성 신생물","138"
"완화의료사업","4","C16","위의 악성 신생물","107"
"완화의료사업","5","C24","담도의 기타 및 상세불명 부분의 악성 신생물","102"
"완화의료사업","6","C15","식도의 악성신생물","82"
"완화의료사업","7","C18","결장의 악성 신생물","80"
"완화의료사업","8","C61","전립선의 악성 신생물","74"
"완화의료사업","9","C54","자궁체의 악성 신생물","42"
"완화의료사업","10","C53","자궁목의 악성 신생물","40"
"완화의료사업","11","C23","쓸개(담낭)의 악성 신생물","40"
"완화의료사업","12","C85","기타 및 상세불명 형의 비호지킨 림프종","34"
"완화의료사업","13","C50","유방의 악성 신생물","32"
"완화의료사업","14","C49","기타 결합조직 및 연조직의 악성 신생물","32"
"완화의료사업","15","C80","부위의 명시가 없는 악성 신생물","31"
"완화의료사업","16","C20","직장의 악성 신생물","30"
"완화의료사업","17","C19","직장구불결장접합부의 악성 신생물","30"
"완화의료사업","18","C71","뇌의 악성 신생물","28"
"완화의료사업","19","C43","피부의 악성 흑색종","24"
"완화의료사업","20","C67","방광의 악성 신생물","21"
"외과","1","K64","치핵 및 항문주위정맥혈전증","1730"
"외과","2","K59","기타 기능적 창자 장애","1356"
"외과","3","I87","정맥의 기타 장애","1273"
"외과","4","C16","위의 악성 신생물","1161"
"외과","5","C18","결장의 악성 신생물","1096"
"외과","6","C20","직장의 악성 신생물","894"
"외과","7","C50","유방의 악성 신생물","841"
"외과","8","K40","서혜헤르니아","837"
"외과","9","K80","담석증","820"
"외과","10","D24","유방의 양성 신생물","714"
"외과","11","C22","간 및 간내담관의 악성 신생물","699"
"외과","12","R15","분변의 실금","633"
"외과","13","N18","만성 콩팥(신장)기능상실","581"
"외과","14","N60","양성 유방형성이상","410"
"외과","15","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","324"
"외과","16","N62","유방의 비대","311"
"외과","17","D17","양성 지방종성 신생물","274"
"외과","18","K91","달리 분류되지 않은 소화기계통의 처치후 장애","262"
"외과","19","I83","하지의 정맥류","244"
"외과","20","K35","급성 충수염","241"
"욕창성형클리닉","1","L89","욕창성 및 압박부위 궤양","1042"
"욕창성형클리닉","2","T21","체간의 화상 및 부식","39"
"욕창성형클리닉","3","T30","상세불명의 신체부위의 화상 및 부식","21"
"욕창성형클리닉","4","C44","피부의 기타 악성 신생물","19"
"욕창성형클리닉","5","R22","피부 및 피하조직의 국한적 종창. 종괴 및 소괴","16"
"욕창성형클리닉","6","D23","피부의 기타 양성 신생물","15"
"욕창성형클리닉","7","L02","피부의 농양, 종기 및 큰종기","15"
"욕창성형클리닉","8","T24","발목 및 발을 제외한 엉덩이 및 다리의 화상 및 부식","10"
"욕창성형클리닉","9","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","9"
"욕창성형클리닉","10","R53","병감 및 피로","8"
"욕창성형클리닉","11","R68","기타 전신 증상 및 징후","6"
"욕창성형클리닉","12","L91","피부의 비대성 장애","6"
"욕창성형클리닉","13","S01","머리의 열린상처","6"
"욕창성형클리닉","14","S81","아래다리의 열린상처","5"
"욕창성형클리닉","15","S70","엉덩이 및 대퇴의 표재성 손상","5"
"욕창성형클리닉","16","L98","달리 분류되지 않은 피부 및 피하조직의 기타 장애","5"
"욕창성형클리닉","17","D04","피부의 제자리암종","5"
"욕창성형클리닉","18","T25","발목 및 발의 화상 및 부식","4"
"욕창성형클리닉","19","D22","색소 세포성 모반","4"
"욕창성형클리닉","20","Z41","건강상태개선 이외의 목적으로 이루어진 처치를 위하여 보건서비스와 접하고 있는 사람","3"
"응급실","1","R52","달리 분류되지 않은 통증","3611"
"응급실","2","R42","현기 및 어지러움","800"
"응급실","3","T14","상세불명의 신체부위의 손상","792"
"응급실","4","R10","복부 및 골반통증","730"
"응급실","5","J18","상세불명 병원체의 폐렴","720"
"응급실","6","R07","인후 및 흉곽의 동통","719"
"응급실","7","M54","배통","696"
"응급실","8","R51","두통","560"
"응급실","9","R06","호흡의 이상","538"
"응급실","10","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","499"
"응급실","11","R50","원인 미상의 열","483"
"응급실","12","Z48","기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","440"
"응급실","13","L50","두드러기","416"
"응급실","14","R53","병감 및 피로","345"
"응급실","15","R31","상세불명의 혈뇨","321"
"응급실","16","M48","기타 척추병증","318"
"응급실","17","M25","달리 분류되지 않은 기타 관절장애","303"
"응급실","18","K92","소화기계통의 기타 질환","292"
"응급실","19","I50","심장기능상실(심부전)","279"
"응급실","20","I63","뇌경색증","272"
"응급의학과","1","N39","비뇨기계통의 기타 장애","72"
"응급의학과","2","J18","상세불명 병원체의 폐렴","62"
"응급의학과","3","N10","급성 세뇨관-사이질성 신염","37"
"응급의학과","4","C61","전립선의 악성 신생물","34"
"응급의학과","5","N17","급성 콩팥(신장)기능상실","28"
"응급의학과","6","D64","기타 빈혈","28"
"응급의학과","7","E87","수분. 전해질 및 산-염기균형의 기타장애","16"
"응급의학과","8","N18","만성 콩팥(신장)기능상실","16"
"응급의학과","9","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","15"
"응급의학과","10","K92","소화기계통의 기타 질환","14"
"응급의학과","11","K83","담도의 기타 질환","13"
"응급의학과","12","I50","심장기능상실(심부전)","12"
"응급의학과","13","J44","기타 만성 폐쇄성 폐질환","11"
"응급의학과","14","J69","고체 및 액체에 의한 폐염","10"
"응급의학과","15","E11","인슐린-비의존 당뇨병","9"
"응급의학과","16","I26","폐색전증","9"
"응급의학과","17","K25","위궤양","8"
"응급의학과","18","C34","기관지 및 폐의 악성 신생물","8"
"응급의학과","19","K55","창자의 혈관성 장애","8"
"응급의학과","20","K26","십이지장궤양","8"
"이비인후과","1","H90","전음성 및 감각신경성 청력소실","6317"
"이비인후과","2","J37","만성후두염 및 후두기관염","6183"
"이비인후과","3","H93","달리 분류되지 않은 귀의 기타 장애","3753"
"이비인후과","4","J30","혈관운동성 및 앨러지성 비염","2713"
"이비인후과","5","J32","만성 부비동염","2242"
"이비인후과","6","H66","화농성 및 상세불명의 중이염","1503"
"이비인후과","7","J38","달리 분류되지 않은 성대및 후두의 질환","960"
"이비인후과","8","R42","현기 및 어지러움","937"
"이비인후과","9","E04","기타 비중독성 갑상선종","904"
"이비인후과","10","Z90","달리 분류되지 않은 기관의 후천적 부재","730"
"이비인후과","11","J34","코 및 코옆굴의 기타 장애","665"
"이비인후과","12","H91","기타 청력소실","498"
"이비인후과","13","H65","비화농성 중이염","461"
"이비인후과","14","D10","입 및 인두의 양성 신생물","452"
"이비인후과","15","H60","외이염","408"
"이비인후과","16","K11","타액선의 질환","372"
"이비인후과","17","J00","급성 코인두염 [감기]","317"
"이비인후과","18","K12","입안염 및 관련 병터","297"
"이비인후과","19","D14","중이 및 호흡기계의 양성 신생물","296"
"이비인후과","20","H81","전정기능의 장애","289"
"일반검진","1","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1"
"일반검진","2","D72","백혈구의 기타 장애","1"
"입원전담의학과","1","J18","상세불명 병원체의 폐렴","58"
"입원전담의학과","2","N39","비뇨기계통의 기타 장애","27"
"입원전담의학과","3","K80","담석증","21"
"입원전담의학과","4","I50","심장기능상실(심부전)","20"
"입원전담의학과","5","N17","급성 콩팥(신장)기능상실","17"
"입원전담의학과","6","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","11"
"입원전담의학과","7","K92","소화기계통의 기타 질환","10"
"입원전담의학과","8","J44","기타 만성 폐쇄성 폐질환","9"
"입원전담의학과","9","J90","달리 분류되지 않은 흉막삼출액","9"
"입원전담의학과","10","J69","고체 및 액체에 의한 폐염","8"
"입원전담의학과","11","N18","만성 콩팥(신장)기능상실","7"
"입원전담의학과","12","N10","급성 세뇨관-사이질성 신염","7"
"입원전담의학과","13","E87","수분. 전해질 및 산-염기균형의 기타장애","7"
"입원전담의학과","14","K85","급성 췌장염(이자염)","6"
"입원전담의학과","15","K75","기타 염증성 간질환","6"
"입원전담의학과","16","R53","병감 및 피로","6"
"입원전담의학과","17","K56","헤르니아가 없는 마비성 장폐색증 및 창자폐쇄","5"
"입원전담의학과","18","R50","원인 미상의 열","5"
"입원전담의학과","19","J84","기타 사이질성 폐질환","5"
"입원전담의학과","20","D64","기타 빈혈","5"
"재활의학과","1","G81","편마비","18939"
"재활의학과","2","M51","기타 추간판장애","15978"
"재활의학과","3","G82","하반신마비 및 사지마비","9626"
"재활의학과","4","M50","목뼈원판 장애","6856"
"재활의학과","5","M25","달리 분류되지 않은 기타 관절장애","4242"
"재활의학과","6","M72","섬유모세포장애","2636"
"재활의학과","7","M48","기타 척추병증","2600"
"재활의학과","8","I63","뇌경색증","2121"
"재활의학과","9","G62","기타 다발신경병증","2002"
"재활의학과","10","G20","파킨슨병","1967"
"재활의학과","11","M75","어깨병변","1873"
"재활의학과","12","M79","달리 분류되지 않은 기타 연조직장애","1794"
"재활의학과","13","M54","배통","1623"
