상병명,mean,sum,std
기타 및 상세불명 물질의 중독작용,124.0,620,39.02563260217571
기타 및 상세불명 부위의 골 및 관절연골의 악성 신생물,2.0,2,
기타 및 상세불명 부위의 제자리암종,107.125,857,114.19211568980708
기타 및 상세불명 형의 비호지킨 림프종,279.8181818181818,3078,313.61658699176553
기타 및 상세불명의 내분비선의 양성 신생물,131.1875,4198,131.6261660181788
기타 및 상세불명의 주타액선의 악성 신생물,28.6,143,35.00428545192717
기타 및 원인미상의 열,54.666666666666664,164,41.356176483487125
기타 백내장,694.5,20835,657.0431020344362
기타 변형성 등병증,480.25,1921,826.3265597409618
기타 변형성 배병증,651.6666666666666,27370,639.948117815761
기타 부위의 속발성 악성 신생물,111.0,555,75.41551564499179
기타 부위의 정맥류,130.5,522,128.93538433391097
"기타 부위의 정맥류,제외 : 망막정맥류(H35.0)",73.75,295,51.08408101682298
기타 불안장애,2207.5714285714284,61812,2389.281721115604
기타 비감염성 위장염 및 대장염(큰창자염),120.6,2412,111.85912192528035
기타 비독성 고이터,867.0,867,
기타 비외상성 머리내 출혈,525.6,5256,295.81195227899616
기타 비중독성 갑상선종,718.3,28732,532.0283007702812
기타 빈혈,294.58620689655174,8543,341.50230256924846
기타 사시,155.2,776,87.74223612377337
기타 사이질성 폐질환,584.1,11682,717.6029469516442
기타 세균성 창자 감염,20.666666666666668,434,16.802777548171413
기타 신경성 장애,359.8695652173913,8277,619.6298971855425
기타 신체구조의 진단적 영상상 이상소견,773.1111111111111,6958,502.99886790241504
기타 심장부정맥,85.5,171,91.21677477306463
기타 심장성 부정맥,436.03846153846155,11337,394.6291910915087
기타 여성골반염증질환,4.0,8,4.242640687119285
기타 염증성 간질환,239.0,5019,200.2011488478525
기타 염증성 척추병증,45.3,453,107.63627021904219
기타 영양성 빈혈,76.5,612,35.30277204817937
기타 예방적 조치의 필요,832.4230769230769,21643,1251.551075204745
기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,161.66666666666666,485,241.83120835271308
기타 윤활낭병증,98.0,98,
기타 응고결함,61.714285714285715,432,30.532574330345867
기타 이상 자궁 및 질 출혈,60.94117647058823,1036,76.30896948281645
기타 이유의 검사 및 관찰,156.0,624,107.16964744428962
기타 장기의 결핵,18.0,36,4.242640687119285
기타 장치의 부착 및 조정,91.0,91,
기타 장치의 부착 및 조정를 위하여 보건서비스와 접하고 있는 사람,590.0,9440,917.0032351814979
기타 장치의 존재,9.666666666666666,29,2.0816659994661326
기타 전신 증상 및 징후,104.89473684210526,1993,161.22099902405947
기타 점액낭병증,110.33333333333333,331,35.13308032799477
기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,194.0,582,4.358898943540674
기타 척추병증,3350.5827338129498,465731,3702.665267816795
기타 청력소실,227.95,4559,213.85200859226777
기타 추간판장애,2285.1428571428573,239940,3789.5332253371344
기타 추체외로 및 운동 장애,575.2972972972973,21286,495.77861686133343
기타 특정 관절장애,376.3636363636364,4140,200.65406685500932
기타 패혈증,16.625,133,13.679364020304451
기타 폐성 심장질환,1.0,1,
기타 표재성 진균증,30.4,152,7.861297602813419
기타 표피의 비후,705.4285714285714,19752,697.0707190103363
기타 피부염,4373.540540540541,161821,8329.468122257249
기타 형태의 미코박테리아에 의한 감염,346.2857142857143,2424,316.3956986041974
기타 호흡장애,860.5675675675676,31841,1386.7626877920577
기타 흡충감염,7.0,35,0.0
기타의료,922.25,7378,1195.2906102103968
기혈음양병증(氣血陰陽病證),145.25,581,30.423401080966165
기흉,1.0,1,
난소. 난관 및 광 인대의 비염증성 장애,117.85,2357,179.9064888680842
난소의 악성 신생물,89.5,179,28.991378028648448
난소의 양성 신생물,91.0,364,100.01333244456293
낭성 신장병,27.5,55,2.1213203435596424
낭성 콩팥(신장)병,169.2,4230,181.54889148656346
내부로 섭취된 물질에 의한 피부염,245.2,1226,32.78261734517243
"내분비, 영양 및 대사 질환",2.0,4,1.4142135623730951
내분비선의 행동양식 불명 또는 미상의 신생물,33.8,169,59.63388298610111
노년백내장,2485.0,4970,811.7585848021565
노인성 백내장,7491.857142857143,209772,5539.489097409387
녹내장,1877.7,56331,1173.0370294299294
농흉,1.0,1,
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,62.666666666666664,376,26.650828630019493
뇌경색증,2264.5436893203882,233248,4000.2055064284837
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,415.6,2078,752.7259129324565
뇌내출혈,304.5,13398,229.0924968064717
"뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애",398.0,796,336.5828278447966
뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,914.075,36563,1219.741300598047
뇌의 악성 신생물,35.166666666666664,211,20.827065723876387
뇌전증,251.35294117647058,8546,199.2757921944452
뇌질환. 뇌손상 및 기능이상에 의한 인격 및 행동 장애,59.333333333333336,356,40.62839729384691
뇌하수체의 기능저하증 및 기타 장애,56.63157894736842,1076,43.6503920388603
뇌하수체의 기능항진증,53.333333333333336,480,41.557189510360296
뇌혈관질환의 후유증,3155.3333333333335,9466,4101.707733777887
눈 및 안와의 손상,24.0,24,
눈꺼풀의 기타 염증,2509.0,2509,
눈꺼풀의 기타 장애,280.0,560,313.9554108468271
눈물계통의 장애,3188.0,6376,1173.7972567696688
눈물기관의 장애,4210.178571428572,117885,3096.3288543594044
"늑골, 흉골 및 흉추의 골절",237.0,711,249.7418667344344
늑골. 흉골 및 흉추골의 골절,260.8510638297872,12260,164.28580328770695
늑골. 흉골 및 흉추의 골절,51.0,102,12.727922061357855
다뇨,52.0,104,49.49747468305833
다뇨증,295.1111111111111,5312,495.2317210320234
다른 장에서 분류된 질환의 원인으로서의 바이러스감염체,8.0,24,0.0
다리의 단일신경병증,58.0,58,
다발관절증,1599.5,3199,1567.655733890576
다발성 골수종 및 악성 형질세포신생물,220.54545454545453,2426,238.55622550516836
다발성 및 상세불명 부위의 급성 상기도감염,464.45454545454544,20436,623.5704564561289
"다발성 및 상세불명 부위의 급성 상기도감염, 제외; 호흡기 감염 NOS",94.0,188,111.72287142747452
다발판막질환,136.0,136,
다한증,56.7,567,37.115585225975714
단순성 및 점액화농성 만성 기관지염,180.33333333333334,541,46.543886100467944
단일 세균성 질환에 대한 예방접종의 필요,2.0,2,
달리 분류되지 않은 간부전,1.0,1,
달리 분류되지 않은 경련,7.0,7,
달리 분류되지 않은 구강영역의 낭,8.416666666666666,101,7.32937220842938
"달리 분류되지 않은 구강영역의 낭, 제외 : 치아뿌리낭(K04.8-)",1.0,2,0.0
달리 분류되지 않은 귀의 기타 장애,1328.3902439024391,54464,1269.4456837149194
달리 분류되지 않은 기관의 후천적 부재,531.4,2657,309.85851610049383
달리 분류되지 않은 기타 관절장애,510.63461538461536,26553,877.6320419920992
달리 분류되지 않은 기타 상담 및 의학적 권고를 위해 보건서비스와 접하고 있는 사람,65.9090909090909,725,63.30790558130089
달리 분류되지 않은 기타 연조직장애,594.2797202797203,84982,781.3970281308679
달리 분류되지 않은 남성생식기관의 염증성 장애,27.0,27,
달리 분류되지 않은 만성 간염,1023.0,12276,1010.0083708023956
달리 분류되지 않은 면역메커니즘을 침범한 기타 장애,84.5,338,22.30844384233617
달리 분류되지 않은 바이러스폐렴,6.0,6,
달리 분류되지 않은 방광의 신경근육기능장애,1319.267857142857,73879,1624.814657861812
달리 분류되지 않은 부종,421.4651162790698,18123,463.3480820967366
달리 분류되지 않은 사춘기의 장애,2468.5714285714284,51840,4354.388252917148
달리 분류되지 않은 생체역학적 병변,1444.5555555555557,13001,789.5327908185814
달리 분류되지 않은 성대및 후두의 질환,849.7727272727273,18695,996.4760256508781
달리 분류되지 않은 세균폐렴,20.0,40,25.45584412271571
달리 분류되지 않은 소화기계통의 처치후 장애,88.0,264,150.68842025849233
달리 분류되지 않은 신경계통의 기타 장애,3257.8,16289,1973.371404475093
달리 분류되지 않은 신장 및 요관의 기타 장애,55.5,111,14.849242404917497
달리 분류되지 않은 언어장애,382.5,765,533.8656197958434
달리 분류되지 않은 외과적 및 내과적 치료의 기타 합병증,240.0,480,0.0
달리 분류되지 않은 주로 성행위로 전파되는 기타 질환,4.0,4,
달리 분류되지 않은 처치의 합병증,24.7,247,39.93063429943926
달리 분류되지 않은 처치후 근골격장애,530.6666666666666,1592,797.9206309736159
달리 분류되지 않은 처치후 근육골격 장애,753.4461538461538,48974,757.5875780802761
달리 분류되지 않은 처치후의 내분비및 대사장애,168.91666666666666,2027,154.16429154599578
달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애,288.6585365853659,11835,440.65874606979594
달리 분류되지 않은 통증,1442.4814814814815,116841,1795.0798040136765
달리 분류되지 않은 폐호산구증가증,1530.25,6121,315.664774721539
달리 분류되지 않은 피부 및 점막병터가 특징인 기타 바이러스 감염,388.0,3104,288.51887781762713
달리 분류되지 않은 피부 및 피하조직의 기타 장애,69.83333333333333,419,65.68231624011646
달리 분류되지 않은 피부에 한정된 혈관염,161.0,161,
달리 분류되지 않은 하지의 궤양,33.0,66,8.48528137423857
달리 분류되지 않은 호흡부전,403.6666666666667,1211,141.67686237820675
달리 분류되지 않은 흉막삼출액,88.33333333333333,530,202.68958203782122
달리 분류된 기타 질환에서의 치매,63.0,315,0.0
달리 분류된 질환 및 사망원인과 관련된 보조 요인,147.15384615384616,1913,126.20409802765661
달리 분류된 질환에서의 공막 및 각막의 장애,720.375,5763,569.972916023209
달리 분류된 질환에서의 녹내장,4380.363636363636,48184,6172.738327075387
달리 분류된 질환에서의 뇌신경장애,153.84745762711864,9077,141.12696821379674
달리 분류된 질환에서의 다발신경병증,566.8333333333334,17005,571.1333610392182
달리 분류된 질환에서의 동맥. 소동맥 및 모세혈관의 장애,1.0,1,
달리 분류된 질환에서의 망막장애,1458.3666666666666,43751,1618.7636508988162
달리 분류된 질환에서의 신경근 및 신경총 압박,210.0,210,
달리 분류된 질환에서의 신경뿌리 및 신경총 압박,121.0,363,116.77328461596
달리 분류된 질환에서의 외이의 장애,123.33333333333333,370,47.34272207354931
달리 분류된 질환에서의 추체외로 및 운동 장애,1.0,1,
달리 분류된 질환에서의 파킨슨증,319.0,2233,131.54720318831056
달리 분류된 질환에서의 홍채 및 섬모체의 장애,161.0,805,0.0
담낭염,77.11111111111111,694,66.52902457657945
담도의 기타 및 상세불명 부분의 악성 신생물,145.1,1451,148.49575377393418
담도의 기타 질환,7.0,14,8.48528137423857
담배흡연에 의한 정신 및 행동 장애,11.0,11,
담석증,549.3076923076923,28564,544.0991669439312
대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착,938.1463414634146,38464,1011.811335204731
대뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,324.3529411764706,5514,176.5031661105795
대뇌혈관 질환의 후유증,1593.2727272727273,70104,2156.3113353717854
대동맥동맥류 및 박리,131.0,131,
대동맥류 및 박리,360.03846153846155,9361,384.55360934665333
대동맥판 및 승모판의 선천기형,171.0,171,
대변실금,26.0,26,
대상포진,310.65909090909093,13669,373.82168010976113
대퇴골의 골절,483.1923076923077,12563,325.1672823924042
독성간질환,217.5,870,256.15685298920533
동맥 및 소동맥의 기타장애,159.42857142857142,1116,201.06952126305066
두개골 및 안면골의 골절,131.5,263,161.92745289171938
두개내손상,399.0,798,444.06305858515185
두드러기,282.6363636363636,18654,271.2929518698666
두통,994.0224719101124,88468,1526.47702672711
"두통, 뇌풍, 수풍, 두풍(頭風) (Head wind disorder)",134.6,673,154.5519330192929
등통증,1486.9,14869,2776.2924697837184
류마티스성 대동맥판질환,75.33333333333333,226,64.08067831517808
류마티스성 삼첨판질환,11.0,11,
류마티스승모판질환,185.0,925,108.6876257906115
림프. 조혈 및 관련조직의 행동양식 불명 또는 미상의 기타 신생,566.3333333333334,6796,325.12384586725585
림프관 및 림프절의 기타 비감염성 장애,23.0,23,
림프성 백혈병,18.0,36,0.0
림프절비대,7.142857142857143,50,3.2877840272018792
림프절의 이차성 및 상세불명의 악성 신생물,30.0,60,22.627416997969522
마비성 사시,45.0,180,2.449489742783178
만기매독,14.555555555555555,131,7.828012377211585
만성 단순태선 및 가려움발진,508.0,508,
만성 단순태선 및 양진,531.7407407407408,14357,464.39303584129226
만성 바이러스간염,1018.0571428571428,35632,841.6422302246239
만성 바이러스간염.   주: 다음의 5단위 세분류는 면역관용기 여부를 표기하기 위해 B18.0-B18.1에 사용한다.,174.6,873,92.327135772751
만성 부비동염,528.1,21124,578.9037296521143
"만성 비염, 비인두염 및 인두염",608.0,1824,487.77453808086375
만성 신염증후군,175.33333333333334,526,37.42102795666273
만성 신장병,3700.5,7401,4883.9865376554835
만성 콩팥(신장)기능상실,5362.897959183673,262782,6214.605029836631
만성 허혈심장병,1005.2333333333333,30157,1086.026693116205
만성 후두염 및 후두기관염,1781.0,1781,
만성비염. 비인두염 및 인두염,299.28125,9577,272.3774935488164
만성후두염 및 후두기관염,2031.7931034482758,58922,1925.950403220453
말초신경 및 자율신경계통의 악성 신생물,16.0,16,
말초신경계통의 기타 장애,132.28571428571428,926,61.57303058351193
말초혈관계통의 기타 선천기형,36.0,36,
망막박리 및 망막열공,42.0,42,
망막박리 및 망막이단(離斷),118.9375,1903,109.93541664692656
망막혈관폐쇄,566.1071428571429,15851,706.277531186007
매몰치 및 매복치,40.37931034482759,1171,66.18826708342944
맥립종 및 콩다래끼,68.6470588235294,1167,46.03794790234272
머리내 손상,447.84375,14331,288.62221198306963
머리뼈 및 얼굴뼈의 골절,390.3235294117647,13271,462.26161558988633
머리손상의 후유증,148.0,148,
"머리의 관절 및 인대의 탈구, 염좌 및 긴장",14.0,14,
머리의 관절 및 인대의 탈구. 염좌 및 긴장,6.875,55,4.051013982414068
머리의 기타 및 상세불명의 손상,9.0,27,6.557438524302
머리의 손상의 후유증,168.25,673,17.63282923034947
머리의 열린상처,40.5,648,48.551004109081
머리의 표재성 손상,97.0,776,35.26633360181188
모든 부위의 혈관종 및 림프관종,2.5,5,0.7071067811865476
목구멍 및 가슴의 통증,318.6666666666667,956,507.3907107282644
"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",270.09375,8643,308.6769225911172
목뼈원판 장애,1033.3703703703704,83703,1405.514713943298
무과립세포증,103.0,309,18.520259177452136
무기질대사장애,4.25,17,2.872281323269014
무릎관절증,1006.25,8050,1850.955023764759
"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",113.0,113,
무릎의 관절 및 인대의 탈구. 염좌 및 긴장,344.0416666666667,8257,223.9649582774767
무릎의 내부장애,523.0,523,
"무월경, 소량 및 희발 월경",7.0,7,
무월경. 소량 및 희발 월경,13.25,159,5.446016058467961
미상 및 상세불명의 병인,297.219512195122,12186,446.10040978434
바이러스가 확인되지 않은 인플루엔자,126.9090909090909,2792,146.69985850316448
바이러스결막염,45.666666666666664,274,8.981462390204987
바이러스성 및 기타 명시된 장감염,6.0,6,
바이러스성 사마귀,195.6153846153846,2543,182.0551832373628
발목 및 발부위에서의 관절 및 인대의 탈구. 염좌 및 긴장,189.36363636363637,2083,261.76488409535483
발목 및 발부위에서의 신경 손상,7.0,7,
발목 및 발을 제외한 엉덩이 및 다리의 화상 및 부식,49.875,399,27.440520090864585
발목 및 발의 기타 및 상세불명의 손상,16.8,84,2.16794833886788
발목 및 발의 외상성 절단,13.333333333333334,40,0.5773502691896255
발목 및 발의 화상 및 부식,28.4,142,24.965976848503242
발목을 제외한 발의 골절,201.57894736842104,3830,130.67402861466377
발목을 포함한 아래다리의 골절,475.84,11896,248.83473096280858
발을 제외한 하지의 골부착부병증,86.5,173,20.506096654409877
발작성 빈맥,120.0,120,
발작성 빠른맥,238.3846153846154,3099,191.3128060104439
발진티푸스,1.0,1,
방광염,202.828125,12981,224.83479329452916
방광의 기타 장애,160.8095238095238,3377,190.49583172542623
방광의 악성 신생물,644.3191489361702,30283,650.1274158188223
배뇨와 연관된 통증,62.0,62,
배통,1562.85401459854,214111,2457.099334641615
백반증,388.4736842105263,7381,368.59724608922596
백선증,1575.25,6301,1965.8333898544574
백혈구의 기타 장애,369.0833333333333,4429,397.4227102293736
병감 및 피로,826.5949367088608,65301,1620.3233574006565
"병감 및 피로, 무력증,   전신쇠약, 허로(虛勞) (Consumptive disease disorder)",57.8,289,85.98953424690704
병적 골절을 동반한 골다공증,33.4,167,16.44080290010193
병적 골절이 없는 골다공증,461.8333333333333,2771,678.63139233804
병적골절이 없는 골다공증,624.5263157894736,59330,788.9255397557081
보행과 이동의 이상,382.69565217391306,8802,519.886126935733
복부 및 골반 통증,40.0,80,36.76955262170047
복부 및 골반통증,261.327868852459,15941,351.3599636323351
"복부, 아래등 및 골반 부위의 신경 및 허리척수의 손상",336.0,336,
복부. 하배부 및 골반 부위에서의 신경 및 요수의 손상,273.75,1095,75.29663560434379
복부. 하배부 및 골반의 표재성 손상,43.0,43,
본태성(원발성) 고혈압,3802.3,380230,7610.614920270666
본태성(일차성)고혈압,2666.0224719101125,237276,3528.8866515502123
부갑상선기능저하증,16.666666666666668,50,10.969655114602888
부갑상선기능항진증 및 부갑상선의 기타장애,21.166666666666668,254,32.47049943153529
부비동의 악성신생물,5.5,11,2.1213203435596424
부신의 기타 장애,73.16666666666667,1317,52.06359233724488
부위의 명시가 없는 악성 신생물,31.0,31,
분변의 실금,269.8888888888889,4858,299.5555313124251
비기질성 수면장애,2067.0,2067,
비기질적 수면 장애,1351.4722222222222,48653,1117.6385177458792
비뇨계통의 기타 장애,148.25,593,158.79205479704163
비뇨기 및 골반 장기의 손상,31.5,63,2.1213203435596424
비뇨기계를 침습한 기타 증상 및 징후,69.66666666666667,418,43.69286745759159
비뇨기계통의 기타 장애,325.1951219512195,26666,446.1798186753798
비뇨기관의 양성 신생물,158.6,793,19.654516020497685
비뇨기관의 행동양식 불명 또는 미상의 신생물,85.14285714285714,596,47.80665424892429
비류마티스성 대동맥판장애,267.258064516129,8285,257.98319941964377
비류마티스성 승모판장애,47.4,237,55.931207746659645
비만,40.0,680,44.30293444005713
비소포성 림프종(94쪽 세분류 참조),33.714285714285715,236,19.980943302008924
비전리성 방사선에 만성 노출에 의한 피부 변화,265.55555555555554,2390,166.95366955469348
비타민D결핍,59.25,237,53.33776023294067
비특정 림프절염,28.0,196,33.80335289089925
비화농성 중이염,222.2,5555,177.77490449066948
뼈 밀도 및 구조의 기타 장애,42.0,420,49.56701412117628
뼈 및 관절연골의 양성 신생물,1.5,3,0.7071067811865476
뼈의 기타 장애,195.07692307692307,2536,332.46164228335215
사타구니탈장,154.5,309,70.0035713374682
삼차신경의 장애,32.8,492,41.50593761310371
상기도의 기타 질환,1.5,3,0.7071067811865476
상세불명 병원체의 폐렴,395.64948453608247,38378,520.2355444339033
"상세불명 병원체의 폐렴, 제외: 보통간질(J84.1)",145.0,145,
상세불명 부위의 바이러스감염,7.0,28,8.16496580927726
상세불명 부위의 소화성 궤양,18.3125,293,33.85994437876904
상세불명의 기분[정동]장애,48.2,241,13.330416347586446
상세불명의 기질성 또는 증상성 정신장애,110.8,554,42.28120149664623
상세불명의 단백칼로리 영양실조,590.8,2954,99.01616029719595
상세불명의 당뇨병,369.2386363636364,32493,802.5235627910876
상세불명의 만성 기관지염,475.53333333333336,14266,492.5611275444055
상세불명의 비기질성 정신병,45.0,45,
상세불명의 비기질적 정신병,83.6470588235294,1422,60.58974869611875
상세불명의 신염증후군,77.0,539,48.318388494098876
상세불명의 신체부위의 손상,210.94202898550725,14555,222.55758567813749
상세불명의 신체부위의 화상 및 부식,132.88888888888889,1196,116.07050060679119
상세불명의 요실금,97.375,779,61.094628007940045
상세불명의 인체면역결핍바이러스병,37.25,149,4.5
상세불명의 정신지체,20.0,40,1.4142135623730951
상세불명의 진균증,2.0,2,
상세불명의 치매,1414.5,70725,1783.943788008891
상세불명의 치매. 치매에 겹친 섬망 또는 급성착란상태 분류를 원한다면 부가분류코드를 사용할 것.,115.0,230,8.48528137423857
상세불명의 콩팥(신장)기능상실,442.8,2214,249.2923986005189
상세불명의 혈뇨,390.14516129032256,24189,627.6586690329932
색소 세포성 모반,24.4,122,14.570518178843194
서혜헤르니아,359.5357142857143,10067,226.94516912320427
섬유모세포장애,675.0833333333334,16202,1294.1501464085516
성숙T/NK-세포림프종,62.0,62,
세균학적 및 조직학적으로 확인된 호흡기결핵,91.75,734,88.18284575649781
세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,230.44444444444446,2074,50.953682671400486
소변정체,38.0,38,
소양증,2714.5348837209303,116725,3981.115142584557
