상병코드,진료과_목록
D16,"['소아청소년과', '치과']"
D17,"['비뇨의학과', '성형외과', '외과']"
D18,['치과']
D21,['피부과']
D22,['성형외과']
D23,"['안과', '피부과']"
D24,"['가정의학과', '외과']"
D25,['산부인과']
D27,['산부인과']
D30,['비뇨의학과']
D32,"['방사선종양학과', '신경외과']"
D34,"['외과', '핵의학과']"
D35,"['내과', '방사선종양학과', '신경외과', '재활의학과', '핵의학과']"
D37,['내과']
D38,"['방사선종양학과', '치과']"
D41,['비뇨의학과']
D42,['신경외과']
D43,['신경외과']
D44,['핵의학과']
D50,"['가정의학과', '내과', '소아청소년과', '핵의학과']"
D64,"['내과', '소아청소년과', '응급의학과', '핵의학과']"
D69,['소아청소년과']
E02,['내과']
E03,"['가정의학과', '내과', '산부인과', '소아청소년과', '외과', '치과', '핵의학과']"
E04,"['내과', '외과', '이비인후과', '핵의학과']"
E05,"['내과', '핵의학과']"
E06,"['내과', '핵의학과']"
E07,"['내과', '핵의학과']"
E10,"['내과', '안과']"
E11,"['가정의학과', '내과', '산부인과', '안과', '응급의학과', '정형외과']"
E12,['내과']
E13,['내과']
E14,"['가정의학과', '내과', '마취통증의학과', '성형외과', '신경과', '안과', '응급의학과', '재활의학과', '정형외과', '핵의학과']"
E16,['내과']
E20,"['내과', '핵의학과']"
E21,"['내과', '핵의학과']"
E22,"['내과', '소아청소년과']"
E23,"['내과', '신경외과', '핵의학과']"
E26,['내과']
E27,['내과']
E29,['비뇨의학과']
E30,"['산부인과', '소아청소년과']"
E34,['소아청소년과']
E46,['가정의학과']
E55,"['내과', '소아청소년과']"
E66,"['가정의학과', '소아청소년과', '핵의학과']"
E78,"['가정의학과', '내과', '비뇨의학과', '산부인과', '핵의학과']"
E79,['내과']
E83,['핵의학과']
E86,['가정의학과']
E87,['내과']
E89,"['내과', '핵의학과']"
F00,"['가정의학과', '신경과', '신경외과', '정신건강의학과']"
F01,"['신경과', '재활의학과', '정신건강의학과']"
F02,['정신건강의학과']
F03,"['가정의학과', '내과', '신경과', '재활의학과', '정신건강의학과']"
F05,['정신건강의학과']
F06,"['가정의학과', '신경과', '정신건강의학과']"
F07,['정신건강의학과']
F09,['정신건강의학과']
F10,['정신건강의학과']
F17,['가정의학과']
F20,['정신건강의학과']
F22,['정신건강의학과']
F23,['정신건강의학과']
F25,['정신건강의학과']
F29,['정신건강의학과']
F31,['정신건강의학과']
F32,"['가정의학과', '정신건강의학과']"
F33,['정신건강의학과']
F34,['정신건강의학과']
F39,['정신건강의학과']
F40,['정신건강의학과']
F41,"['가정의학과', '정신건강의학과']"
F42,['정신건강의학과']
F43,['정신건강의학과']
F45,"['정신건강의학과', '치과']"
F48,"['가정의학과', '내과', '정신건강의학과', '핵의학과']"
F51,"['신경과', '정신건강의학과', '치과']"
F52,['비뇨의학과']
F60,['정신건강의학과']
F63,['정신건강의학과']
F79,['정신건강의학과']
F99,['정신건강의학과']
G12,['재활의학과']
G19,['한의과']
G20,"['마취통증의학과', '신경과', '신경외과', '재활의학과']"
G21,['신경과']
G22,"['신경과', '재활의학과']"
G23,['재활의학과']
G24,['치과']
G25,"['신경과', '정신건강의학과', '핵의학과', '흉부외과']"
G26,['정신건강의학과']
G30,['신경과']
G31,['신경과']
G40,"['신경과', '정신건강의학과']"
G43,['신경과']
G44,"['마취통증의학과', '소아청소년과', '신경과', '신경외과', '응급의학과', '한의과']"
G45,['신경과']
G47,"['가정의학과', '신경과', '이비인후과', '정신건강의학과', '한의과']"
G50,['치과']
G51,"['신경과', '신경외과', '재활의학과', '치과']"
G53,"['마취통증의학과', '비뇨의학과', '신경과', '치과', '피부과']"
G54,"['신경과', '신경외과', '응급의학과', '재활의학과']"
G55,['신경외과']
G56,"['마취통증의학과', '신경과', '응급의학과', '재활의학과', '정형외과']"
G57,['재활의학과']
G58,['마취통증의학과']
G60,"['신경과', '재활의학과']"
G62,"['신경과', '신경외과', '재활의학과', '정형외과', '한의과']"
G63,"['내과', '신경과', '재활의학과']"
G64,['재활의학과']
G71,"['신경외과', '재활의학과']"
G80,['재활의학과']
G81,"['가정의학과', '신경외과', '재활의학과', '한의과']"
G82,"['신경외과', '재활의학과']"
G83,"['신경외과', '재활의학과']"
G95,"['마취통증의학과', '신경외과', '재활의학과']"
G96,['신경과']
G98,['신경과']
H00,['안과']
H01,['안과']
H02,"['성형외과', '안과']"
H04,['안과']
H05,['안과']
H10,['안과']
H11,['안과']
H16,"['안과', '핵의학과']"
H17,['안과']
H18,['안과']
H19,['안과']
H20,['안과']
H22,['피부과']
H25,['안과']
H26,['안과']
H27,['안과']
H33,['안과']
H34,['안과']
H35,['안과']
H36,['안과']
H40,['안과']
H42,['안과']
H43,['안과']
H44,['안과']
H47,['안과']
H49,['안과']
H50,['안과']
H52,['안과']
H53,"['신경과', '안과']"
H54,['안과']
H60,['이비인후과']
H61,"['이비인후과', '치과']"
H62,['이비인후과']
H65,"['소아청소년과', '이비인후과']"
H66,"['소아청소년과', '이비인후과']"
H71,['이비인후과']
H81,"['신경과', '응급의학과', '이비인후과', '핵의학과']"
H90,['이비인후과']
H91,"['마취통증의학과', '이비인후과']"
H92,['이비인후과']
H93,"['이비인후과', '한의과']"
I05,"['내과', '흉부외과']"
I06,['흉부외과']
I07,['내과']
I08,['흉부외과']
I10,"['가정의학과', '내과', '비뇨의학과', '산부인과', '소아청소년과', '신경과', '외과', '응급의학과']"
I11,['내과']
I12,['내과']
I20,"['가정의학과', '내과', '산부인과', '응급의학과', '핵의학과', '흉부외과']"
I21,['내과']
I25,"['내과', '흉부외과']"
I26,"['내과', '흉부외과']"
I27,['내과']
I31,['내과']
I34,"['내과', '흉부외과']"
I35,"['내과', '흉부외과']"
I42,['내과']
I44,['내과']
I47,['내과']
I48,['내과']
I49,['내과']
I50,"['내과', '응급의학과', '흉부외과']"
I51,['내과']
I60,['신경외과']
I61,"['신경과', '신경외과', '재활의학과']"
I62,"['신경외과', '재활의학과']"
I63,"['가정의학과', '신경과', '신경외과', '응급의학과', '재활의학과']"
I65,"['내과', '신경과', '신경외과', '흉부외과']"
I66,"['신경과', '신경외과']"
I67,"['소아청소년과', '신경과', '신경외과', '응급의학과']"
I69,"['신경과', '신경외과', '재활의학과']"
I70,"['가정의학과', '내과', '산부인과', '외과', '흉부외과']"
I71,"['내과', '신경과', '흉부외과']"
I72,"['신경외과', '흉부외과']"
I73,"['내과', '응급의학과', '정형외과', '치과', '흉부외과']"
I77,"['내과', '외과', '핵의학과', '흉부외과']"
I80,"['내과', '흉부외과']"
I83,"['외과', '흉부외과']"
I86,"['내과', '비뇨의학과', '외과']"
I87,"['내과', '외과']"
I88,"['소아청소년과', '이비인후과']"
I89,['외과']
I95,['내과']
J00,"['가정의학과', '내과', '비뇨의학과', '소아청소년과', '응급의학과', '이비인후과']"
J01,"['내과', '소아청소년과', '이비인후과', '치과']"
J02,"['가정의학과', '내과', '소아청소년과', '응급의학과', '이비인후과']"
J03,"['가정의학과', '소아청소년과', '응급의학과', '이비인후과']"
J04,['이비인후과']
J06,"['가정의학과', '내과', '소아청소년과', '응급의학과', '이비인후과']"
J09,"['내과', '소아청소년과']"
J10,"['소아청소년과', '응급의학과']"
J11,"['내과', '소아청소년과']"
J12,['내과']
J15,['내과']
J18,"['가정의학과', '내과', '소아청소년과', '응급의학과']"
J20,"['가정의학과', '내과', '소아청소년과', '핵의학과']"
J21,"['내과', '소아청소년과']"
J30,"['가정의학과', '내과', '소아청소년과', '이비인후과', '치과', '한의과']"
J31,"['가정의학과', '내과', '소아청소년과', '이비인후과']"
J32,"['내과', '소아청소년과', '이비인후과', '치과']"
J33,['이비인후과']
J34,['이비인후과']
J35,['이비인후과']
J37,['이비인후과']
J38,['이비인후과']
J40,"['가정의학과', '내과', '소아청소년과', '응급의학과']"
J41,['내과']
J42,"['가정의학과', '내과']"
J43,['내과']
J44,"['가정의학과', '내과', '응급의학과']"
J45,"['가정의학과', '내과', '소아청소년과']"
J47,['내과']
J69,['내과']
J82,['내과']
J84,"['내과', '핵의학과']"
J90,"['외과', '흉부외과']"
J93,['응급의학과']
J96,['내과']
J98,"['내과', '소아청소년과', '치과', '흉부외과']"
K00,['치과']
K01,['치과']
K02,['치과']
K03,['치과']
K04,['치과']
K05,['치과']
K06,['치과']
K07,['치과']
K08,['치과']
K09,['치과']
K10,['치과']
K11,"['이비인후과', '치과']"
K12,"['소아청소년과', '이비인후과', '치과']"
K13,['치과']
K14,"['이비인후과', '치과']"
K20,['내과']
K21,"['가정의학과', '내과', '소아청소년과', '이비인후과']"
K25,['내과']
K26,['내과']
K27,['가정의학과']
K29,"['가정의학과', '내과', '소아청소년과', '외과', '응급의학과', '치과', '피부과', '한의과', '핵의학과']"
K30,"['가정의학과', '내과', '소아청소년과', '한의과']"
K31,['내과']
K35,['외과']
K40,['외과']
K50,['가정의학과']
K52,"['가정의학과', '소아청소년과', '응급의학과']"
K56,"['내과', '외과', '응급의학과']"
K57,['응급의학과']
K58,"['가정의학과', '내과', '외과']"
K59,"['가정의학과', '내과', '마취통증의학과', '소아청소년과', '외과', '응급의학과', '한의과']"
K60,['외과']
K61,['외과']
K62,"['내과', '외과', '응급의학과']"
K63,"['내과', '외과']"
K64,['외과']
K70,['내과']
K71,"['내과', '핵의학과']"
K72,['응급의학과']
K73,['내과']
K74,['내과']
K75,"['내과', '응급의학과']"
K76,"['내과', '산부인과', '소아청소년과']"
K80,"['내과', '외과', '응급의학과']"
K81,"['외과', '응급의학과']"
K82,['외과']
K83,['응급의학과']
K86,['내과']
K91,"['외과', '치과']"
K92,"['응급의학과', '치과']"
L02,"['성형외과', '외과', '정형외과']"
L03,"['비뇨의학과', '외과', '응급의학과', '정형외과', '치과', '피부과']"
L04,"['소아청소년과', '핵의학과']"
L08,"['소아청소년과', '피부과']"
L20,"['소아청소년과', '피부과']"
L21,"['비뇨의학과', '피부과']"
L23,['피부과']
L24,"['비뇨의학과', '산부인과', '피부과']"
L27,['피부과']
L28,"['치과', '피부과']"
L29,"['비뇨의학과', '산부인과', '외과', '응급의학과', '치과', '피부과']"
L30,"['비뇨의학과', '산부인과', '소아청소년과', '피부과']"
L40,"['비뇨의학과', '피부과']"
L41,['피부과']
L43,['치과']
L50,"['비뇨의학과', '소아청소년과', '응급의학과', '피부과']"
L57,['피부과']
L60,"['외과', '정형외과', '피부과']"
L63,['피부과']
L64,['피부과']
L70,['피부과']
L72,"['성형외과', '외과', '피부과']"
L73,"['외과', '피부과']"
L80,['피부과']
L82,['피부과']
L84,"['비뇨의학과', '피부과']"
L85,['피부과']
L89,"['성형외과', '외과']"
L90,['성형외과']
L91,"['성형외과', '피부과']"
L95,['외과']
L97,['성형외과']
L98,"['성형외과', '신경외과']"
M06,['마취통증의학과']
M10,"['마취통증의학과', '응급의학과', '정형외과']"
M13,"['마취통증의학과', '재활의학과', '정형외과', '한의과']"
M15,"['재활의학과', '정형외과']"
M16,['정형외과']
M17,"['마취통증의학과', '재활의학과', '정형외과', '한의과']"
M19,"['마취통증의학과', '재활의학과', '정형외과', '치과', '한의과']"
M20,['정형외과']
M21,['정형외과']
M23,['정형외과']
M24,['재활의학과']
M25,"['마취통증의학과', '소아청소년과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M41,['한의과']
M43,"['마취통증의학과', '신경외과', '재활의학과', '정형외과', '한의과']"
M45,['마취통증의학과']
M46,['정형외과']
M47,"['마취통증의학과', '신경외과', '재활의학과', '정형외과', '한의과']"
M48,"['마취통증의학과', '신경외과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M50,"['마취통증의학과', '신경외과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M51,"['마취통증의학과', '신경외과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M54,"['마취통증의학과', '산부인과', '신경과', '신경외과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M60,['치과']
M62,"['내과', '신경외과', '한의과']"
M65,"['재활의학과', '정형외과', '한의과']"
M71,['정형외과']
M72,"['재활의학과', '정형외과', '한의과']"
M75,"['마취통증의학과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M76,['한의과']
M77,"['마취통증의학과', '재활의학과', '정형외과', '한의과']"
M79,"['가정의학과', '마취통증의학과', '비뇨의학과', '산부인과', '신경과', '신경외과', '응급의학과', '재활의학과', '정형외과', '한의과']"
M80,"['내과', '산부인과']"
M81,"['가정의학과', '내과', '산부인과', '정형외과', '핵의학과']"
M85,"['내과', '산부인과']"
M86,"['정형외과', '치과']"
M87,"['응급의학과', '정형외과']"
M89,"['마취통증의학과', '비뇨의학과']"
M96,"['마취통증의학과', '신경외과', '응급의학과', '재활의학과', '정형외과']"
M99,"['신경외과', '재활의학과', '정형외과']"
N10,"['내과', '비뇨의학과', '응급의학과']"
N13,['비뇨의학과']
N17,"['내과', '응급의학과']"
N18,"['내과', '외과', '응급의학과']"
N20,"['비뇨의학과', '응급의학과']"
N21,['비뇨의학과']
N28,['비뇨의학과']
N30,"['비뇨의학과', '산부인과']"
N31,"['비뇨의학과', '산부인과', '응급의학과']"
N32,"['비뇨의학과', '산부인과', '소아청소년과']"
N34,['비뇨의학과']
N35,['비뇨의학과']
N39,"['내과', '비뇨의학과', '산부인과', '소아청소년과', '외과', '응급의학과']"
N40,"['가정의학과', '내과', '비뇨의학과', '응급의학과']"
N41,['비뇨의학과']
N43,['비뇨의학과']
N45,['비뇨의학과']
N48,['비뇨의학과']
N49,['비뇨의학과']
N60,"['산부인과', '외과']"
N62,['외과']
N63,"['산부인과', '외과']"
N64,"['산부인과', '외과']"
N71,['산부인과']
N72,['산부인과']
N73,['산부인과']
N76,['산부인과']
N80,['산부인과']
N81,['산부인과']
N83,['산부인과']
N84,['산부인과']
N85,['산부인과']
N87,['산부인과']
N89,['산부인과']
N90,['산부인과']
N91,['산부인과']
N92,['산부인과']
N93,"['산부인과', '소아청소년과']"
N94,['산부인과']
N95,['산부인과']
NAN,"['가정의학과', '내과', '방사선종양학과', '비뇨의학과', '산부인과', '성형외과', '소아청소년과', '신경과', '신경외과', '안과', '외과', '응급의학과', '이비인후과', '재활의학과', '정신건강의학과', '정형외과', '치과', '피부과', '한의과', '흉부외과']"
P05,['소아청소년과']
Q21,['흉부외과']
Q23,['흉부외과']
Q38,['치과']
Q61,['비뇨의학과']
Q82,['피부과']
R00,['내과']
R03,"['가정의학과', '내과']"
R04,"['내과', '응급의학과', '이비인후과']"
R05,"['가정의학과', '내과', '응급의학과', '이비인후과', '한의과']"
R06,"['가정의학과', '내과', '응급의학과', '이비인후과', '정신건강의학과', '치과', '흉부외과']"
R07,"['내과', '마취통증의학과', '소아청소년과', '외과', '응급의학과', '이비인후과', '핵의학과', '흉부외과']"
R09,['내과']
R10,"['가정의학과', '내과', '마취통증의학과', '산부인과', '소아청소년과', '외과', '응급의학과']"
R11,"['소아청소년과', '응급의학과']"
R12,['가정의학과']
R13,"['소아청소년과', '재활의학과']"
R15,['외과']
R19,"['가정의학과', '치과']"
R22,"['성형외과', '외과']"
R25,"['신경과', '흉부외과']"
R26,"['신경과', '재활의학과']"
R29,['신경과']
R30,['응급의학과']
R31,"['비뇨의학과', '산부인과', '소아청소년과', '응급의학과']"
R32,"['비뇨의학과', '산부인과']"
R33,"['비뇨의학과', '응급의학과']"
R35,"['비뇨의학과', '산부인과', '응급의학과']"
R39,['응급의학과']
R40,['응급의학과']
R41,"['신경과', '정신건강의학과']"
R42,"['가정의학과', '내과', '소아청소년과', '신경과', '신경외과', '응급의학과', '이비인후과', '치과']"
R44,"['신경과', '신경외과', '치과', '흉부외과']"
R47,['재활의학과']
R50,"['소아청소년과', '응급의학과']"
R51,"['가정의학과', '소아청소년과', '신경과', '신경외과', '응급의학과', '한의과']"
R52,"['가정의학과', '마취통증의학과', '신경외과', '외과', '응급의학과', '재활의학과', '정형외과']"
R53,"['가정의학과', '내과', '마취통증의학과', '소아청소년과', '외과', '응급의학과', '한의과', '핵의학과']"
R55,"['내과', '신경과']"
R56,['신경과']
R59,['핵의학과']
R60,"['내과', '산부인과', '흉부외과']"
R61,"['내과', '한의과']"
R62,['소아청소년과']
R63,"['가정의학과', '내과', '소아청소년과', '한의과']"
R68,"['산부인과', '소아청소년과', '이비인후과']"
R69,"['가정의학과', '내과', '진단검사의학과', '치과', '핵의학과']"
R73,"['가정의학과', '내과', '소아청소년과']"
R74,['비뇨의학과']
R80,"['내과', '소아청소년과']"
R82,['산부인과']
R87,['산부인과']
R89,['내과']
R91,['내과']
R92,"['가정의학과', '산부인과']"
R93,['내과']
R94,"['가정의학과', '내과', '신경과', '핵의학과']"
S00,['신경외과']
S01,"['성형외과', '신경외과', '응급의학과', '치과']"
S02,"['성형외과', '치과']"
S03,['치과']
S05,['안과']
S06,"['신경외과', '응급의학과', '재활의학과']"
S09,"['외과', '치과']"
S13,"['신경외과', '재활의학과', '한의과']"
S20,"['외과', '흉부외과']"
S22,"['신경외과', '외과', '응급의학과', '재활의학과', '정형외과', '흉부외과']"
S23,['외과']
S30,['재활의학과']
S32,"['신경외과', '정형외과', '핵의학과']"
S33,"['마취통증의학과', '신경외과', '재활의학과', '정형외과', '한의과']"
S34,['재활의학과']
S37,['비뇨의학과']
S42,['정형외과']
S43,"['마취통증의학과', '재활의학과', '정형외과', '한의과']"
S46,"['마취통증의학과', '재활의학과', '정형외과']"
S50,['외과']
S52,"['재활의학과', '정형외과']"
S53,"['재활의학과', '한의과']"
S61,"['성형외과', '응급의학과']"
S62,['정형외과']
S63,"['재활의학과', '정형외과']"
S69,"['외과', '응급의학과']"
S70,"['응급의학과', '한의과']"
S72,"['마취통증의학과', '재활의학과', '정형외과']"
S73,['재활의학과']
S80,['응급의학과']
S81,['성형외과']
S82,['정형외과']
S83,"['재활의학과', '정형외과', '한의과']"
S88,['정형외과']
S92,"['정형외과', '한의과']"
S93,"['재활의학과', '정형외과', '한의과']"
S94,['마취통증의학과']
S99,['마취통증의학과']
T00,['외과']
T14,"['산부인과', '성형외과', '소아청소년과', '외과', '응급의학과', '정형외과', '치과', '피부과']"
T15,['안과']
T21,['성형외과']
T22,"['성형외과', '외과']"
T23,['외과']
T24,"['성형외과', '외과']"
T25,"['성형외과', '외과']"
T30,"['성형외과', '외과']"
T65,['가정의학과']
T81,"['성형외과', '외과', '응급의학과', '치과', '흉부외과']"
T85,['치과']
T87,['응급의학과']
T88,['응급의학과']
T90,['신경외과']
T97,"['내과', '산부인과', '신경과', '안과', '재활의학과', '피부과']"
U07,"['가정의학과', '내과', '마취통증의학과', '방사선종양학과', '비뇨의학과', '산부인과', '성형외과', '소아청소년과', '신경과', '신경외과', '안과', '영상의학과', '외과', '응급의학과', '이비인후과', '재활의학과', '정신건강의학과', '정형외과', '치과', '피부과', '핵의학과', '흉부외과']"
U11,['내과']
U23,['한의과']
U24,['한의과']
U28,['가정의학과']
U30,['한의과']
U60,['한의과']
U62,['한의과']
U66,['한의과']
V83,['핵의학과']
Y59,['내과']
Y83,['응급의학과']
Z00,"['가정의학과', '내과', '비뇨의학과', '산부인과', '소아청소년과', '신경과', '응급의학과', '정신건강의학과', '정형외과', '진단검사의학과', '핵의학과']"
Z01,"['가정의학과', '산부인과']"
Z02,"['소아청소년과', '응급의학과']"
Z03,"['응급의학과', '정신건강의학과']"
Z04,['치과']
Z08,['내과']
Z10,['산부인과']
Z11,"['내과', '마취통증의학과', '방사선종양학과', '비뇨의학과', '산부인과', '성형외과', '소아청소년과', '신경외과', '안과', '외과', '응급의학과', '이비인후과', '재활의학과', '정신건강의학과', '정형외과', '피부과', '흉부외과']"
Z20,"['내과', '소아청소년과']"
Z22,"['내과', '소아청소년과']"
Z23,['소아청소년과']
Z24,['소아청소년과']
Z25,['소아청소년과']
Z26,"['가정의학과', '내과', '마취통증의학과', '비뇨의학과', '산부인과', '소아청소년과', '신경과', '신경외과', '안과', '영상의학과', '외과', '응급의학과', '이비인후과', '재활의학과', '정형외과', '진단검사의학과', '피부과']"
Z27,['소아청소년과']
Z29,"['가정의학과', '내과', '비뇨의학과', '산부인과', '소아청소년과', '영상의학과', '응급의학과']"
Z34,['산부인과']
Z38,['소아청소년과']
Z41,['성형외과']
Z46,['치과']
Z47,['정형외과']
Z48,['응급의학과']
Z51,"['소아청소년과', '응급의학과']"
Z71,"['응급의학과', '정신건강의학과']"
Z90,['이비인후과']
Z93,['외과']
Z95,['내과']
Z96,"['안과', '재활의학과']"
Z97,['치과']
