병원명,진료과,현재전문의수,최적전문의수,변화량,변화율,예측환자수,현재_환자당전문의비율,최적_환자당전문의비율
인천,내과,3,12.0,9.0,300.0,19198.469,4799.61725,1476.8053076923077
인천,신경과,1,1.0,0.0,0.0,5154.8413,2577.42065,2577.42065
인천,신경외과,1,1.0,0.0,0.0,7484.248,3742.124,3742.124
인천,안과,1,1.0,0.0,0.0,5754.225,2877.1125,2877.1125
인천,외과,1,3.0,2.0,200.0,7283.806,3641.903,1820.9515
인천,이비인후과,2,4.0,2.0,100.0,7922.783,2640.927666666667,1584.5566000000001
인천,재활의학과,1,1.0,0.0,0.0,15457.1875,7728.59375,7728.59375
인천,정형외과,2,1.0,-1.0,-50.0,12521.701,4173.900333333333,6260.8505
인천,치과,0,1.0,1.0,100.0,13573.897,13573.897,6786.9485
인천,피부과,1,1.0,0.0,0.0,7772.8604,3886.4302,3886.4302
인천,비뇨의학과,1,2.0,1.0,100.0,31584.516,15792.258,10528.172
인천,마취통증의학과,1,2.0,1.0,100.0,2238.6177,1119.30885,746.2058999999999
